Progress,total timesteps,mean_int_reward,ep_rew_mean,total_time,num_episodes,value_loss,total_loss,entropy_loss,policy_gradient_loss,icm_loss
0.0%,8192,1.3626671425,53.73650784,3.586324453353882,1420,,,,,
0.82%,16384,0.1584122796,55.08626423999999,17.918206214904785,2673,5.2756788190454245,1.4518970245052167,-1.3893455868586897,-0.022546587489507924,0.926583801349625
1.64%,24576,0.0894282751,65.76764948,31.273799180984497,3763,1.8460265392437578,0.9421636377238972,-1.3164860349148513,-0.020895463543641368,0.7596505301538855
2.46%,32768,0.0668946922,77.50802906,44.69371032714844,4736,0.8691586874658241,0.7341312264241987,-1.2193768589757383,-0.02221951006375244,0.6494373086839914
3.28%,40960,0.0518842207,80.89808378000001,58.14300227165222,5634,0.6513749749050476,0.5929682328127408,-1.1219722385518254,-0.02129764893875626,0.5299605002161115
4.1%,49152,0.048909642,88.16709775999999,70.84352254867554,6439,0.5017596172867342,0.4943960093979829,-1.016261784080416,-0.021024706267646086,0.4463225182960741
4.92%,57344,0.0452631757,103.94793822000001,83.98361730575562,7142,0.5096659443457611,0.41243079645311936,-0.9077336499467492,-0.020371623932429923,0.3635013644117862
5.73%,65536,0.0432619023,114.96818648,98.16810607910156,7780,0.5293428467819468,0.34946004759494215,-0.8014130188152194,-0.01848389487974365,0.2983741524047218
6.55%,73728,0.0404474946,137.03880554,110.96986389160156,8322,0.5637445301399566,0.2972334187399473,-0.7039407135918736,-0.014493158223696439,0.24230828154832124
7.37%,81920,0.0357081404,158.16978189999998,124.26365423202515,8780,0.5827362225390971,0.26067521260185017,-0.5973856885451824,-0.015344845124535548,0.203936074860394
8.19%,90112,0.0330794504,167.09108294,137.49435877799988,9179,0.6297607609769329,0.22170231354336128,-0.490278610191308,-0.01371755742869663,0.16009799318853765
9.01%,98304,0.0319340034,200.64721082,150.04408383369446,9532,0.6192122277570888,0.19514684251084535,-0.4021258732769638,-0.00997022515688254,0.13422264225082473
9.83%,106496,0.0265146029,246.50721786000003,163.4250853061676,9848,0.6152133239200339,0.1784649476641666,-0.3186075365170836,-0.009158779500408065,0.11785949322220404
10.65%,114688,0.0224021703,272.23836028,175.9151327610016,10122,0.49368661826010796,0.1441385677019201,-0.23865752229467035,-0.006692588051015899,0.09543916468101088
11.47%,122880,0.0203600272,283.07243988,188.92821502685547,10377,0.42637378043727947,0.12341581051450831,-0.15910516399890184,-0.010100066465916486,0.08178843911737203
12.29%,131072,0.0170898312,300.99583908,202.83091759681702,10618,0.3523239349829964,0.105604801318814,-0.0923365406692028,-0.005110017390959594,0.0708834095596103
