total timesteps,mean_int_reward,total_time,Progress,num_episodes,ep_rew_mean,total_loss,value_loss,policy_gradient_loss,entropy_loss,icm_loss
221184,0.0052617318,419.74888849258423,21.3%,14787,845.3216297600001,0.05507282488904797,0.27920492307166567,-0.0032685644562686494,0.3651241580955684,0.027479189027508254
229376,0.0051690577,435.0988516807556,22.12%,14854,1133.85432032,0.05032675665416451,0.2546137457014993,-0.003704731395673152,0.4047723028343171,0.025235855223581894
237568,0.0048380267,450.933833360672,22.94%,14918,1219.0312943,0.043859824658934204,0.21593694752664305,-0.0013814875208964534,0.45454992414452133,0.022404278658359544
245760,0.0042071353,466.4639778137207,23.76%,14976,1294.7259518800001,0.043164617608228026,0.2318297561898362,-0.002961910565942245,0.49535072408616543,0.020277833045838634
253952,0.0039734683,481.8040874004364,24.58%,15011,1881.2546258,0.03879869465507424,0.20347330405493266,-0.0015979331151841352,0.5338274281471967,0.01861115756109939
262144,0.003234466,497.2137577533722,25.4%,15026,2872.3117755,0.03435577960127569,0.1715844909514999,-0.002665980109740051,0.5811931665986776,0.017463928517099703
270336,0.0028397484,512.7536203861237,26.21%,15036,3770.55629148,0.02625450078547793,0.10416000798577443,0.003963805616213963,0.6232390610501171,0.015442119425279089
278528,0.0029760694,528.3538467884064,27.03%,15048,4712.84312818,0.02648820568121176,0.11522580386008485,0.004798634117966128,0.6542909138835966,0.014485761883406667
286720,0.0027947897,543.5336418151855,27.85%,15060,5890.89295162,0.025775778890279523,0.11148185908896266,0.006651628000377047,0.670376848988235,0.013962430181345553
294912,0.00275026,559.0738072395325,28.67%,15075,6273.36933422,0.027001676556005237,0.12930353216288495,0.009285552527347812,0.6907221342436969,0.013142768086981959
303104,0.0022526979,574.5836720466614,29.49%,15085,6363.21254004,0.02631490951208331,0.1314076357819431,0.002948850494511752,0.7274416405707598,0.012879260884437827
311296,0.0024619379,590.0136442184448,30.31%,15105,5203.2219089,0.021959957275618783,0.09566221053464688,0.008779258320346544,0.7546752183698118,0.011515810390119442
319488,0.0021965543,605.3336055278778,31.13%,15119,5372.84242562,0.020264746871464182,0.0886290135604213,-0.00040098979741573086,0.7768224432133138,0.011441944495163624
327680,0.0018539164,621.1535501480103,31.95%,15128,5614.453025979999,0.020530920038458706,0.09457723464438458,0.005318058721828748,0.8064689758233726,0.010541390701837372
335872,0.0021396279,636.5787327289581,32.77%,15137,5886.98840284,0.017218593802837447,0.06712956138526352,0.0062045495679880856,0.8320686441846192,0.009885182707512286
344064,0.0018477251,651.7584857940674,33.59%,15149,6422.912592219999,0.015563054873924547,0.05410316272864293,0.005149874294474917,0.8399697005748749,0.009637751171612762
352256,0.0017165574,667.0933244228363,34.41%,15161,6766.380175780001,0.01807596737234334,0.07246319218047574,0.010135976611955718,0.8322127848863602,0.009816050493100192
360448,0.0016802349,683.0133559703827,35.23%,15174,6892.177392320001,0.017178865486790373,0.0634020356779729,0.010288209373046166,0.842704563587904,0.009809840981688467
368640,0.0021525279,698.1534581184387,36.04%,15203,4233.69505074,0.01568962662979228,0.05691181623897137,0.007043154266835579,0.8480869196355343,0.009294129579211585
376832,0.0016301603,713.5233597755432,36.86%,15214,4439.10166414,0.01811058785181069,0.08069195714197122,0.0020463374964003337,0.8674853241071105,0.009836758387973533
385024,0.0014300743,728.918291091919,37.68%,15226,4343.75263134,0.013887540919542075,0.04713557333088829,0.004158020560967189,0.9041681053116918,0.008758181530356523
393216,0.0011331752,745.4634363651276,38.5%,15237,4991.71234848,0.014534709810685425,0.04713094329508749,0.01712685507207907,0.9350756172090768,0.008108929973968771
401408,0.001592435,761.1732895374298,39.32%,15272,3442.056278480001,0.015449054529086171,0.05070028717709647,0.026186310895315888,0.9379777881316841,0.007760394721844932
409600,0.0016772128,776.7232003211975,40.14%,15322,1583.66381092,0.01591325475492278,0.07280167678982252,0.006621509237441522,0.9555082008242607,0.007970936152196373
417792,0.001509868,792.1031589508057,40.96%,15361,1831.0978160199998,0.015381875572083514,0.07135898066626396,0.006024238628282867,0.9757748397998511,0.007643553642628831
425984,0.0012501988,808.0182108879089,41.78%,15384,2512.36734774,0.014589298250889551,0.07145303941215389,0.0023671963116168506,1.005834228824824,0.007207274678512477
434176,0.0013094211,825.888085603714,42.6%,15395,3490.422744860001,0.011717334642960403,0.048413539845932975,0.0034390464210219676,1.0249670093879104,0.006532076016264909
442368,0.0012077506,842.0931167602539,43.42%,15404,4711.6969993,0.012431910222881327,0.0417786647027242,0.013471519932548675,1.0472622686997055,0.006906891759354039
450560,0.0011774409,857.4631054401398,44.24%,15413,5842.13298512,0.01072115928135902,0.0359148605999053,0.008110329899298685,1.0506192421540619,0.006318640231438621
458752,0.0014262657,873.3482427597046,45.06%,15426,6582.24890906,0.011181475294056558,0.03865554871908898,0.010460894489690457,1.0496639600023627,0.006269830973178614
466944,0.0014221822,891.6828284263611,45.88%,15450,5427.68791816,0.012078353808559431,0.04616104674614689,0.009327374505425054,1.0641920953989028,0.006529511683402234
475136,0.0011530303,907.6280272006989,46.69%,15466,4359.36303298,0.011794912487671384,0.048955864425079196,0.0076198040976581324,1.0832080831751227,0.006137345635397651
483328,0.0010312737,926.9828817844391,47.51%,15475,4767.68218096,0.010620895333369618,0.03702735069309711,0.009671260647808159,1.0936784237623214,0.005951034199279092
491520,0.0009836569,946.3229885101318,48.33%,15484,5347.635042919999,0.010399609237507337,0.036030652284671304,0.01120852999730248,1.113723669759929,0.005675691009309957
499712,0.0009223363,965.0987515449524,49.15%,15496,6217.27558504,0.009673838575499805,0.03582479435235655,0.008448967356162499,1.128293532319367,0.005246462404647901
507904,0.0010212422,984.0388472080231,49.97%,15505,7010.839111339999,0.01062101842768288,0.04159876842777521,0.012397240062550701,1.1489437559619546,0.005221417578650289
516096,0.0009887759,1000.9338264465332,50.79%,15514,7739.57853078,0.010026407628305933,0.041443586116201914,0.008324289548858005,1.1769877338781953,0.005049620061799942
524288,0.0010270578,1017.4387636184692,51.61%,15524,7875.013620600001,0.0098949573109643,0.036957063045429096,0.014114535854445326,1.1869224216789007,0.004787797420976858
532480,0.0011349094,1032.9488780498505,52.43%,15536,7620.690051420001,0.00957565502534726,0.04033370649217431,0.00748295493209297,1.1752748023718596,0.00479398888292053
