Progress,mean_int_reward,total_time,total timesteps,num_episodes,ep_rew_mean,entropy_loss,total_loss,policy_gradient_loss,value_loss,icm_loss
31.95%,0.0014707198,688.2065963745117,327680,17467,7315.473770119999,0.6352177889086306,0.11511147122270109,0.006812448978746265,0.09403220188069099,0.014266820363263832
32.77%,0.0014247047,705.006635427475,335872,17477,7395.29711578,0.6279416556470097,0.08906248506703017,0.00413228225154493,0.07133661645511893,0.013593586360366316
33.59%,0.0014005448,722.2520053386688,344064,17489,6906.900670059998,0.6227186424657702,0.09396883759962546,0.007583105391843478,0.07204840937665721,0.014337322831124766
34.41%,0.0014316218,740.0450932979584,352256,17499,7013.4217951,0.6186159184202552,0.09936509626990726,0.007882703078252845,0.07756064066325052,0.013921752528403886
35.23%,0.0014364867,757.751394033432,360448,17510,7284.427169759999,0.6201544933952391,0.07602839364113616,0.006565185614417804,0.05540338383434573,0.014059824192372616
36.04%,0.0017707173,775.4011862277985,368640,17523,6743.138889299999,0.639711298327893,0.07816975269486329,0.00756131423274972,0.05631217822683539,0.014296260235278168
36.86%,0.0017216512,792.672623872757,376832,17535,6627.545514219999,0.6724976141005754,0.08183026840222922,0.005995212838463016,0.06249479324924323,0.013340262314522988
37.68%,0.00156223,810.2420904636383,385024,17545,6847.16896938,0.7138652473688125,0.07855190204645206,0.006971911760406702,0.058953627818846145,0.012626362467199215
38.5%,0.0015424282,827.4530792236328,393216,17556,6604.1384094000005,0.7382588082924485,0.06499414159837838,0.005444282241057261,0.0478588015817877,0.01169105777553341
39.32%,0.0013776299,845.3065848350525,401408,17565,7118.56571472,0.7631497248075902,0.06674266396328236,0.0063816375547277576,0.049415142998896044,0.010945883409658564
40.14%,0.0014591678,862.5950701236725,409600,17575,7325.076287020001,0.7826271713711321,0.06301204845580133,0.010797449913423695,0.041882214956604005,0.010332383585773642
40.96%,0.0015746276,879.6672337055206,417792,17587,7333.474668759999,0.7972132677212358,0.06246584662877495,0.007672498549809734,0.04437574855692219,0.01041759952204302
41.78%,0.0015216146,895.8360004425049,425984,17598,7090.78486652,0.8150487064383924,0.06425124840580113,0.009793976895982747,0.044327452311335946,0.010129819198482437
42.6%,0.0017034961,912.7775347232819,434176,17623,5046.83953866,0.8296947063878178,0.0594598613515346,0.004543230951422718,0.04502502645809727,0.009891603942014627
43.42%,0.0015077796,929.8094704151154,442368,17645,3778.5366501,0.8367995319887995,0.08518142606480122,0.012801738708358773,0.06302169402952132,0.009357993326921133
44.24%,0.0015268111,947.1935851573944,450560,17669,3358.91462954,0.8276775311678648,0.05741374391174686,0.0119234560738907,0.036201206915393414,0.009289080922462745
45.06%,0.0013200717,965.033716917038,458752,17688,3247.93258596,0.8299523960798979,0.0641891989702736,0.005470900081348245,0.04889935699793568,0.009818941890989663
45.88%,0.0012534298,982.7462873458862,466944,17705,3662.9171703,0.8412383602000773,0.050158549705981645,0.004540140079286435,0.03618187058782496,0.009436539038870252
46.69%,0.0011247929,1000.1212999820709,475136,17721,4328.059597619999,0.8683009465225041,0.057319950822399136,0.0021552337831747944,0.04612461128635914,0.009040105752865202
47.51%,0.0010139838,1017.9250583648682,483328,17732,5060.64004748,0.8948326103389264,0.058248158914395456,0.005553971074479771,0.04421678461294505,0.008477403226970636
48.33%,0.0010649541,1034.5071728229523,491520,17743,5590.431275600002,0.9107325305230916,0.057551623792225316,0.004851946996806539,0.04446799240704422,0.008231684388374561
49.15%,0.0010368079,1051.6775476932526,499712,17754,6175.80639352,0.9219062959775328,0.05652456980896524,0.006830033942418159,0.04187961409643322,0.00781492177011387
49.97%,0.0009718606,1069.2900745868683,507904,17763,6799.412784200001,0.9228529678657651,0.04971105340624005,0.007699453931267875,0.03422800466050831,0.0077835948144638675
50.79%,0.0009850717,1088.0733387470245,516096,17772,7330.31186248,0.9342549912631511,0.04705818942912125,0.006668075965175796,0.03292352791613666,0.007466585547808791
51.61%,0.0009178067,1105.6161653995514,524288,17780,7505.548818099999,0.9327446276322007,0.04901611863181933,0.006752388140951721,0.03488239679709295,0.00738133369377465
52.43%,0.0010858361,1123.027019739151,532480,17791,7614.352928620001,0.9162141087464988,0.048937685384829656,0.00875353049015195,0.03260712014475757,0.007577034749920131
53.25%,0.0009691331,1140.5064618587494,540672,17801,7997.83623334,0.929550908319652,0.05963640590216921,0.006596766799706817,0.04502179814098781,0.008017840961474575
54.07%,0.0008794197,1158.3819527626038,548864,17812,7922.513515799999,0.947044608835131,0.04952937415028664,0.010065032243763376,0.032124618273837766,0.007339723632685491
54.89%,0.0009245317,1175.6925506591797,557056,17822,7679.1588577,0.9667693973518908,0.0539087682631754,0.009264518626189924,0.037290399079574856,0.007353850557410624
55.71%,0.0009073333,1191.9766314029694,565248,17831,7582.99794426,0.9759988209232688,0.04698959785805888,0.004445008657516123,0.03550587234017257,0.007038716860370187
56.52%,0.0009614786,1209.6690337657928,573440,17842,7643.37414428,0.9844790582545102,0.05093466431758013,0.009819943650606244,0.034014692182699945,0.007100028484273935
57.34%,0.0008474372,1226.20117020607,581632,17850,7865.942368159999,0.9960889994166792,0.05309244224187596,0.008795707901634434,0.03715406534902286,0.00714266899121867
58.16%,0.0009174328,1243.5256161689758,589824,17861,7769.168163719999,0.9925039700232446,0.0450696144860724,0.006760208688950338,0.031870918531535605,0.006438487265586446
58.98%,0.0008080595,1260.7637984752655,598016,17871,7918.820496820001,0.9721403579227627,0.053758803203973596,0.008116136129265806,0.038798593692399665,0.006844073382308124
59.8%,0.0006836322,1277.7665240764618,606208,17880,7788.7904115599995,0.9693613984622061,0.05108493312721348,0.008919600950621864,0.03490466411676607,0.007260668059825548
60.62%,0.000586367,1295.2503485679626,614400,17889,8048.015856339999,0.9658901885151863,0.04805538007178493,0.007813194561024464,0.0335740579141202,0.006668127596640261
61.44%,0.0008504031,1312.7850849628448,622592,17904,7091.86716954,0.9460291002877057,0.05274296803453119,0.008037060958108596,0.037727476713553185,0.006978430362869404
62.26%,0.0007085417,1330.0109140872955,630784,17914,7013.52883216,0.9444168092682957,0.05664081998336255,0.008858678708451726,0.039829883798847734,0.007952257476063096
63.08%,0.0007513585,1347.1579525470734,638976,17922,7406.0161348,0.9470822314731777,0.054319672028485845,0.007715777256634219,0.03913980587503829,0.007464088896813337
63.9%,0.0008068669,1364.3602266311646,647168,17933,7190.34073546,0.9409894350916147,0.047363256542337244,0.006250871399731758,0.03368517071385213,0.007427214428753359
64.72%,0.0009734399,1381.7886695861816,655360,17943,7069.842853560001,0.9337860532104969,0.056179043294836084,0.00821218087967609,0.04022204076154594,0.007744821653614053
65.54%,0.0007841501,1399.4296536445618,663552,17951,7868.573521879999,0.9399836678057909,0.04421537809655568,0.004933845114442399,0.031423992097825246,0.007857540884288028
66.36%,0.000927346,1417.5602343082428,671744,17960,7990.12852264,0.9430547192692756,0.04944623005291966,0.005673416077567951,0.03657158623134364,0.007201227744008065
67.17%,0.0008105068,1435.4102582931519,679936,17970,7815.14684502,0.935779606178403,0.04603009827565493,0.0035102683009014075,0.03489397273651775,0.007625857238235767
67.99%,0.0007982121,1452.5822021961212,688128,17982,7660.026689579999,0.9312186511233449,0.05478243426377336,0.006909738834149859,0.040224964056551474,0.00764773137307202
