Progress,total timesteps,mean_int_reward,ep_rew_mean,total_time,num_episodes,value_loss,total_loss,entropy_loss,policy_gradient_loss,icm_loss
54.89%,557056,0.0011116202,7242.798657179998,869.2067549228668,15586,0.028346460442026,0.009954925307498096,1.0632264148443937,0.008095200291843224,0.006310759234111174
55.71%,565248,0.0037267559,684.7621603000001,882.1363425254822,15698,0.02776814905591891,0.016604839973672535,1.0358052695170046,0.0770105487075187,0.006126970197328774
56.52%,573440,0.0031101394,758.11026686,894.7653801441193,15803,0.17209655652986838,0.027380845665177723,1.0485991064459086,0.011014741215358146,0.009069715890655061
57.34%,581632,0.0026458312,809.54236154,907.5895972251892,15893,0.0510685932909837,0.013366425580140359,1.0776231896132231,0.009902622639919081,0.00726930398705008
58.16%,589824,0.0020586687,1096.3714825999998,920.1380755901337,15962,0.03267223126022145,0.010157354938449993,1.0955578997731208,0.0012778700699868184,0.006762344805429166
58.98%,598016,0.0017671523,1646.33185234,933.1699688434601,16001,0.0253272055182606,0.008651704788956532,1.116950930096209,0.0003194072642419255,0.0060870435107062805
59.8%,606208,0.0014571647,2497.0203304999995,945.7192723751068,16023,0.018346627913342673,0.007671956008609859,1.1598892580717801,0.0007568771191698835,0.0057616055053586026
60.62%,614400,0.0012849963,3413.7783186799998,958.2123339176178,16044,0.019830132123388466,0.007367572986837831,1.2034496244043111,0.00024714776842802154,0.005359844997656182
61.44%,622592,0.0010617136,4072.164407440001,970.9519436359406,16055,0.01737619616178563,0.007048535438803699,1.2433221453800798,0.005440153397247528,0.004766900482900382
62.26%,630784,0.0010016694,5165.85178024,983.9410104751587,16066,0.014754598253603035,0.0060772085848569135,1.2639456732198595,0.0037383970881847417,0.0042279090506781355
63.08%,638976,0.0009693844,5834.574020020002,996.5300061702728,16077,0.025607782921815668,0.00769033909752722,1.2706438988447188,0.009970984806037165,0.004132462324741936
63.9%,647168,0.0009047919,6360.182477499999,1009.4645178318024,16087,0.02514042339143998,0.00716229018496215,1.2717093855142594,0.004836807621011778,0.004164567083716974
64.72%,655360,0.0008576266,7228.545599540001,1022.1472914218903,16095,0.026566472690501542,0.007717340147475285,1.2661033095791936,0.009060704105937711,0.004154622467831359
65.54%,663552,0.0009013771,6993.868021159999,1035.2366909980774,16111,0.020413745184669096,0.006919766071420067,1.2660153217613697,0.007480073728549674,0.00413038418009819
66.36%,671744,0.00083158,6964.66264218,1048.6827657222748,16122,0.030799745519834686,0.008409320040020336,1.2673184065148235,0.011226769548848969,0.004206668533151969
67.17%,679936,0.0007911003,6294.10240534,1061.399255990982,16135,0.02327516446794107,0.006660406389052109,1.2765229970216752,0.003385006526390087,0.003994389289618994
67.99%,688128,0.0007179357,6654.5754717,1075.0742073059082,16143,0.025211496864176296,0.007312053031955479,1.2823754465207458,0.006991676172854603,0.004091735728252388
68.81%,696320,0.0007615913,6957.39839094,1087.6741852760315,16152,0.028583088093955666,0.007488084360011658,1.2897951321676373,0.00867800177907543,0.003761975372708548
69.63%,704512,0.0005587544,7588.752912959999,1100.829396724701,16160,0.029306603169197844,0.008393274500436287,1.289194355532527,0.015264864471923786,0.003936127736324124
70.45%,712704,0.00056199,8114.528645959999,1113.889655828476,16168,0.0278301135371521,0.007216627795552438,1.2931271867826581,0.007277584570137055,0.003705857984823524
