Progress,total timesteps,mean_int_reward,num_episodes,ep_rew_mean,total_time,entropy_loss,policy_gradient_loss,icm_loss,value_loss,total_loss
13.11%,139264,0.014767279,13543,240.74731886,276.84388494491577,-0.02006246680393815,-0.007072052380533586,0.05781876739347354,0.39529023598879576,0.44603695100173574
13.93%,147456,0.0154360728,13784,329.10160243999997,293.052383184433,0.021079798694700003,-0.006479086037243405,0.05306957311840961,0.38860225555254146,0.43519274263370766
14.75%,155648,0.0128020129,14032,318.08561782,310.1127233505249,0.07105352459475398,-0.003901508511429996,0.0512288279729546,0.39078469317173586,0.4381120126332604
15.56%,163840,0.0108790211,14291,288.14308659999995,326.85626912117004,0.11437578946352005,-0.005796774912033778,0.04469434310594807,0.36341602878528645,0.40231359697920077
16.38%,172032,0.0092808475,14539,293.58160252,343.53781843185425,0.15615177871659397,-0.010261775819563248,0.04127896994468756,0.293334848433733,0.3243520425588573
17.2%,180224,0.0095087571,14758,336.3102370600001,360.86589789390564,0.1740805878303945,-0.006834051287225062,0.03786759938520845,0.24542793273576535,0.2764614808337488
18.02%,188416,0.0084887218,14939,456.82872646,377.9272372722626,0.20691946540027856,-0.0067668998146871925,0.03772566504048882,0.2866155530995457,0.31757431832534727
18.84%,196608,0.0076796782,15113,402.82683522,394.6582372188568,0.2595769361592829,-0.0015996019536833547,0.03418311942514265,0.31144715745467694,0.3440306749261362
19.66%,204800,0.0069738659,15274,475.3722917,411.37569069862366,0.2938264673575759,-0.002360085454547995,0.030640270776348188,0.26687184151960536,0.29515202684140557
20.48%,212992,0.0060136117,15389,642.91074186,428.37336587905884,0.31454663518816234,-0.0027404553159287295,0.02931699355103774,0.2670266188040841,0.29360315703919315
21.3%,221184,0.0061761844,15527,532.07670146,444.9852020740509,0.332348030526191,0.0008617909826826836,0.027155119158123853,0.27167658746475354,0.29969349760556
22.12%,229376,0.0049909456,15623,787.78345638,461.49546933174133,0.36387135554105043,-0.0009015082655675032,0.02777259547947324,0.29717770222341644,0.3240487894373222
22.94%,237568,0.0042791329,15709,817.1870275599998,478.1643888950348,0.3843909394927323,0.001677200494083948,0.023963856927730377,0.3019084802537691,0.32754953767558337
23.76%,245760,0.0043130556,15796,871.87989426,494.88181376457214,0.4071369422599673,0.0018204785208456719,0.023283366666873917,0.2799977010814473,0.30510154626916686
24.58%,253952,0.0035990642,15866,1023.8089125799999,511.66260266304016,0.4319343342911452,0.0008516491329997634,0.022907127257349204,0.3143676422070712,0.33812641859742015
25.4%,262144,0.0032236361,15923,1303.82476356,528.4472336769104,0.46471641096286476,0.002880157940546767,0.021893535638810135,0.2763636595802382,0.30113735315959506
26.21%,270336,0.0028145018,15957,1823.3113796799998,545.5231652259827,0.5017517419531942,0.0017589143685742656,0.019741553918720456,0.24234802041319198,0.2638484887004867
27.03%,278528,0.0020091373,15970,2959.77398394,562.2499403953552,0.5452275648713112,0.004063091391223082,0.018368700367136625,0.16853976144921035,0.19097155320757003
27.85%,286720,0.0016262097,15979,3987.4092220200005,579.0062229633331,0.5764383223373443,0.0014250907498904945,0.01630208170754486,0.13191853878088294,0.14964571123831832
28.67%,294912,0.0013012091,15988,5233.897976019999,595.8436760902405,0.5961661876644939,0.0052826388265519095,0.015331509509996977,0.10704955951950978,0.12766370785605868
29.49%,303104,0.0010822268,15996,6469.7682009599985,612.3099820613861,0.6288648514077068,0.007246379864706903,0.01428467158402782,0.09515180447888269,0.11668285592761743
30.31%,311296,0.0011361514,16005,7606.983456680001,629.3385918140411,0.6346079296432435,0.0075644346029335565,0.013413481405223138,0.08829085181587289,0.10926876782402957
