Progress,mean_int_reward,total timesteps,total_time,ep_rew_mean,num_episodes,value_loss,icm_loss,entropy_loss,policy_gradient_loss,total_loss
0.0%,1.6635970893,8192,3.610252857208252,58.96411595999999,1318,,,,,
0.82%,0.1507655911,16384,20.66759157180786,57.11158204,2558,4.46163586601615,0.9012221826938912,-1.4196619327180087,-0.01760142973098449,5.345256618979056
1.64%,0.0877230817,24576,38.262442111968994,64.59518364,3654,1.7805941115133463,0.8475604710867628,-1.3783729317598046,-0.01817913972637588,2.6099754428737336
2.46%,0.066249596,32768,55.63805651664734,76.11722512,4649,1.2245019408408553,0.7333210545359179,-1.2995266687124967,-0.01882385333305641,1.938999142043717
3.28%,0.0575481234,40960,72.49618887901306,82.34803678,5533,0.6625314816599712,0.6291542035061866,-1.2051609132438899,-0.017363447032476803,1.274322238133681
4.1%,0.0599541038,49152,89.76161646842957,95.96765113999999,6314,0.7180392105132342,0.525682782032527,-1.1035851494409143,-0.016687441472204998,1.227034551073556
4.92%,0.0555024684,57344,106.34196472167969,102.23130992,7027,0.8262989598326385,0.4254306016722694,-0.9986135198269039,-0.012063050947693041,1.2396665105572149
5.73%,0.0559625941,65536,123.37453269958496,103.91578324,7670,0.834996508480981,0.36339537490857765,-0.8897856041323393,-0.01142603514784676,1.1869658482417118
6.55%,0.049391029,73728,140.30916261672974,120.82273117999999,8246,0.7831018424360081,0.2947857051040046,-0.7710446178913116,-0.012145747587610483,1.0657417999524024
7.37%,0.0443872721,81920,157.59042978286743,145.47901252000003,8732,0.8020817931508646,0.23344042655080557,-0.6591688162181526,-0.01047308903063244,1.0250491306710376
8.19%,0.0413398434,90112,174.20609879493713,175.21413426000004,9163,0.8387955091893673,0.18344649280188605,-0.5498172266874463,-0.009883636668611466,1.0123583653226418
9.01%,0.0328753513,98304,191.0923252105713,199.09678668,9537,0.7554442840395496,0.14994159722118638,-0.4489949209149927,-0.009091325637344725,0.8962945556233912
9.83%,0.0273129454,106496,208.1792013645172,264.94987176000006,9859,0.694192876201123,0.12881037534680218,-0.3504782585892826,-0.007235309216485598,0.8157679423314395
10.65%,0.0222509024,114688,225.22054266929626,277.53304324,10124,0.6271266643656418,0.10221449559030589,-0.2633876676671207,-0.006195175796873823,0.7231459841590738
11.47%,0.0191062853,122880,241.86381912231445,294.99281648,10365,0.5794393979711459,0.08309764085279311,-0.17935899458825588,-0.005332668818157009,0.6572043700057819
12.29%,0.0154998933,131072,258.4709722995758,329.95211672,10589,0.4779698696685955,0.0714600333973067,-0.10734197814017535,-0.0011233527228184763,0.5483065503430836
13.11%,0.0133574186,139264,275.39957642555237,346.10068952,10789,0.44362025761511176,0.06452108271187171,-0.0435402019880712,-0.002429858822934285,0.5057114815040491
13.93%,0.011009859,147456,291.9852316379547,488.3628770999999,10959,0.3838291000341997,0.05449496400251519,0.025990073569118977,-0.0037909474175244233,0.4345331166191905
14.75%,0.0091604485,155648,308.58185148239136,505.41797611999993,11109,0.34347407582681627,0.047495068109128624,0.08781024031341075,-0.0006338156083296363,0.3903353283276153
15.56%,0.0090629477,163840,325.1326367855072,578.59874498,11253,0.3786084179766476,0.04202237538120244,0.14033986991271377,-0.000351758454891578,0.4202790349029585
16.38%,0.0080311357,172032,341.47321486473083,614.3553401800001,11376,0.2894680470053572,0.038057446108723525,0.19224060475826263,-0.000987727572595739,0.32653776554148506
17.2%,0.0062805946,180224,358.2279939651489,839.12451378,11458,0.3269978498341516,0.033933437702944505,0.2437784424982965,-0.0012820382451985103,0.35964924929189757
18.02%,0.0055807788,188416,374.9204514026642,1033.23962672,11537,0.29170977355679495,0.0302737130659807,0.2835577178746462,-0.0006661208845723133,0.32131736573820335
18.84%,0.0050976208,196608,391.61721682548523,1242.0449981,11605,0.30626024899538606,0.02832593660132261,0.328088469337672,-0.0008167895394228574,0.3337693960572858
19.66%,0.0037652813,204800,408.396653175354,1620.7970260800003,11651,0.2753240695514251,0.02543026059283875,0.3737947089597583,-0.0008684965553467901,0.299885833588917
20.48%,0.0032540838,212992,424.6306161880493,2247.4680479,11678,0.2004693318507634,0.022685554932104425,0.4291033521294594,0.00033770211225311446,0.22349258889512097
21.3%,0.0030123538,221184,440.65910744667053,2930.4542613599997,11700,0.1693855570658343,0.020779225524893263,0.47508640759624543,0.002445457696228242,0.19261024028695578
