Progress,total timesteps,mean_int_reward,ep_rew_mean,total_time,num_episodes,value_loss,total_loss,entropy_loss,policy_gradient_loss,icm_loss
0.0%,8192,1.6623276733,56.8608107,3.5500686168670654,1255,,,,,
0.82%,16384,0.1387046308,58.769636840000004,16.973049879074097,2416,6.195759639143944,1.5044674372983349,-1.3998320315033197,-0.021029867945987036,0.8869944601785391
1.64%,24576,0.0783579525,64.23501949999999,30.231464624404907,3496,1.5673533543944358,0.9468927817257862,-1.3376012862659992,-0.019820177949224516,0.792139464081265
2.46%,32768,0.0598621009,69.90587534000001,43.69662284851074,4517,0.7915594055317342,0.7739849065720475,-1.2564896109513939,-0.020134047920443987,0.6968423708109185
3.28%,40960,0.0525174605,80.56485952000001,57.53425121307373,5436,0.5357400472625159,0.6362738495252623,-1.1552201341837645,-0.02455019905225686,0.5851548647042364
4.1%,49152,0.0469705374,82.45811236000002,70.91502165794373,6252,0.5069902336108498,0.5111839704488329,-1.053924467228353,-0.022784976539742558,0.4627634447417222
4.92%,57344,0.0408943244,105.05633006,84.3571126461029,6970,0.5220079717342742,0.4508204854296813,-0.95384595929645,-0.019158375793309722,0.4005355258355848
5.73%,65536,0.0469016149,116.98598332000002,98.08076739311218,7555,0.5677288812003098,0.3606814826211104,-0.8379574947524816,-0.019631497432800384,0.3058717442443594
6.55%,73728,0.0494287923,142.46887154,111.35647892951965,8084,0.681847179424949,0.31807710352460833,-0.7272102274931967,-0.014744327998256129,0.2513668183819391
7.37%,81920,0.0419257731,175.38411842000002,124.27500295639038,8536,0.7608389970846474,0.29273481829851666,-0.6181858746334911,-0.014220351079405991,0.21807295369799248
8.19%,90112,0.0325707281,201.08755792,137.55176186561584,8915,0.6838394143152982,0.23893989069435156,-0.517748158518225,-0.01250679937178536,0.1718066292000003
9.01%,98304,0.0310909899,229.05556498,150.5899941921234,9245,0.59208452810999,0.19284118450989102,-0.4214011259144172,-0.009821481427914386,0.13461487984168344
9.83%,106496,0.0241757935,253.1254427,163.85823392868042,9527,0.5280025288695469,0.16677742578570703,-0.329197954852134,-0.009742419257110687,0.11495141482446343
10.65%,114688,0.0185133957,293.75996866,176.91942501068115,9782,0.5089251030818559,0.14603276422051348,-0.23395799268037082,-0.007959663753667212,0.09593622028769459
11.47%,122880,0.0149685612,353.72269022,189.7683141231537,10003,0.3770413136575371,0.11756147800708963,-0.15757908821105956,-0.00825768492097672,0.0806831151334336
12.29%,131072,0.0130751045,342.11818174,202.3134801387787,10213,0.34462626902386545,0.10352737409837545,-0.10115602854639291,-0.004257874823454777,0.06949053467833437
13.11%,139264,0.0115516535,380.16159722,215.1287386417389,10410,0.3109309479128569,0.0920493170289752,-0.03715747892856598,-0.006960768867087611,0.06165229912439827
13.93%,147456,0.0098685391,385.4622338,228.09688210487366,10592,0.30341592943877915,0.08333468793154356,0.017117738258093596,-0.006048719868191076,0.05359796697448473
14.75%,155648,0.0084047047,438.71890288,240.98675155639648,10761,0.23894413279485888,0.07222278113120897,0.06064168233424425,-0.003633819131161164,0.048691749764839184
15.56%,163840,0.0073751457,476.79170214,253.9344928264618,10902,0.22373720599571242,0.06622440055907282,0.0996960474178195,-0.006626360360714988,0.044513315995573066
16.38%,172032,0.0062964981,683.5893286599999,266.61674284935,11015,0.2392529856704641,0.06457312551189888,0.14743399247527122,-0.004561299064408721,0.04110395685129333
17.2%,180224,0.0057394625,861.58388544,279.1228108406067,11098,0.2079069812782109,0.057051038455640156,0.19760257927700878,-0.008096924168493575,0.03707003274466843
18.02%,188416,0.004749192,1112.5775698,292.3406343460083,11165,0.26474671477335504,0.06104818321970562,0.247082185652107,1.7428153896720603e-05,0.03457176892698044
18.84%,196608,0.0042471522,1473.70973684,305.0849504470825,11213,0.21188041485147552,0.05115774117661056,0.29237797260284426,-0.002326614407880858,0.0302023611322511
19.66%,204800,0.0038627144,1923.13559282,318.51491689682007,11249,0.19330331981182097,0.04727395578611191,0.3445791625417769,-0.00018395108310360428,0.027962018913240173
20.48%,212992,0.0031869202,2670.72676364,331.14221572875977,11272,0.15557813808263746,0.039903155127700866,0.3952071528416127,-0.0016302191388911397,0.024508363233326235
21.3%,221184,0.0025465996,3402.17457488,344.21880626678467,11285,0.14419076496560593,0.03672695763140195,0.43962221071124075,0.002804769730600442,0.022027404161781304
22.12%,229376,0.0023504836,4568.85683526,356.9219238758087,11298,0.10431313206499908,0.03086419539486269,0.489550115307793,0.002482476381210309,0.020184634550241755
22.94%,237568,0.0021660632,5199.6216156400005,369.7743933200836,11308,0.09270795493066544,0.02818859175208934,0.533596056792885,0.00553822355407539,0.01836397390361526
23.76%,245760,0.002292028,5981.370546520001,382.3015446662903,11321,0.06781509024040133,0.023822679755515663,0.5644178006332368,0.005852256201009254,0.016455945111374604
24.58%,253952,0.0032419822,3259.17329426,394.139484167099,11358,0.08481302153450088,0.02495514260638492,0.6025517147500068,0.006032040787690647,0.01587063637416577
25.4%,262144,0.002272756,2698.68874886,406.94153237342834,11378,0.11191212559642735,0.026635592800070884,0.6409894903190434,0.0011561940349987998,0.015328760836928268
26.21%,270336,0.0018404952,3825.1811112799996,419.8341417312622,11387,0.06379262682967238,0.020417191502145007,0.6816628453321755,0.0004580567272366498,0.013992123146454104
27.03%,278528,0.0016469466,4967.44541844,432.4794464111328,11396,0.049000635813172266,0.01866387759515555,0.7137842485681176,0.013152192641077759,0.012448594749730545
27.85%,286720,0.0015563966,6013.739614920001,445.11488914489746,11405,0.050892483308871306,0.01709113343433514,0.7277039620094001,0.006521291223840697,0.011349755981063936
28.67%,294912,0.0015635162,7000.443825119999,457.57941603660583,11414,0.045959041563128265,0.016609098257343517,0.7312931681051851,0.005558250595761813,0.011457369041454512
29.49%,303104,0.0015049621,7806.750690460001,470.481240272522,11424,0.043170640033349625,0.01624153839634138,0.7315130666829646,0.005404322934079712,0.011384042099598446
30.31%,311296,0.0015427854,8175.9781176199995,483.1090016365051,11434,0.050951525423715796,0.01740298298083214,0.7494794821366668,0.007238055417317524,0.011584024896728806
31.13%,319488,0.0015842,7507.2517409600005,496.92018818855286,11445,0.042145906995847325,0.016215376688178722,0.7682083238847554,0.008500604443819523,0.011150725544212037
31.95%,327680,0.0015957592,7249.173080879999,509.6799876689911,11457,0.040530600607462476,0.015780291492049774,0.796484712138772,0.007532950602930325,0.010973936371010495
32.77%,335872,0.0012425805,7416.26840082,522.5125262737274,11466,0.04127339786973607,0.01517507579097419,0.8148380978964269,0.009910861897862605,0.010056649814214325
33.59%,344064,0.0014803585,7092.949279560001,534.5997395515442,11478,0.03824309390283816,0.014623920179926541,0.819892056286335,0.009836835829149338,0.009815927206727793
34.41%,352256,0.0020526657,6063.860401080001,547.6200397014618,11498,0.039969191919044536,0.014285575329396238,0.8446988518349826,0.006640394103316111,0.009624616727160173
35.23%,360448,0.001527524,5769.469583659999,559.7024912834167,11509,0.03989585921481194,0.014519742125049622,0.8484543805010617,0.009972612338252185,0.009532894969743211
36.04%,368640,0.0017602839,4976.46722648,572.3639793395996,11524,0.03009491015345702,0.013762777528513714,0.8422583834268152,0.012982868520658192,0.009454999661102192
