mean_int_reward,Progress,num_episodes,total_time,ep_rew_mean,total timesteps,total_loss,policy_gradient_loss,value_loss,icm_loss,entropy_loss
1.7498247262,0.0%,1642,3.9294469356536865,45.89748132,8192,,,,,
0.1279510906,0.82%,3086,21.7761549949646,54.964950019999996,16384,5.260235114425214,-0.01911004159433932,4.395922940224409,0.8834222157951445,-1.397705040127039
0.0790489769,1.64%,4363,38.395570516586304,59.12980508,24576,2.764776660665601,-0.024245639493958047,2.0194965403527023,0.7695257598068566,-1.3450807755813003
0.0623224701,2.46%,5493,56.34580135345459,62.95800108,32768,1.7126293424417205,-0.02796405191599032,1.0534985159058123,0.6870948784518986,-1.2438289633952082
0.0589830234,3.28%,6426,73.38620281219482,75.6306944,40960,1.3368060509123167,-0.03310513532177757,0.8110638583311811,0.5588473279029131,-1.1291989563032985
0.0509097044,4.1%,7237,90.72195649147034,88.53553184,49152,1.3203887073964717,-0.02486887680702869,0.9060295131523162,0.4392280710511841,-1.0061699422542005
0.043212524,4.92%,7972,107.88087487220764,91.61360428,57344,1.2209725359945058,-0.01814118703813624,0.8804456501500681,0.3586680728825741,-0.8857265024911612
0.0371938404,5.73%,8606,125.6493730545044,121.91850842,65536,0.9741379748042458,-0.014782790775432111,0.7089693180285395,0.2799514475511387,-0.7681952385697514
0.0363633391,6.55%,9193,142.5215106010437,127.85549412,73728,0.8675307370056118,-0.010139873952400031,0.6535565232625231,0.2241140876954887,-0.6658289398998022
0.0337400165,7.37%,9745,160.15619826316833,132.28276328,81920,0.8234756261192248,-0.008083948903904908,0.641940498794429,0.18961907622870058,-0.578800153406337
0.0296382045,8.19%,10245,176.7538366317749,144.9672251,90112,0.7758141620363516,-0.011339583802089409,0.6236520796082914,0.16350166623014956,-0.49145880551077425
0.0259069937,9.01%,10715,193.28223037719727,146.64148586,98304,0.7298396121722786,-0.011023870115107871,0.6113982143579051,0.12946526792948135,-0.40560248866677284
0.0224614825,9.83%,11142,209.3776912689209,179.09449692,106496,0.644252803311155,-0.009357465209269198,0.5383169654989615,0.11529330302146264,-0.3343006422743201
0.0223920658,10.65%,11513,225.96971774101257,207.51577741999998,114688,0.614523054218404,-0.011349948171158222,0.5260588063043542,0.0998141960852081,-0.25470423651859164
0.019178842,11.47%,11840,243.32603645324707,233.02416390000002,122880,0.6162992155878081,-0.006790197579518606,0.5357820740202441,0.08730733914708252,-0.1797845966182649
0.0195397164,12.29%,12146,259.4106922149658,227.58966721999997,131072,0.6064911119171313,-0.0062873659541934955,0.5380116210086271,0.07476685686269775,-0.11381600620225071
0.0157576275,13.11%,12406,275.80691480636597,288.71044292,139264,0.4997394640605318,-0.006810306036367187,0.4414624767610803,0.06508729333581868,-0.03767263945192099
0.0140991062,13.93%,12630,292.56337881088257,349.19578817999997,147456,0.4751786022019111,-0.004872554062469463,0.4246147986035794,0.05543635766080115,0.028532174415886402
0.0139635392,14.75%,12830,309.056355714798,389.20599375999996,155648,0.3974069249668881,-0.0034022563066193378,0.3522468339535408,0.04856234731996665,0.09665981037542223
0.0116160419,15.56%,13012,324.9695587158203,388.36152732000005,163840,0.41192983004109784,0.002548847204505847,0.365466415398987,0.043914567437605,0.14478582199662923
0.0093392551,16.38%,13171,341.4762673377991,439.39067794000005,172032,0.3670984953107494,-0.0017423416527504597,0.32960007736692204,0.03924075959657784,0.1788064928725362
0.0085787409,17.2%,13336,358.0128231048584,454.43346469999994,180224,0.41496262748045865,-0.002423741001216502,0.3815756590338424,0.03581070944783278,0.2289371001534164
0.0074038022,18.02%,13494,373.6862292289734,470.8908317,188416,0.3569107745068787,-0.001795197367708978,0.3261796615552157,0.03252631031937199,0.2706272963434458
0.0069425533,18.84%,13636,390.2616364955902,526.7859091,196608,0.3208393094368348,-0.0045910139809875695,0.29500962343299764,0.030420699984824752,0.3038154847919941
0.0060758487,19.66%,13786,406.55420088768005,498.04044092000004,204800,0.3105314235514015,-0.0043913979296121034,0.2863730862736702,0.028549735207343475,0.3381431703455746
0.0054270393,20.48%,13912,423.3435969352722,577.8390634599999,212992,0.32340231414116316,-0.0019857715627262388,0.29886389056919144,0.026524195134697948,0.36985576841980217
0.0052521102,21.3%,14003,439.8921036720276,768.75210436,221184,0.27058814380658214,-0.0023910617156966203,0.24851762269390748,0.02446158282837132,0.3861992645077407
0.0047727615,22.12%,14075,455.9985308647156,1078.0073133199999,229376,0.26905486856157707,-0.003077501814189151,0.24763607754721306,0.024496292828553125,0.40949353482574224
0.0044578067,22.94%,14131,472.84586215019226,1423.1468917,237568,0.2936486723603957,-0.00033611932190980834,0.2711418207967654,0.022842970885540125,0.44406109396368265
0.0035842428,23.76%,14168,488.9283537864685,1733.06616236,245760,0.2727680130008288,0.002766765984930685,0.24926934133982287,0.020731905676075257,0.4835218770429492
0.0027072738,24.58%,14191,504.60589265823364,2463.8020953200003,253952,0.21319678915534376,0.003133325888492193,0.19144211778766476,0.018621345479186858,0.5289482822176069
0.0024383824,25.4%,14203,520.9828081130981,3488.88234746,262144,0.17526471161662255,0.0009227819257684122,0.15703969074529595,0.017302238945558202,0.5670648105442524
0.0024265519,26.21%,14229,537.6848022937775,3879.23868352,270336,0.12599486865017473,0.0019264811404145197,0.10817022419651039,0.015898163313249825,0.5987906325608492
0.00207964,27.03%,14242,552.9448854923248,4367.0132724800005,278528,0.15123422809918746,0.0036465534518215397,0.13281114934652577,0.014776525300840148,0.6240834520198405
