mean_int_reward,num_episodes,total timesteps,ep_rew_mean,Progress,total_time,icm_loss,policy_gradient_loss,value_loss,entropy_loss,total_loss
1.3895677585,1633,8192,46.37311632,0.0%,3.8257126808166504,,,,,
0.1291419804,3142,16384,48.80534122000001,0.82%,18.18627142906189,0.8481772110331803,-0.020833442121132376,4.192175279930234,-1.3881502323783934,1.2653113948140904
0.0756042157,4431,24576,55.161286100000005,1.64%,36.859620809555054,0.7690742877777665,-0.025886829701922763,2.1142673226539044,-1.3169773931615054,0.9779123370729648
0.0620320569,5522,32768,71.92234961999999,2.46%,54.71531081199646,0.641154051059857,-0.03339459884970665,1.064502905588597,-1.2235164871439337,0.744264881733746
0.0574582649,6484,40960,83.80922693999999,3.28%,71.7351405620575,0.537867167335935,-0.031391779259403875,0.870087638637051,-1.114992625080049,0.6217367532736996
0.0500578025,7332,49152,90.01955966000001,4.1%,87.57376527786255,0.43473049098392946,-0.025969869604035235,0.7564596703276039,-1.0130076414439828,0.5077794710562864
0.0477179892,8114,57344,95.11104544000001,4.92%,104.85904121398926,0.3551104603568092,-0.02083356200863142,0.6778057120274752,-0.909717231336981,0.4208076753586935
0.0480502267,8793,65536,105.17505049999998,5.73%,121.05795550346375,0.29124641191447154,-0.017123004788180504,0.6155518159503117,-0.8104847193695605,0.3510892930306847
0.0424393007,9398,73728,125.66827002000002,6.55%,136.6158390045166,0.2441716533852741,-0.017668975071160296,0.661968455160968,-0.7078987244982272,0.30860160139425485
0.0361240124,9923,81920,150.12929402,7.37%,151.77433443069458,0.20201200091978536,-0.015218063149128444,0.5993732274509966,-0.6041790294460953,0.26042751734997216
0.0402367269,10369,90112,159.51236283999998,8.19%,168.6129972934723,0.16528043282451108,-0.013059000573460522,0.664235036354512,-0.5067802778910846,0.23039803640261622
0.0304669876,10780,98304,169.41509542,9.01%,184.57319593429565,0.1416722702095285,-0.012121039059622255,0.7234320745337754,-0.40651327883824706,0.21280337375694383
0.0309909527,11145,106496,211.36144951999998,9.83%,202.53383350372314,0.11258944350993261,-0.009611638725161865,0.6486045448575168,-0.3209223745390773,0.1764887341231681
0.0238869326,11453,114688,222.16036082,10.65%,218.8587942123413,0.10123076693271287,-0.007892367945180353,0.6122624076437205,-0.2379801155999303,0.1616677709025669
0.0208320557,11736,122880,262.35165570000004,11.47%,235.11672067642212,0.08191251647367608,-0.007874158288454731,0.5731381915742532,-0.16449171407148241,0.13843891980225592
0.0182128542,11999,131072,282.88573062,12.29%,254.10784888267517,0.07355379135406111,-0.00682834390208246,0.5106785580748692,-0.09525044504553079,0.12393881277133978
0.0146908305,12231,139264,340.40914784,13.11%,271.87900161743164,0.0637087101698853,-0.004674000548917344,0.4212788050295785,-0.037769983522593975,0.10536919061795143
0.0128861449,12452,147456,342.3310020400001,13.93%,291.0421621799469,0.05732193770672893,-0.0014772721474269202,0.3184033029305283,0.009824172500520945,0.08901454078503908
0.0113814333,12631,155648,394.91499001999995,14.75%,310.3148970603943,0.05057324593508383,-0.005254963830554917,0.33276177346124314,0.05653705354779959,0.08332392689815266
0.0095934648,12801,163840,450.59105522000004,15.56%,330.0202467441559,0.04474881959613412,-0.0022341141647455624,0.3401996484026313,0.09463364351540804,0.0785453730199227
0.0081942316,12949,172032,447.08797914,16.38%,348.6979749202728,0.042217618426366246,-0.006083735452344026,0.32576180322212167,0.14496432906016707,0.07418542520334401
0.0083140729,13076,180224,633.7215163799999,17.2%,365.2887692451477,0.03788546236755792,-0.003591753010673559,0.3195715418085456,0.19830622039735318,0.06948344124734514
0.0075175383,13188,188416,680.5187653199999,18.02%,381.611368894577,0.03438038746244274,-0.0034191532676857623,0.3449467005091719,0.2560582434758544,0.06853314218659137
0.006690598,13284,196608,859.9691843,18.84%,396.9820728302002,0.030849334625236223,-0.0020183817861656405,0.3102982760989107,0.3139218557626009,0.06167732405651074
0.0060425325,13360,204800,1008.6768458799999,19.66%,416.2684955596924,0.027475094801775412,-0.0025774628997159476,0.3048247138154693,0.3558978816494346,0.05769981989335075
0.0054469137,13427,212992,981.55521572,20.48%,438.3203365802765,0.026113535932381637,0.007272949092051215,0.25494762143353,0.39110760292969643,0.05233559298493976
0.0047112548,13475,221184,1503.2426138599997,21.3%,455.6099491119385,0.024418748393509306,0.0007792228182996847,0.26773670425172896,0.42711151940748093,0.051270341100512165
0.0039607857,13500,229376,2283.84336442,22.12%,472.7737407684326,0.022064967115875335,-0.0008854602068927523,0.21196851574932224,0.47300347285345196,0.04317327267011829
0.0037729344,13526,237568,2974.4021171199997,22.94%,489.27876377105713,0.019447707937069937,-0.0007538676129620787,0.16485668764507863,0.5207380102481693,0.035857989940281595
0.0032734427,13544,245760,3377.89385188,23.76%,505.0722062587738,0.017805283456254983,0.0043365275051217385,0.1706712214712752,0.5626850543078035,0.03530605835389468
0.0026876445,13554,253952,4333.61843996,24.58%,521.8157081604004,0.015737604074092814,0.003093413319951401,0.14486996307095978,0.612657027458772,0.030533941713183937
0.0025811001,13565,262144,5316.5141717999995,25.4%,538.185261964798,0.014541681656555738,0.00489218126307166,0.09478182043021662,0.6615536752156913,0.024509081825884564
0.0023579993,13574,270336,6056.785857299999,26.21%,554.7585918903351,0.012806855051894672,0.009036632589182133,0.1010544114466029,0.7000034532509745,0.023815959455473174
0.0024381694,13585,278528,6839.07777984,27.03%,571.835921049118,0.01183708329044748,0.008881952029274748,0.08883176628096408,0.7317081052809954,0.021608455121471366
