#{"t_start": 1595849462.3686783, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,707,12.183309
3.0,1057,25.687722
0.0,553,32.541532
0.0,583,40.731446
0.0,531,49.942642
3.0,1007,69.557113
8.0,1546,100.815641
1.0,619,113.120848
0.0,524,124.737018
1.0,693,138.997887
1.0,732,153.777075
3.0,1155,172.343842
3.0,1034,190.46169
2.0,930,206.59784
3.0,994,225.113831
1.0,768,237.904866
10.0,1731,275.528009
5.0,1392,300.97072
2.0,919,322.428143
5.0,1380,350.094051
1.0,635,361.65471
1.0,703,375.37803
9.0,1668,409.37532
0.0,675,421.471738
5.0,1303,446.881979
2.0,830,467.465489
1.0,664,483.04875
2.0,740,500.413191
3.0,1051,522.686683
4.0,1062,544.304584
2.0,805,560.068219
4.0,1227,586.989485
4.0,1123,611.164046
5.0,1341,635.186303
0.0,560,647.552269
9.0,2042,685.442705
5.0,1256,712.079335
2.0,897,730.621096
8.0,1594,761.795282
1.0,611,773.532217
4.0,1220,798.769603
