#{"t_start": 1595849463.0926063, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,909,13.399577
0.0,584,20.814795
3.0,1085,36.724574
2.0,822,49.820444
2.0,765,66.375797
0.0,567,77.058474
2.0,827,91.866403
3.0,1020,112.850233
0.0,588,125.332618
3.0,1009,146.334862
4.0,1216,168.681763
4.0,1153,187.835795
6.0,1624,215.218973
0.0,535,225.395228
2.0,831,242.333189
5.0,1404,268.421489
2.0,883,286.753319
7.0,1732,322.772379
4.0,1114,343.966754
5.0,1430,372.835564
4.0,1294,398.797984
6.0,1556,429.720619
5.0,1394,458.205593
2.0,940,482.082619
4.0,1275,511.598508
3.0,939,531.236693
8.0,1455,560.190895
1.0,724,575.397546
3.0,1042,598.169159
0.0,639,611.881447
5.0,1254,634.303575
11.0,1906,672.244981
1.0,684,684.464912
4.0,1152,709.571821
7.0,1631,741.47789
7.0,1858,776.383577
