#{"t_start": 1595849462.9539742, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,560,10.61269
0.0,607,17.712583
3.0,1172,32.348599
2.0,897,46.885984
1.0,634,58.378367
2.0,800,72.849958
2.0,817,90.442781
5.0,1562,123.487358
1.0,732,137.958378
1.0,665,151.914707
6.0,1656,179.625739
0.0,528,188.779078
0.0,559,197.427942
5.0,1510,224.951404
1.0,706,236.888482
2.0,815,255.050129
1.0,675,267.491698
0.0,536,277.842458
5.0,1446,308.14397
1.0,620,321.307778
1.0,660,333.660547
0.0,524,343.845502
2.0,851,360.787754
3.0,929,380.69046
1.0,724,392.433334
7.0,1147,414.279085
3.0,1003,435.241816
4.0,1314,464.972693
6.0,1624,502.487399
5.0,1260,527.776014
2.0,947,548.032669
7.0,1790,587.111325
4.0,1212,612.594607
4.0,1158,633.785692
4.0,1231,658.490609
1.0,771,673.054794
7.0,1584,703.704619
12.0,1350,732.13243
12.0,1315,756.182224
3.0,1036,776.838421
