#{"t_start": 1595849462.7403061, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,771,12.474879
0.0,575,19.417605
5.0,1434,39.020348
9.0,1676,70.232404
2.0,825,88.401977
1.0,740,101.787003
1.0,630,114.280169
2.0,803,133.881886
3.0,996,152.661912
0.0,555,161.822122
5.0,1578,188.62868
6.0,1602,216.034164
1.0,732,228.576955
2.0,892,246.737411
0.0,568,258.729645
0.0,567,269.126652
0.0,500,279.164508
1.0,634,290.808236
4.0,1161,317.962536
1.0,691,330.97951
1.0,653,343.156008
1.0,735,358.210863
0.0,525,368.368431
3.0,1060,389.717512
1.0,744,402.340092
2.0,871,420.276348
4.0,1216,444.364105
3.0,909,465.58943
1.0,658,481.099444
5.0,1474,514.202172
1.0,716,526.526341
2.0,859,545.638767
5.0,1418,575.293679
12.0,1358,603.327915
3.0,883,622.017044
1.0,732,634.806618
3.0,1119,657.536669
7.0,1716,691.353927
2.0,929,710.851449
8.0,1426,739.958804
7.0,1511,766.753781
13.0,1442,798.154914
