#{"t_start": 1595849462.6398132, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,704,12.173285
0.0,613,19.32638
0.0,538,26.291827
0.0,517,32.954426
2.0,801,46.537827
8.0,1414,72.106753
1.0,673,87.857191
2.0,897,103.516971
0.0,532,114.561763
0.0,541,126.562174
0.0,537,137.87794
2.0,803,153.817909
4.0,1136,172.090822
2.0,851,187.96656
4.0,1248,208.328372
2.0,807,224.303138
5.0,1231,246.676502
2.0,792,264.487617
2.0,794,278.940867
2.0,822,296.183272
3.0,1116,320.12514
1.0,632,331.894296
2.0,826,349.009047
0.0,508,358.82333
1.0,689,371.796261
3.0,1100,392.596583
8.0,1455,421.675781
0.0,568,432.826277
4.0,1195,457.912783
2.0,831,479.748607
1.0,653,492.703105
10.0,1643,527.241876
9.0,1538,560.45237
6.0,1566,592.404387
9.0,1704,630.447924
2.0,875,643.613326
5.0,1460,673.565922
4.0,1119,694.551262
1.0,695,710.386544
7.0,1762,743.935219
14.0,2320,793.064669
