#{"t_start": 1595849462.8307326, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,536,10.484713
0.0,592,17.413308
2.0,825,27.096145
5.0,1414,49.248695
0.0,548,59.712186
9.0,1628,91.958502
0.0,567,102.83232
1.0,704,120.145043
3.0,963,138.404976
3.0,1008,156.477083
3.0,1052,174.337675
4.0,1278,197.229035
3.0,1044,215.65201
2.0,843,232.001701
2.0,820,246.968016
1.0,707,263.231874
4.0,1227,286.460903
1.0,732,299.794047
1.0,669,316.699161
1.0,676,329.609877
1.0,685,341.958023
2.0,963,360.387505
3.0,1081,382.261109
3.0,918,399.833974
7.0,1806,434.8634
8.0,1526,469.616758
2.0,918,490.779045
2.0,832,510.863877
9.0,1542,542.69297
2.0,803,558.612659
7.0,1055,579.531568
3.0,1006,601.755877
9.0,2070,642.091892
5.0,1231,668.447698
17.0,2368,713.419286
4.0,1319,740.885064
2.0,760,754.261069
6.0,1482,785.417609
