#{"t_start": 1595849462.338527, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
3.0,1024,15.148536
2.0,936,27.739072
1.0,700,38.274623
0.0,555,47.785103
6.0,1622,79.847731
0.0,545,90.43427
9.0,1623,124.102806
9.0,1546,154.956515
2.0,779,169.151956
3.0,945,183.392542
4.0,1120,204.206903
1.0,736,216.262828
4.0,1118,236.627926
4.0,1054,258.662677
1.0,662,270.668881
2.0,935,289.171065
3.0,997,310.683138
1.0,689,324.903075
2.0,877,342.460318
4.0,1343,369.17321
2.0,832,384.507014
0.0,564,394.116481
2.0,852,411.44448
5.0,1336,439.841354
2.0,934,457.88114
5.0,1496,492.732649
2.0,747,511.52712
1.0,642,523.864952
6.0,1539,556.353037
3.0,1007,576.161683
4.0,1248,602.429692
4.0,1095,624.679337
8.0,1739,657.727573
4.0,1139,680.67268
6.0,1443,709.603797
7.0,1780,743.380334
15.0,1943,783.439285
2.0,752,798.576898
