#{"t_start": 1595849462.56948, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,708,12.163313
2.0,819,21.466367
0.0,591,30.700998
1.0,722,40.017315
2.0,800,55.582766
0.0,539,66.566806
4.0,1212,90.203317
0.0,564,101.015817
1.0,701,114.835397
1.0,753,133.547542
1.0,769,147.099807
0.0,611,157.08028
0.0,597,169.355683
1.0,700,180.473721
1.0,756,192.102332
1.0,629,204.597478
4.0,1216,225.926385
3.0,948,244.14667
1.0,640,257.114604
2.0,852,275.136081
12.0,2092,318.395386
2.0,811,333.125011
2.0,929,351.629159
4.0,1257,378.826337
0.0,568,389.071014
0.0,559,398.908117
7.0,1643,431.142213
6.0,1640,466.992344
3.0,1107,491.785912
2.0,851,512.598328
7.0,1735,547.369199
3.0,967,567.939826
5.0,1343,597.44621
3.0,1132,620.766915
9.0,1446,648.116306
4.0,1168,671.046897
1.0,731,683.629251
5.0,1534,714.675879
2.0,840,732.267468
6.0,1430,760.990408
5.0,1287,786.392488
