ep_rew_mean,total timesteps,total_time,num_episodes,entropy_loss,policy_gradient_loss,value_loss,total_loss
-7.191257374999999,8192,2.9260926246643066,8,,,,
-5.2390849374999995,16384,14.897233724594116,16,-1.4241502616554498,-0.0036814768128497093,1.0364071887917816,1.032725711978932
-3.811417791666667,24576,28.735499143600464,24,-1.4262777491472662,-0.004841858439055434,0.6301057204022072,0.6252638619631518
-2.3587293125,32768,40.51928949356079,32,-1.4189667405560613,-0.0066928914196114605,0.36004660167964175,0.3533537102600303
-0.7807384749999997,40960,52.01219820976257,40,-1.4174326865002513,-0.005713770655485168,0.24543886518804356,0.23972509453255836
1.6080170833333336,49152,64.24770259857178,48,-1.4207653130404652,-0.005682727597521184,0.15531423839274794,0.14963151079522677
5.42014618,57344,77.76797223091125,56,-1.416672406811267,-0.005067142143832845,0.10563172813563142,0.10056458599179856
12.22366318,65536,90.44872283935547,64,-1.402480225916952,-0.004206509100119006,0.09077920259005623,0.08657269348993722
17.20937034,73728,101.97979068756104,72,-1.3909605199471116,-0.0031263855230525077,0.06896611421107082,0.06583972868801831
23.530412360000003,81920,113.43065333366394,80,-1.3789839310571552,-0.005571766200678807,0.10404805294238031,0.0984762867417015
27.75361318,90112,125.86070823669434,88,-1.370146742183715,-0.0019354856467688857,0.07786504532850813,0.07592955968173924
33.169840740000005,98304,139.534006357193,96,-1.3739820551127195,-0.0016133970451511254,0.07194532744979369,0.07033193040464256
37.351980999999995,106496,150.86330723762512,104,-1.3827085028402508,-0.0006950890765706112,0.08245692002456054,0.08176183094798992
39.93776726,114688,161.89351344108582,112,-1.3767076482996345,-0.0008919326905896762,0.08393677981657674,0.08304484712598707
42.54803686,122880,173.40531468391418,120,-1.3631137484684586,-0.0002440186553344009,0.09762569158483529,0.09738167292950091
44.37982116,131072,186.2168743610382,128,-1.352647452428937,-0.0017726295404172168,0.11300368367665214,0.11123105413623491
47.097935820000004,139264,200.19512510299683,136,-1.35500280065462,-0.0016309643280960251,0.12137457100834581,0.11974360668024979
49.836117279999996,147456,213.27662205696106,144,-1.3429906133562326,-0.001109695873247647,0.1388507472103811,0.13774105133713344
53.020806760000006,155648,225.49955821037292,152,-1.3181382021866739,-0.0007893210921894218,0.16080073445591553,0.1600114133637261
54.978893580000005,163840,238.35308408737183,160,-1.3042465703561903,-0.000319328319528115,0.19444254443078535,0.19412321611125724
60.256659,172032,250.44804620742798,172,-1.3039600431919098,0.0001053309878443501,0.21534232599442477,0.21544765698226911
65.45714866,180224,262.2732880115509,180,-1.2948501367121934,-0.0015928767015100935,0.24143758247519145,0.23984470577368136
71.93663008000001,188416,274.3651702404022,188,-1.2738415295258165,-0.0020654038443117793,0.15960447108809603,0.15753906724378425
79.69491915999998,196608,286.34805607795715,196,-1.2536146086640656,-0.0021903190457809854,0.1518617501402332,0.1496714310944522
87.56146057999999,204800,298.5718762874603,204,-1.2309613891877234,-0.0014913768882831705,0.22170283118321094,0.22021145429492778
98.02607320000001,212992,310.441353559494,212,-1.2128623091615736,-0.002294082354790474,0.1982332736835815,0.19593919132879103
108.61418370000001,221184,322.9109876155853,220,-1.1936477782204746,-0.000794834967060045,0.4905634664770332,0.48976863150997313
115.70509536,229376,336.6351010799408,228,-1.1835935070179402,-0.0003289942610259587,0.544823380667367,0.5444943864063412
120.93730068,237568,347.9585597515106,236,-1.1733983751386403,-0.0005483194050694697,0.8357605519762729,0.8352122325712033
124.65631862000001,245760,359.25321102142334,244,-1.158417375292629,-0.0010351902134067305,1.0427392998914002,1.0417041096779935
126.86910612,253952,370.8628523349762,252,-1.1423920962959528,-0.0006126265503193255,1.0939956757501932,1.0933830491998737
128.22398428,262144,384.59269165992737,260,-1.1334970712661743,-0.00025322781588011463,1.409982919995673,1.409729692179793
128.38875646,270336,397.2386918067932,268,-1.1204738527536393,0.0002332012900662179,1.4598939290706767,1.460127130360743
130.23784962000002,278528,409.38095927238464,276,-1.12173564536497,-0.0006573315961621234,1.3539402922062436,1.3532829606100816
133.15084192,286720,420.89774656295776,284,-1.115468952897936,0.0005074047976906578,1.3439516515194554,1.3444590563171464
137.50251114,294912,432.5968062877655,292,-1.114455631468445,-0.0006082937856085566,1.329199938265083,1.3285916444794743
140.37312912000004,303104,444.7953977584839,300,-1.10595736335963,-0.0009464479609023642,1.331297604649444,1.3303511566885415
145.48844044,311296,458.909747838974,308,-1.0858061105944217,-0.0002161807667966606,1.4482901064358884,1.4480739256690918
148.64582162,319488,471.59031796455383,316,-1.0897960276342928,-0.0005423455778057553,1.4243084489135072,1.4237661033357014
150.43621648,327680,483.1076629161835,324,-1.10590310562402,0.0008664060313602777,1.4475848146917998,1.44845122072316
151.20831536,335872,494.73589181900024,332,-1.1082551481202245,0.00011724713794524598,1.3992105154175078,1.3993277625554532
151.79573218000002,344064,506.7609028816223,344,-1.0987420656718314,-0.00033971517084358557,1.3968776117922972,1.3965378966214537
153.13189564,352256,519.8299767971039,352,-1.0902019928209483,0.0005036197019389963,1.925431469929754,1.9259350896316927
154.95802434,360448,533.4662160873413,360,-1.0808598136529326,-0.0004476738810142591,1.4105165869608753,1.4100689130798612
160.09855202,368640,545.0975229740143,368,-1.0711215966381133,-9.605636752669077e-05,1.3425638336426347,1.342467777275108
164.37435806000002,376832,556.6331572532654,376,-1.0537464021705092,-0.0005091038789075618,1.4269326164998346,1.4264235126209273
170.19704714,385024,568.3540301322937,384,-1.0293117605149746,-0.00022885070794946964,1.4784373361238976,1.4782084854159483
