mean_int_reward,num_episodes,total timesteps,ep_rew_mean,Progress,total_time,icm_loss,policy_gradient_loss,value_loss,entropy_loss,total_loss
1.0094387331,964,8192,9.24,0.0%,3.3101646900177,,,,,
0.1230119815,1631,16384,11.78,0.82%,17.93511939048767,0.8573632818646729,-0.02347517981330724,2.7735260099172594,-1.3871565403416752,1.132368364875068
0.1003130048,2014,24576,22.1,1.64%,32.48487830162048,0.758980683539994,-0.024524435174284064,1.5755250896792858,-1.3215824538841843,0.9140807489904944
0.0746177335,2259,32768,29.92,2.46%,47.579184770584106,0.6732989161275327,-0.0160065779747552,1.1660039976704866,-1.262218743003905,0.7882986580971059
0.0450011315,2425,40960,51.24,3.28%,65.14694619178772,0.6014127186266706,-0.014149391228085024,0.6679341330425814,-1.205101307015866,0.6667911928081202
0.0306327249,2550,49152,62.64,4.1%,80.19831037521362,0.5326509037055075,-0.008438964051630079,0.4311331268399954,-1.1578189932741225,0.574920319984344
0.0263586667,2639,57344,81.78,4.92%,96.29374265670776,0.469809572561644,-0.008919076383287632,0.3071707428607624,-1.1025885793380439,0.4996347392093915
0.0219773291,2705,65536,123.94,5.73%,111.28700876235962,0.4250644408515655,-0.0051538329618785825,0.2266413503239164,-1.0450264867395163,0.4472131925877692
0.0197548556,2757,73728,162.72,6.55%,126.82402753829956,0.3697924938518554,-0.004673379428701248,0.15848688082478474,-1.0056926233228296,0.3851738439914637
0.0167811055,2780,81920,212.9,7.37%,143.00211644172668,0.3499845373327844,-0.0071828477853876525,0.12491878123255447,-0.9699532189872115,0.3617581306775011
0.0124150246,2792,90112,348.12,8.19%,158.05124044418335,0.3262965018860996,-0.006461503184766225,0.11916007024701684,-0.9251792338211089,0.33756635859232464
0.0105186281,2800,98304,481.56,9.01%,171.8409674167633,0.29158211626345293,-0.004340658928778048,0.095284203360643,-0.8737965234089643,0.30067647070663944
0.0092141154,2810,106496,614.2,9.83%,186.42476105690002,0.26618690489558505,-0.002400154291836154,0.06681685426483455,-0.8313605551142246,0.27262857489288483
0.0081205361,2819,114688,724.72,10.65%,202.20765280723572,0.2428834072255995,-0.0010039382514203416,0.07576058363474658,-0.7949568945448846,0.25035907176393213
0.0073141507,2827,122880,839.06,11.47%,217.67833924293518,0.23161780303926208,0.00045592787243260783,0.06230654364662769,-0.7710664469748736,0.23789405019116808
0.0067004146,2835,131072,883.6,12.29%,231.20399022102356,0.21960147440549918,-4.125904521242619e-05,0.05639052182116302,-0.7736446963157505,0.2252364006830942
0.0064766965,2843,139264,950.98,13.11%,246.4760217666626,0.2272928860562388,0.0006219072901803695,0.05261949402324717,-0.7626779246609658,0.23261702618758157
,2843,139264,950.98,,261.79368686676025,0.21261339514749125,0.0005360847241549335,0.050814548626158286,-0.7583104092162103,0.21774845848252258
