total_time,num_episodes,ep_rew_mean,mean_int_reward,Progress,total timesteps,icm_loss,value_loss,entropy_loss,policy_gradient_loss,total_loss
2.8117916584014893,580,14.36,1.3145047113,0.0%,8192,,,,,
16.38374900817871,938,27.16,0.2081446535,0.82%,16384,0.9521987679414451,2.2197492802515626,-1.3853546869941056,-0.0165790060502268,3.155369042142781
30.192052125930786,1180,29.48,0.1049512123,1.64%,24576,0.7961053960490971,0.9994449840392917,-1.3317184538580478,-0.01273732567015553,1.7828130544182337
44.55483078956604,1328,62.2,0.0870207661,2.46%,32768,0.687542544468306,0.6714410729706287,-1.2764566243626176,-0.008607569898868208,1.3503760475400666
58.42636227607727,1409,116.64,0.0759684759,3.28%,40960,0.6186358375474811,0.39512552390806377,-1.2096124420873822,-0.009617262891952114,1.0041440985635928
73.69776034355164,1472,136.44,0.0524049924,4.1%,49152,0.5297558429185301,0.2694481107755564,-1.1413037046790122,-0.0062045722946864465,0.7929993813994
88.78118324279785,1492,206.66,0.0405861472,4.92%,57344,0.4659290809649974,0.22189310325193218,-1.0797786784358323,-0.005570382464918341,0.6822518017520113
103.66590785980225,1513,330.2,0.0295699025,5.73%,65536,0.4077615060377866,0.07462638895740384,-1.0246480029076337,-0.006447061779291424,0.4759408332158991
118.7667965888977,1528,435.28,0.025242512,6.55%,73728,0.3636509944451973,0.11350986608376842,-0.9716092381626368,-0.0026901732218308524,0.47447068730713493
133.3620686531067,1538,521.18,0.0186740679,7.37%,81920,0.33374269207706675,0.0830896683040919,-0.9183545539621264,-0.0031654475144921325,0.4136669128666665
148.92916083335876,1551,552.2,0.0179862161,8.19%,90112,0.28459037533029913,0.05528555780510942,-0.891528874123469,-0.0006093168981740839,0.33926661623723453
164.6273283958435,1562,646.18,0.0141806202,9.01%,98304,0.27865985691314565,0.07563173624876071,-0.8459906526375562,-0.0018123863465511494,0.35247920681535516
179.88581728935242,1571,724.28,0.0117599868,9.83%,106496,0.24779855324304662,0.06478694285387973,-0.7988058623392135,-0.0009555902619630127,0.3116299058349633
194.39271450042725,1579,781.2,0.0105400504,10.65%,114688,0.2260109330585692,0.05282462369489167,-0.7681586708407849,-3.0150154692645857e-05,0.27880540659876824
209.19232058525085,1588,811.7,0.0099771399,11.47%,122880,0.21922750259400345,0.046879020376673,-0.7715695894788951,-0.00020007393153790518,0.2659064490391385
224.1984875202179,1597,866.58,0.0096263696,12.29%,131072,0.22739011680241675,0.051195415667871204,-0.7874828353989869,-0.00024678470311004577,0.2783387477671779
238.80502080917358,1606,935.28,0.0086567663,13.11%,139264,0.2311708491994068,0.052662506091542126,-0.7737729051150382,0.0005209556734419755,0.2843543109643909
256.02552556991577,1615,950.44,0.0078759855,13.93%,147456,0.21627780963899568,0.05226379902642293,-0.7541558997239918,0.0003836358911308068,0.2689252445565494
272.36248326301575,1623,959.22,0.0071416878,14.75%,155648,0.21214739950373768,0.05152196719654967,-0.7269683226477355,-3.422068795795828e-05,0.2636351460123294
287.31019377708435,1631,959.22,0.0066967089,15.56%,163840,0.19704779302119277,0.04675804647395125,-0.697532326169312,9.55700171174652e-05,0.2439014095122615
302.7556173801422,1639,964.84,0.0064313176,16.38%,172032,0.19158613231847993,0.04771056384524854,-0.6865105201024562,2.5470564611858533e-05,0.23932216672834034
317.81739711761475,1647,977.92,0.0067472399,17.2%,180224,0.1844101903901901,0.04822809208585568,-0.6857312053442002,0.0005639567439588471,0.23320223922000466
332.7872865200043,1656,975.88,0.0064071614,18.02%,188416,0.18977416676352732,0.04864302531445901,-0.6895705776754767,-0.00034946755708358283,0.23806772452090277
347.23451018333435,1665,975.88,0.0064908847,18.84%,196608,0.19048266896279528,0.054246616677028216,-0.6788967562373728,-0.0005974507591927157,0.2441318348806308
362.75881814956665,1673,984.78,0.0060069964,19.66%,204800,0.1813766072737053,0.05604980173584408,-0.6730601251125335,-7.540401736932627e-05,0.23735100499218004
377.3759243488312,1687,893.12,0.0070721407,20.48%,212992,0.1748745604243595,0.04973921608507226,-0.672151567460969,-0.0015614405099742355,0.22305233599945753
392.49416160583496,1704,726.3,0.0063234909,21.3%,221184,0.17948934037121944,0.0627282014433149,-0.6580687681678683,0.0004282897888965881,0.24264583160343092
407.1163730621338,1720,573.98,0.0061752912,22.12%,229376,0.17123618406476454,0.05524169843392883,-0.6705762900877744,-0.0035339326549773398,0.22294394984371602
421.65434408187866,1730,553.76,0.0063329345,22.94%,237568,0.18256550466176122,0.04474236304704391,-0.6871988597325981,-0.0010151589752639162,0.22629270873354118
436.41103434562683,1740,593.46,0.0055788809,23.76%,245760,0.19186705594183878,0.040459336092499146,-0.6853964706417173,-0.004087901979805911,0.228238490054532
451.0971212387085,1748,685.14,0.0052576368,24.58%,253952,0.1819116148923058,0.043480430924137184,-0.6431942503899336,-0.006712706159942472,0.2186793396565005
467.9306752681732,1756,770.66,0.0050845812,25.4%,262144,0.1661218287423253,0.05945000117212658,-0.6215697405859828,0.0001562627365807371,0.2257280926510326
483.21587228775024,1764,837.44,0.0045937976,26.21%,270336,0.16379542492213658,0.05457875520592097,-0.6216395241208375,-9.763378416291481e-05,0.21827654634389465
497.9332411289215,1772,920.08,0.0047867863,27.03%,278528,0.16335330875590443,0.060690106647052745,-0.6086897103115916,-6.359748824148897e-05,0.22397981791471572
512.7000916004181,1780,964.3,0.0043845486,27.85%,286720,0.15695883724256418,0.061469377656294455,-0.5861413717269898,-0.0006468607410902601,0.21778135415776836
