total timesteps,mean_int_reward,num_episodes,Progress,ep_rew_mean,total_time,entropy_loss,total_loss,policy_gradient_loss,value_loss,icm_loss
8192,0.9846043016,1518,0.0%,5.42,3.0554616451263428,,,,,
16384,0.0739474345,2772,0.82%,7.56,17.336904048919678,-1.387623714003712,3.6785664517164847,-0.03223324409102401,2.855935082398355,0.8548646134091541
24576,0.0497337262,3672,1.64%,8.94,31.949047327041626,-1.3028138298541307,2.410993298773694,-0.03265836608871481,1.6641704712063075,0.7794811936561018
32768,0.0503188485,4290,2.46%,12.82,47.04990196228027,-1.1876277210190893,1.9009098178536248,-0.0308874979553193,1.3023362832143903,0.6294610325945541
40960,0.0608142949,4636,3.28%,24.42,62.33035850524902,-1.0793519007973373,1.7278771744068582,-0.026437059491327075,1.2505314875859768,0.5037827463122084
49152,0.0411445198,4844,4.1%,36.54,77.75373530387878,-0.9871077300515025,1.4803156358645109,-0.01714170889567605,1.0758469448890537,0.42161039987113325
57344,0.0238041493,5047,4.92%,40.42,92.07824277877808,-0.9280977193731814,0.9091476049334798,-0.0058095460929853,0.5883763971505687,0.32658075387589636
65536,0.0271478946,5212,5.73%,49.7,107.54333591461182,-0.8827722487971187,0.7026241133429149,-0.006732768661152494,0.4077478913124651,0.30160899069160224
73728,0.0199903689,5352,6.55%,59.18,122.97470498085022,-0.8262379329185933,0.5635783081475031,-0.00922410707489213,0.2862490186234936,0.2865533965989016
81920,0.0202028701,5460,7.37%,80.02,137.7790768146515,-0.7813618053216487,0.4802848334168873,-0.009476691463417626,0.24120588300284,0.24855564187746496
90112,0.0147408323,5539,8.19%,105.0,152.92335963249207,-0.7318936408031732,0.4081271651713324,-0.005814063838319202,0.18207560748851392,0.23186562152113765
98304,0.0117197576,5606,9.01%,132.06,167.88027048110962,-0.6936605599708855,0.3426638251131295,-0.005443300499894006,0.13898207691672723,0.20912504869629628
106496,0.0105648017,5655,9.83%,161.78,183.41974997520447,-0.6543858419638127,0.3138652220397723,-0.00347190669560792,0.12569135089870542,0.19164577783667483
114688,0.008907742,5689,10.65%,218.22,198.47801542282104,-0.6189308020751924,0.2531289213553171,-0.005885866536329727,0.08314908524625934,0.1758657026453875
122880,0.0075067654,5701,11.47%,313.4,213.65304136276245,-0.5800645025447011,0.20244550860211116,-0.008455462336999068,0.04756995157295023,0.16333101936616004
