ep_rew_mean,num_episodes,total_time,total timesteps,mean_int_reward,Progress,total_loss,policy_gradient_loss,entropy_loss,icm_loss,value_loss
12.28,600,2.966660261154175,8192,0.9710637501,0.0%,,,,,
20.92,973,17.12714910507202,16384,0.1198981287,0.82%,2.789482181849324,-0.0204327486181698,-1.3849168826825917,0.8515192925231532,1.9583956379443408
39.44,1210,30.656620979309082,24576,0.0791082369,1.64%,1.6054343163361195,-0.0178709913418277,-1.334790281113237,0.753607194009237,0.86969811366871
53.82,1369,44.504287004470825,32768,0.0563707144,2.46%,1.2245896142269586,-0.013972771464371458,-1.2790313962846995,0.6798825518693775,0.5586798338219523
68.72,1478,58.75480914115906,40960,0.0388943508,3.28%,1.0711132657302485,-0.00881628293470138,-1.229554317239672,0.6309963656589389,0.4489331830060109
112.44,1550,72.8167610168457,49152,0.0286315057,4.1%,0.8539489052890129,-0.007369060262266592,-1.1714576473459601,0.5560956340050325,0.305222331546247
167.42,1599,87.10591292381287,57344,0.0232298728,4.92%,0.7211239956868895,-0.004679608971105153,-1.1079503323882818,0.48642143961042167,0.23938216504757293
179.92,1644,101.1734778881073,65536,0.0202695735,5.73%,0.6011211844047637,-0.004722427029338445,-1.0422990310937166,0.4234810418100096,0.18236256962409242
234.1,1671,116.73316645622253,73728,0.0149881505,6.55%,0.5025775814756889,-0.006221548918201819,-0.9946632908191532,0.3689184888266027,0.13988064156728797
324.26,1681,132.2337203025818,81920,0.0109733763,7.37%,0.42256096971096585,-0.007303041510832334,-0.9441667874809354,0.3302999783540145,0.09956403286778368
464.96,1690,148.25746321678162,90112,0.0100234317,8.19%,0.35441446136457805,-0.0035859109932776224,-0.9011486088857055,0.29375200796639545,0.0642483643914602
598.82,1699,163.9822599887848,98304,0.0084479955,9.01%,0.33975663673191875,-0.0014670513723002978,-0.8570818603038788,0.2779453853610903,0.06327830274312873
715.14,1710,179.88846588134766,106496,0.0078976859,9.83%,0.315026988247695,-0.0006373551444140378,-0.811161479447037,0.25614431496942414,0.05952002842268485
833.2,1718,195.48062443733215,114688,0.0069484362,10.65%,0.3097523803562602,-0.000981158569900518,-0.7726994990836829,0.23457356620347128,0.07615997272268941
881.0,1728,211.5045096874237,122880,0.0081028746,11.47%,0.2649474050178379,-0.0005505085445382792,-0.7801891952287405,0.21256264109397308,0.05293527246840313
879.66,1737,226.6738407611847,131072,0.0076092245,12.29%,0.30158330887684753,0.0001327572000762765,-0.7819958606734871,0.23593409818131478,0.06551645349545651
879.04,1747,241.7933897972107,139264,0.0071841893,13.11%,0.2831331474186638,-0.001948220262522973,-0.7722767637111246,0.22666530903661625,0.058416058644570515
887.78,1756,256.75611090660095,147456,0.0061524049,13.93%,0.2871803473312961,-0.00012805318055100022,-0.7438614738639444,0.22236162497429177,0.06494677553755537
905.12,1764,272.21422266960144,155648,0.0058267887,14.75%,0.2572816745172319,-0.0009933017419583262,-0.7117108907550573,0.2005421384354122,0.05773283782377803
937.44,1772,288.1562304496765,163840,0.0051336586,15.56%,0.24453644083718878,-0.0014746609378134736,-0.6599069566000253,0.19504431686364115,0.050966784911361175
917.9,1781,303.7345826625824,172032,0.0049737557,16.38%,0.2193291685109428,0.0003736133651485459,-0.6352075093891472,0.16870907343109137,0.0502464817147029
933.14,1789,318.7028594017029,180224,0.0044638847,17.2%,0.22150954008822277,-0.0006976558976339454,-0.6133172459900379,0.16621597807388752,0.05599121791196922
968.26,1797,334.31245946884155,188416,0.0041194929,18.02%,0.21025282492514757,-0.0007561692085788281,-0.596949535375461,0.16101884552044793,0.04999014861327851
979.06,1805,350.51891255378723,196608,0.0036949524,18.84%,0.20650006886101405,-0.00029476706915406326,-0.5847602962981909,0.1570113151043188,0.04978352082584934
980.46,1813,366.25288105010986,204800,0.0031714523,19.66%,0.19774534376070538,0.0003582815330063353,-0.5566491772420704,0.14695087998989037,0.05043618223780868
980.46,1821,381.81878638267517,212992,0.0029894204,20.48%,0.18809192776341582,8.478822920021827e-05,-0.5358966092579067,0.13704674940090628,0.05096039013330937
980.46,1829,398.43186140060425,221184,0.0029423409,21.3%,0.18785723631366205,0.00047932698915725174,-0.5288400737568736,0.13595639842678792,0.05142151089771687
1000.0,1837,417.3032343387604,229376,0.0026307287,22.12%,0.18964333045967333,5.2582094556156e-05,-0.5362463279161602,0.1362376846256666,0.05335306373945059
1000.0,1845,433.35647797584534,237568,0.0029465227,22.94%,0.19268691275831587,-0.0005531834251287518,-0.5546773184090853,0.13925665572169238,0.053983440461752255
1000.0,1853,449.3225634098053,245760,0.0028653823,23.76%,0.2003788740484666,0.0008075871769520942,-0.5620846566744149,0.1461527936393395,0.05341849323217503
1000.0,1862,465.032595872879,253952,0.0031938856,24.58%,0.2034452814267463,0.0003157917119717858,-0.5642065871041269,0.14625886653666384,0.05687062317811069
1000.0,1870,480.73404932022095,262144,0.0030293851,25.4%,0.2150208133213806,0.0005661682934811196,-0.5654010779224337,0.151426216942491,0.06302842808540846
1000.0,1878,496.5304186344147,270336,0.0028014137,26.21%,0.20005111127950964,0.00015607803769067326,-0.5621841936837881,0.14407006360124797,0.055824969640571
1000.0,1887,512.7139575481415,278528,0.0028528067,27.03%,0.20174224244549502,-0.0007878101043146682,-0.5490219462197274,0.14656576946144922,0.05596428308836039
990.22,1896,529.4713428020477,286720,0.0028423608,27.85%,0.2034732546728976,-0.0007196584233695773,-0.5689122091513127,0.14062790651223622,0.06356500658403093
