ep_rew_mean,num_episodes,total_time,mean_int_reward,total timesteps,entropy_loss,total_loss,intrinsic_loss,value_loss,policy_gradient_loss
9.40432375,8,2.289680242538452,0.0024906306,8192,,,,,
11.4302955,16,15.757559299468994,0.4751665,16384,-1.4000602982006967,0.7510466536619969,0.15963744895416312,0.6768776355660521,-0.005649706381136746
14.105864333333331,24,27.761489629745483,0.18132848,24576,-1.368162535969168,120.1928792961592,239.7127118498087,0.3413099418103229,-0.004786570555471261
15.1646265625,32,39.84415125846863,0.17352325,32768,-1.3429787004366518,24.804576761648903,49.1581495527178,0.22846583862556144,-0.00296385333556111
16.528937875,40,53.759233236312866,0.10199398,40960,-1.3059591642580926,32.28441764556089,64.15621722340583,0.21094684649360715,-0.004637812635634837
17.245671541666667,48,66.95588803291321,0.09793727,49152,-1.2552169973030687,11.501000259309464,22.851783761940897,0.0776331425704484,-0.0025247642314325273
18.96672056,56,80.74274611473083,0.12250129,57344,-1.228620606660843,11.558579387093264,22.966787807713263,0.07856447620542895,-0.0033789929687961773
20.14683032,64,94.50929665565491,0.06288899,65536,-1.2011054414324462,24.711785485520625,49.20599754741416,0.11141536790291866,-0.002628656089373194
19.91827612,72,107.82435464859009,0.06246201,73728,-1.1799427798949182,6.433868325863552,12.744210830179508,0.0642469112715844,-0.002484000497787833
20.48407416,80,121.45166897773743,0.047596008,81920,-1.152165637165308,6.582680834506936,13.058627348509617,0.054201281127916445,-0.000834120875787577
19.5586905,88,135.06892323493958,0.04698433,90112,-1.1289028817787767,5.364232544096384,10.591611052397639,0.06938205407236638,-0.0009550361748015101
19.089114199999997,96,148.6624789237976,0.06756091,98304,-1.1073154216632246,5.311871091916613,10.495181890006643,0.0653541473820951,-0.0010740004688035362
18.81298018,104,161.76703333854675,0.06917229,106496,-1.1011693526990711,9.797696907677954,19.442956321535167,0.07680698802505503,-0.0005882411146832587
18.62441298,112,174.96040868759155,0.04914712,114688,-1.0938434466719626,9.95273574076047,19.77757137696026,0.06514645601282609,-0.00119640373248532
19.26880744,120,187.6048448085785,0.073505215,122880,-1.0859179155901075,4.674212128078042,9.226460007589775,0.0623890132294946,-0.0014068889463401365
19.754926779999998,128,201.22306776046753,0.092300214,131072,-1.0828063647262751,5.723187513889216,11.083746878104284,0.18579512075084495,-0.004481045913771369
22.154362019999997,136,214.73790621757507,0.10179204,139264,-1.0752675320021807,4.00373567374874,7.204979320149869,0.4092906031233724,-0.008044589449566587
25.255923940000002,144,228.36132884025574,0.08796192,147456,-1.0588134889490903,3.95791614557517,7.36620893580839,0.28162388782657216,-0.0068122101555973865
