mean_int_reward,num_episodes,total timesteps,ep_rew_mean,total_time,intrinsic_loss,policy_gradient_loss,total_loss,entropy_loss,value_loss
0.024392765,8,8192,-25.79325,2.3056492805480957,,,,,
0.36676055,16,16384,-19.1868135,17.667579889297485,7.648298671306111,-0.0016200682708142928,4.35136088733784,-1.4179666298441589,0.5288316199555994
0.47050208,24,24576,-5.181898874999999,30.80312991142273,83.09113788306713,-0.01164654324126424,41.851768118135475,-1.4193542663007974,0.31784571984317156
0.09943916,32,32768,2.0399534062500004,45.08464312553406,94.42176470160484,-0.015667691630666253,47.31573146157722,-1.3758666873909533,0.12051680240547284
0.034318306,40,40960,6.3912657500000005,57.54633903503418,6.902721030544489,-0.005109844312833506,3.4868262586375876,-1.3476707110181452,0.04057558767817682
0.038666748,48,49152,9.681028166666666,70.25006198883057,1.718166582880076,-0.0005714399204688475,0.8918600510115258,-1.3160170383751393,0.03334819949195662
0.11697695,56,57344,17.24665168,82.74493956565857,2.9384211328579113,-0.002181404442519816,1.4910887213268935,-1.3144089042209088,0.02405955934045778
0.03492336,64,65536,24.119840720000003,95.6671884059906,43.331631573289634,-0.0014876812010525989,21.751653037809792,-1.2814869532361626,0.0873249323660275
0.0407438,72,73728,27.566290939999995,109.18471574783325,1.8298912594793364,-0.0027191047780671307,0.9883946619754841,-1.2667381103150546,0.0761681370138831
0.0048220847,80,81920,29.976168740000002,122.65771675109863,1.4002281891414896,-0.0023120066871433805,0.7277350763257255,-1.257560322806239,0.029932988442124043
0.008321917,88,90112,31.5936911,135.3597753047943,1.2351778460433707,-0.0018275286099702138,0.6413007512603549,-1.263386680185795,0.025539356848639727
0.0040754285,96,98304,32.43319074,148.74703812599182,1.044851137814112,0.000451512704152839,0.5417073019231836,-1.271665273513645,0.018830220311974698
0.004934215,104,106496,34.20204348,161.59879899024963,0.3805100812634919,-0.003990359824466343,0.20347069409844068,-1.2705789260566234,0.01720601329116107
0.00039908563,112,114688,34.69088592,175.48378205299377,0.27338026448560415,-0.0031069335732934146,0.1500607638977601,-1.2915925323031843,0.01647756522825148
0.0005674063,120,122880,35.62303396,189.07685232162476,0.24417053049546666,-0.004333935414576285,0.1365049955917522,-1.282708104327321,0.01875366575859516
3.6627076e-05,128,131072,35.7076693,202.77527785301208,0.1844842145568691,-0.006123673228612967,0.10913185358825964,-1.288799302186817,0.02301341953843803
1.759105e-05,136,139264,35.45598974,216.48178815841675,0.05861168987394194,-0.004348465806316848,0.06968448441727404,-1.2920719916000962,0.04472710528661992
2.2648745e-05,144,147456,36.709046,230.16731333732605,0.03603315388390911,-0.004428254876774682,0.032292354836527426,-1.264018346183002,0.018704032771347558
2.8979895e-07,152,155648,37.00598884,243.0307698249817,0.01339304337016074,-0.0061316425966009445,0.019404917879338096,-1.2461569895967841,0.01884003879085867
1.362479e-07,160,163840,39.39512786,256.2970781326294,0.004733594301433186,-0.005319940318243161,0.018066001982167373,-1.2194063226692378,0.02101914514969394
1.1922009e-06,172,172032,40.914522919999996,269.24164724349976,0.0022077452733583413,-0.004470030788751001,0.016678507505515926,-1.193381370883435,0.020044665657587758
4.428893e-05,180,180224,41.25055324,282.42326307296753,0.001183723888880195,-0.0014227445725051857,0.0346561785290081,-1.1745887959375978,0.03548706115707319
6.579561e-06,188,188416,42.824030979999996,295.6630229949951,0.0006816187556466958,-0.004885568479833531,0.06543927069978872,-1.18774391785264,0.0699840298017989
6.121032e-06,196,196608,43.618756000000005,308.85101675987244,0.0006521337101901281,-0.0029029290212570385,0.031129338006784434,-1.1983172015286983,0.03370620017294641
1.6082463e-06,204,204800,44.04092642000001,322.2283763885498,0.0003935295375256942,-0.0061323420291085244,0.03307103539617594,-1.1914025655947627,0.03900661265652161
7.894429e-07,212,212992,44.33115656,335.5059049129486,0.00018119909554314972,-0.0030326041519351957,0.016162246683690294,-1.1651652832515538,0.019104251287853913
2.051286e-07,220,221184,46.39262624,349.0527129173279,0.0001871596915492546,-0.003765148278801078,0.01718762169135708,-1.1253287245519459,0.02085919012438353
1.3279009e-07,228,229376,49.890565639999984,362.4378342628479,0.00010695255776340672,-0.0036206086736244904,0.01662166658112606,-1.0808643779717386,0.02018879897586885
1.2350471e-06,236,237568,52.006370419999996,375.6676173210144,6.652415792167688e-05,-0.0001604827960640991,0.02118935428320671,-1.0735320944339037,0.021316575000309968
1.91765e-07,244,245760,56.38196116,389.4528365135193,5.5912827292559086e-05,-0.0028470574371469337,0.018204579236213075,-1.0805264730937778,0.02102368025971373
1.1402929e-06,252,253952,61.19620191999999,403.9909656047821,2.9546212132380846e-05,-0.00303939881048316,0.018384342064949453,-1.0502799285575748,0.021408967769366426
2.7641246e-07,260,262144,67.5891309,417.3302712440491,5.3500142928974984e-05,-0.0032019718652243415,0.020247710934739437,-1.0316598742268979,0.02342293272849929
3.5791334e-07,268,270336,73.64057995999998,430.8103370666504,3.27358579112591e-05,-0.0026502351056454715,0.024776119872341927,-1.0090806387364863,0.02740998704903177
1.16811506e-07,276,278528,79.61149391999999,444.14001989364624,9.212569195327091e-06,-0.003138038773045864,0.01938802333561409,-0.9980096916202456,0.022521455824062286
3.530235e-06,284,286720,82.25807574000001,457.14937686920166,1.2994267871868636e-05,-0.00200065859643516,0.03537123670459487,-0.9726416116580368,0.0373653981670941
1.6238068e-06,292,294912,86.58536540000001,470.5603792667389,4.880365873898285e-05,-0.0038377663782300253,0.025305695692785835,-0.9823414873331785,0.029119060241646365
