total timesteps,mean_int_reward,ep_rew_mean,num_episodes,total_time,entropy_loss,policy_gradient_loss,total_loss,value_loss,intrinsic_loss
8192,0.012484438,38.943611624999996,8,2.657611131668091,,,,,
16384,0.18872353,34.723292375,16,21.30689263343811,-1.4098526190035046,-0.0032794329674509072,2.8368165590900167,1.0109842586796731,3.6582234667555893
24576,0.0038040457,25.55382316666667,24,39.481390953063965,-1.3894720851443707,-0.005197975226469151,31.759595852478384,0.2967787792382296,62.936030096933244
32768,2.9171919e-05,23.804873875,32,57.26151943206787,-1.3734613912180067,-0.00649843384564939,0.2065330403376496,0.18326573094236664,0.0595314864818647
40960,2.8985633e-07,24.278998424999997,40,75.19778251647949,-1.3670388782396912,-0.006311058130540814,0.15077952953543,0.1518527823704062,0.010475610591129225
49152,2.4604898e-08,23.248937645833333,48,93.83689832687378,-1.351008277386427,-0.007400566432577002,0.14663795840620225,0.152879914388177,0.002317220901204564
57344,8.5968266e-13,23.391349180000002,56,111.50451111793518,-1.3205014317296446,-0.011097245524464889,0.06505694876458681,0.07592610385327134,0.0004561808715607185
65536,4.5053495e-13,20.283548579999998,64,129.2477686405182,-1.2861054063774646,-0.005289594351600371,0.029763037872427022,0.03499376932504674,0.0001177257979612989
73728,3.8913252e-13,21.8713177,72,147.44034552574158,-1.2531625151634216,-0.002257422795935509,0.02455750453170564,0.02679022228139729,4.9410092487711665e-05
81920,3.7848365e-13,23.68396648,80,165.6891529560089,-1.2340205730870366,-0.0003771002489569744,0.026524084950642658,0.02688507583802675,3.2218723145760465e-05
90112,1.182119e-10,22.06083724,88,183.7070038318634,-1.2216383955441414,0.0004063711339098035,0.026826834559482093,0.02640834691260352,2.4233025937547835e-05
98304,3.4787207e-13,23.559638640000003,96,201.8021957874298,-1.2176204831339419,-0.0010693200819619753,0.030650803937134496,0.0317087394922055,2.2769053781956927e-05
106496,2.9543636e-13,22.55126404,104,219.81112146377563,-1.2179911094717681,-0.0005762596694100892,0.02560786053439241,0.0261730660986359,2.2108210333193766e-05
114688,7.661887e-12,22.73369284,112,238.48015236854553,-1.2256091840565204,-0.0009168094092383755,0.025148930365103146,0.02604510711930743,4.126531006818368e-05
122880,2.6086872e-13,23.299434220000002,120,256.4002447128296,-1.2279859055764972,-0.0011834993432401936,0.027000085843654598,0.028176824981119352,1.3520411550871359e-05
131072,1.8591227e-13,23.647127,128,274.70040345191956,-1.2218155661597847,-0.0013267108536739822,0.028837908590635185,0.03015139414906116,2.6450590496018835e-05
139264,1.00418995e-13,23.801156719999998,136,292.62903356552124,-1.2182937102392315,-0.000399691477682577,0.0291339008759512,0.029526373896032965,1.4436915201621048e-05
147456,5.862457e-14,24.21148288000001,144,310.9204468727112,-1.210857502836734,-0.0008140797364418527,0.03033170233062408,0.031139942505069483,1.1679123992891505e-05
155648,4.1475036e-14,24.296481319999998,152,329.498117685318,-1.2188650092110038,-0.001171140047269446,0.04788402247273717,0.049041194149685906,2.7936740641409942e-05
163840,3.6988777e-14,24.154674460000003,160,347.48897671699524,-1.2249230677261949,-0.0028315387288975077,0.03500976588929322,0.037832996319866655,1.6616596648155735e-05
172032,1.7534714e-14,25.396050600000002,172,365.74823546409607,-1.2211321141570806,-0.00196137593899222,0.046503722132022314,0.04845208587375964,2.6024394509782667e-05
180224,1.4701527e-13,25.869662500000004,180,383.6785144805908,-1.2157490984536707,-0.002050230230383029,0.058751322193311764,0.06078446569808875,3.417345121210502e-05
188416,7.9331005e-15,26.398795680000003,188,401.9208858013153,-1.211922858376056,-9.138233086775152e-05,0.3795745469204772,0.3796528876257071,2.6083251275732522e-05
196608,3.2340495e-11,26.83049802,196,419.615846157074,-1.2105781632475554,-0.0017303495214078626,0.07586796867595443,0.07759078088074603,1.5074633232536883e-05
204800,1.6932041e-15,28.186899800000003,204,437.62931871414185,-1.195612934231758,-0.0013628821769605093,0.1352589201292432,0.13661589231705876,1.1819978289917543e-05
212992,1.37422846e-14,28.868086719999997,212,455.9528479576111,-1.1771272042766214,-0.0026739067816779795,0.055337452962328414,0.05800116495611292,2.0389575786960988e-05
221184,6.84203e-15,29.5628809,220,474.6972088813782,-1.1749502332881092,-0.001090822536092044,0.43037348107977724,0.4314533976648818,2.1811901974899682e-05
229376,7.587935e-15,30.032411300000003,228,493.3226435184479,-1.1769439327530562,-0.0010630222533077947,0.21374758538284425,0.2148054317371134,1.0351798077223861e-05
237568,9.404519e-15,30.0567552,236,512.6586153507233,-1.1636476324871183,-0.00029155626814395604,0.25396624693108294,0.2542532424777164,9.121443020987386e-06
245760,6.8476253e-15,29.30918178,244,530.3235509395599,-1.1405622211284936,-0.001042913440136338,0.3553009200029574,0.35633455858733215,1.8549711523041523e-05
253952,4.916667e-15,27.902549879999995,252,548.3355333805084,-1.117768861539662,-0.0016658257394780221,0.3148833932161553,0.3165406759209873,1.708606929211598e-05
262144,4.217598e-15,26.978347839999998,260,566.3706016540527,-1.0929778499528766,-0.0014224799772402986,0.32157296772948807,0.3229925427303897,5.809952677338082e-06
270336,6.44779e-15,25.97896744,268,583.8257801532745,-1.067766356933862,-0.00010920337563536269,0.4451154667993899,0.44521747813778345,1.4384074483597687e-05
278528,3.4466986e-15,25.039037439999998,276,601.4713509082794,-1.0520978373475374,-0.0007452452834790379,0.3047570104257528,0.3054977791212877,8.953175888271047e-06
286720,1.7271453e-15,23.517909120000002,284,619.1585483551025,-1.0287345530465246,-0.0020181654015989357,0.27120151607738396,0.27321667900760077,6.00494276432606e-06
294912,3.8856425e-15,22.8422496,292,637.5249168872833,-1.0124835878610612,-0.0004732187790734313,0.2936316435477536,0.294099613328035,1.0497997584052455e-05
303104,1.2194625e-15,22.422731380000002,300,655.7170071601868,-1.0032441995572299,-0.00035669856638667304,0.3470516673141139,0.34739733249261917,2.2066775762930035e-05
311296,7.007057e-16,20.931542959999998,308,673.3701775074005,-0.996341039519757,-0.0003167888985219015,0.26113825962395787,0.26145306568687376,3.965671212113886e-06
319488,6.54582e-16,19.75844734,316,690.772186756134,-0.9904935827013105,-0.0007804229484316201,0.22940021573831543,0.23017609302678466,9.091319924747765e-06
