num_episodes,ep_rew_mean,total_time,total timesteps,mean_int_reward,intrinsic_loss,total_loss,entropy_loss,value_loss,policy_gradient_loss
8,14.539921,2.648510456085205,8192,0.023611417,,,,,
16,19.931284187499998,20.00177764892578,16384,0.07924383,6.273283858475042,3.8717384646092254,-1.4190250874496997,0.741724869585596,-0.006628334213891226
24,22.871157458333332,37.87389540672302,24576,0.004406419,5.151132028037682,2.7987747250817536,-1.4043576434254645,0.22780009086709468,-0.004591379804182505
32,24.39520009375,54.67739772796631,32768,0.00013582682,0.032381886478833624,0.09968935395992626,-1.3839594553224743,0.08802356006926856,-0.004525149348759122
40,24.5598434,71.63790917396545,40960,3.5871335e-07,0.011921790349515505,0.06819885955676372,-1.3695597478188575,0.06283613429259276,-0.0005981699105867879
48,25.335854541666667,89.54618644714355,49152,2.454513e-09,0.006600600849424154,0.06752290306935818,-1.3628734553232789,0.06432348322559847,-0.00010088058095236722
56,27.150116800000006,106.83259272575378,57344,9.4332604e-11,0.002997321122552421,0.046601383053400794,-1.3420625538565218,0.04732346645087091,-0.002220743958746326
64,27.69684,123.43922877311707,65536,4.513034e-09,0.0024574622306317907,0.06718471591273609,-1.3282976704649627,0.0669774389196391,-0.001021454122218907
72,28.489814899999995,141.03910970687866,73728,3.2866887e-09,0.0015690769301272666,0.06449083906552826,-1.319733767490834,0.06516685940950992,-0.0014605588090453032
80,29.82818054,158.62658619880676,81920,3.701678e-14,0.0007218056991348476,0.055688643363413726,-1.30152194974944,0.05668865540937986,-0.0013609148955335633
88,31.303869039999995,176.08504915237427,90112,1.5182687e-09,0.0005725696413833248,0.0644264296313809,-1.2880507334135474,0.06593313072698948,-0.0017929859163002312
96,33.00082174,193.07169151306152,98304,4.1634705e-14,0.0005078674331628008,0.045827228526733314,-1.2878870004788041,0.04606191334551113,-0.0004886185353592102
104,34.976715,209.8620822429657,106496,2.4979498e-14,0.0005022766863646666,0.0829918971551054,-1.282376130670309,0.08387814633460948,-0.0011373875226864123
112,40.29673616,227.41519784927368,114688,6.101803e-14,0.0003136523795120638,0.05861568722563417,-1.2633279650472105,0.060797420283415705,-0.0023385592475375513
120,42.90177904,244.85078167915344,122880,6.48131e-11,0.0003905166696938522,0.10717903352016973,-1.2348752666264773,0.10924934224458412,-0.0022655670592612934
