total_time,num_episodes,mean_int_reward,ep_rew_mean,total timesteps,total_loss,intrinsic_loss,policy_gradient_loss,value_loss,entropy_loss
2.582430124282837,8,0.033816714,80.70716100000001,8192,,,,,
15.002668857574463,16,0.6884093,73.20049056250001,16384,8.016785485466482,13.572678558982442,-0.0008670490814797271,1.231313255056739,-1.4261249215342104
27.609928369522095,24,0.1560489,63.32365466666666,24576,119.68373297795556,238.44587960839272,-0.013227406967002978,0.47402058072621,-1.4228478184901179
40.06083846092224,32,0.0013901733,58.32430803125,32768,14.963686146819565,29.65873303040862,-0.00760526103007009,0.14192489264532923,-1.397667401563376
52.275699853897095,40,0.04289761,57.005103675,40960,0.044339383212072966,0.023000655070063658,-0.007240990655836691,0.04008004633287783,-1.386140980757773
63.89729642868042,48,0.010793518,57.54494158333333,49152,0.9766430534968148,1.8686922792112455,-0.005180071201170009,0.04747698509236216,-1.3667049068026245
75.72972083091736,56,0.043707293,55.348061519999995,57344,0.14317344620152636,0.19649696583655896,-0.004708910236386311,0.0496338735196332,-1.339028659556061
87.42151498794556,64,0.041750792,55.62409371999999,65536,0.6992158269110047,1.273800817655865,-0.00412331521869355,0.06643873330176575,-1.3253319677896798
102.70357346534729,72,0.0038296974,60.05680271999999,73728,0.460124140639936,0.8298001870920416,-0.004985331149101335,0.05020937824301654,-1.2949711178429424
119.66096377372742,80,0.00020488448,63.4027235,81920,0.22472203462409057,0.35115737770101985,-0.003116207208342089,0.05225955298192275,-1.2711453297175468
134.7575228214264,88,2.2790045e-06,66.60354226,90112,0.2046895075706571,0.2927721017418662,-0.0016677185906873893,0.059971175290411335,-1.2552246420644224
149.81122756004333,96,2.2193055e-06,71.62224922,98304,0.14068179398826128,0.17544668426999124,-0.0021862778462663616,0.05514472969953203,-1.2220292055979372
162.2212016582489,104,2.316769e-06,75.80345354,106496,0.07719825825332899,0.0528977318383113,-0.002779027685037567,0.0535284200192109,-1.2054562715813517
174.44115018844604,112,2.665107e-06,81.39031737999998,114688,0.06454221824602405,0.023839238901928184,-0.004411153392575451,0.0570337521876354,-1.2100606268271803
187.26890897750854,120,3.5148645e-07,83.99771324000001,122880,0.08676985771999786,0.007307394696726988,-0.001991558964157983,0.08510771933579235,-1.203539655264467
199.76312828063965,128,6.6428186e-08,89.55793607999998,131072,0.11250157458854923,0.0036493817736072743,-0.0018661637458705204,0.11254304744761612,-1.201640715636313
212.5027632713318,136,2.5301632e-09,95.9870391,139264,0.052930922635972835,0.003227804784728505,-0.0028697965806131717,0.05418681682422175,-1.1780536779202522
223.90826892852783,144,6.166673e-10,99.61630566,147456,0.06186037704135243,0.0014286539420709232,-0.0025074315114697984,0.06365348158178677,-1.1631676171906293
237.02370309829712,152,1.0537813e-09,102.61553250000001,155648,0.12207746367328717,0.0005730588230875355,-0.0032423604991988083,0.12503329476094222,-1.1650155678391456
249.18749022483826,160,1.2314334e-09,106.77630009999999,163840,0.1370573080401213,0.00031006454448458955,-0.002260503412453996,0.139162779180333,-1.1462878833524883
