total_time,mean_int_reward,ep_rew_mean,num_episodes,total timesteps,intrinsic_loss,entropy_loss,total_loss,policy_gradient_loss,value_loss
2.6022698879241943,0.0,42.319478125,8,8192,,,,,
14.700530767440796,0.0,36.824697687500006,16,16384,0.11429361211194192,-1.4156044117175042,0.7682265960966579,-0.0030483760821406586,0.7141281661228277
28.99598217010498,0.48334265,31.05671191666667,24,24576,0.01638212357865996,-1.4021929648704827,0.1736640782039007,-0.0033298436852515515,0.1688028600998223
43.058719873428345,5.6665885e-05,29.428340875000004,32,32768,206.50045877695084,-1.3769625281915068,103.32886339172163,-0.005677792721900558,0.08431179596809671
55.426254987716675,7.2207156e-05,28.690842125,40,40960,0.1639658739848528,-1.3481867026537657,0.12794648402248127,-0.003492307068723328,0.049455854098778215
69.2099244594574,6.13171e-05,27.74900435416667,48,49152,0.019145421703433384,-1.3228677028790117,0.046756290738225695,-0.0022881595887570775,0.039471739475266075
82.03595972061157,4.061721e-05,25.82546964,56,57344,0.002672124230866757,-1.313790566008538,0.03457284864964426,-0.0012068896077165473,0.03444367614192743
95.73878765106201,6.4392385e-05,23.25822254,64,65536,0.0006950289290614364,-1.3129866728559136,0.019055399428281976,0.0010409195484865454,0.01766696541526471
109.29293441772461,4.875256e-05,23.48066892,72,73728,0.0002971059327720127,-1.3122763665392996,0.02305603295466393,-0.0010733102402285988,0.02398079022850652
122.58934760093689,6.52916e-05,23.74718271999999,80,81920,0.00023116299170240496,-1.2898475511930882,0.01699668632703613,-0.0008627858246259727,0.0177438906558109
135.37516140937805,6.868967e-05,23.06946128,88,90112,0.00013721552218228794,-1.2736331529915332,0.014281062437482872,-0.0018466536184568265,0.016059108294848558
149.10374569892883,8.8901514e-05,23.336295760000002,96,98304,9.081918077473717e-05,-1.2585053551010787,0.014492972006106252,-0.003268615443537394,0.017716177859256277
163.01052618026733,7.9198944e-05,23.637581280000003,104,106496,6.844364960372218e-05,-1.2413707130588592,0.016666962067215137,-0.001638109992280807,0.018270850234694082
177.39720487594604,8.317386e-05,23.610676260000005,112,114688,4.2954971569786336e-05,-1.219695249479264,0.012158691963354317,-0.0017101047607877332,0.013847319238357159
191.05221152305603,0.00011136143,23.986468920000004,120,122880,3.870380275614593e-05,-1.2288564728572964,0.014617340767740317,-0.0013811759024885087,0.01597916476885075
203.18116235733032,0.00014431086,24.493511740000002,128,131072,2.9787016967741663e-05,-1.240564564988017,0.014655447214489848,-0.0035049729068918336,0.01814552661289781
217.13499855995178,8.393941e-05,24.848291139999997,136,139264,2.4426388115994512e-05,-1.2438313384540378,0.013563175956628908,-0.004716593620304315,0.01826755638287523
229.74851369857788,0.00013417071,25.57154148,144,147456,1.2663101121956898e-05,-1.2564706799574197,0.013609593147560581,-0.004606939106424959,0.01821020070342456
243.3724341392517,0.00017401016,26.259482039999998,152,155648,1.736555671509876e-05,-1.251964345574379,0.0359878606408969,-0.004589478837731015,0.040568656700270364
256.9188702106476,0.0002349226,27.199729039999998,160,163840,1.5519241154038353e-05,-1.2698893760330976,0.1411361570336949,-0.004577406561006284,0.14570580397412414
269.57292127609253,0.00035155547,29.069258840000003,172,172032,3.045494399920301e-05,-1.2704193619079889,0.15259767290227905,-0.005680188985307505,0.15826263441558694
282.466157913208,0.00049657526,31.179489479999997,180,180224,6.434163117603475e-05,-1.2570830807089806,0.12993825684748175,-0.0036014071049643784,0.1335074931368581
296.6880156993866,0.00082607113,32.94975084,188,188416,6.613426017167967e-05,-1.2433208354748786,0.059857994187704745,-0.004324710361558547,0.06414963741917745
310.2067482471466,0.0006750404,33.950914100000006,196,196608,7.806467210684787e-05,-1.23604680551216,0.03912535570414363,-0.004432668071396643,0.04351899143948686
323.16156220436096,0.0005771945,34.87133676,204,204800,3.390467884969439e-05,-1.2135077227838338,0.02744818061520433,-0.004634739745054191,0.03206596802083368
336.5271780490875,0.00076977815,37.0957889,212,212992,2.52646169240478e-05,-1.1824343871325254,0.019793984716428736,-0.003106978772217028,0.02288833118018374
348.729962348938,0.00074641383,39.68853670000001,220,221184,4.2265067686031445e-05,-1.1566675684414804,0.025157822420011532,-0.002990688482130587,0.028127378368299105
362.9173798561096,0.0005303189,42.174651420000004,228,229376,4.645702513599304e-05,-1.1428733908571302,0.021808586344586937,-0.0035543072597958815,0.025339665091814824
376.4883532524109,0.00047833135,42.238796279999995,236,237568,2.4328556763109078e-05,-1.110576602909714,0.019516947187162202,-0.002984451928158783,0.02248923483693943
388.9906883239746,0.0006005486,44.36748254000001,244,245760,6.467177374203103e-06,-1.0765273968689144,0.014422958229935903,-0.003910995614859377,0.018330720256108178
401.89707946777344,0.000675402,47.11336422,252,253952,6.567036225213485e-06,-1.0473863863386215,0.017311961477746156,-0.0033669230980674404,0.020675601057700988
414.5747961997986,0.0007953134,48.89527375999999,260,262144,3.5375360457834405e-06,-1.0224878168664873,0.0169758709408753,-0.0038707367239029836,0.02084483889675539
428.48988604545593,0.00016261864,49.511426920000005,268,270336,2.4284188397505345e-06,-0.9988940813578665,0.018709318816545587,-0.003329997966480301,0.02203810257360601
442.34666752815247,5.5058692e-05,47.79472314,276,278528,2.967931174824301e-06,-0.9821773462928831,0.016215470525011717,-0.0012946154786815886,0.01750860203810589
455.58534002304077,6.975283e-05,49.40321831999999,284,286720,5.302545956764604e-06,-0.9653235720470548,0.015621537204966684,-0.002068768247269758,0.01768765417925806
469.03166103363037,9.112583e-05,50.35057366,292,294912,4.377517372189388e-06,-0.9739312871359289,0.015510548971851118,-0.0009349270671340209,0.016443287280299045
