total timesteps,total_time,num_episodes,ep_rew_mean,value_loss,total_loss,entropy_loss,policy_gradient_loss
8192,3.396880626678467,1345,53.62211094,,,,
16384,12.212714672088623,2513,66.9843054,2.9838884687051177,2.9545157748070894,-1.3590014757588507,-0.029372693898028844
24576,21.198407411575317,3515,76.17866694,2.439704450499266,2.4151974757793155,-1.257832353655249,-0.02450697471995057
32768,30.107221126556396,4399,81.54104584000001,1.8040584720671178,1.7855152893535968,-1.1724075860343874,-0.01854318271352103
40960,39.048656940460205,5236,85.8942663,1.4929780442733318,1.477054139009256,-1.0821527726948261,-0.015923905264075843
49152,48.08897876739502,6014,97.474291,1.0527269248850644,1.0370873046542886,-0.9785414419602603,-0.015639620230775846
57344,56.677268981933594,6742,107.56861214,0.8906162495957688,0.8706552831221297,-0.8763490987010301,-0.01996096647363903
65536,65.65506625175476,7415,111.59774502,0.8133698089513928,0.7917264863596902,-0.7823119507171213,-0.021643322591702548
73728,73.89660549163818,8027,123.08222484000002,0.8135563526302576,0.7949078075263658,-0.7011249962728471,-0.01864854510389189
81920,83.2156982421875,8538,152.76333096,0.9487489732448011,0.9317596776094396,-0.609381628036499,-0.016989295635361487
90112,91.25631594657898,8986,149.15039458,1.0760663516120985,1.0598625532361836,-0.5252402376383543,-0.016203798375914978
98304,100.17887687683105,9370,206.54731425999998,1.2089068650268018,1.194809750074072,-0.4324663967359811,-0.01409711495272995
106496,108.99780893325806,9695,251.73274493999998,1.2272095426451415,1.214685048823417,-0.3352880642749369,-0.012524493821724181
114688,118.01903104782104,9998,225.08895012000002,1.1613912005675957,1.1520145833488047,-0.24841389991343021,-0.009376617218790798
122880,126.92687320709229,10278,281.9489589,1.0467378783272578,1.0362566334049468,-0.16911296863108874,-0.010481244922311126
131072,135.55890154838562,10526,311.39557666,0.8700000966433435,0.8625768205341672,-0.11108314422890544,-0.007423276109176542
139264,143.8201344013214,10733,392.37032192,0.7531817575218156,0.7448706699963543,-0.05160656310617924,-0.008311087525461369
147456,152.43804550170898,10943,359.30907357999996,0.86886183868628,0.8634553066103609,-0.005207355041056872,-0.005406532075919057
155648,161.0664665699005,11146,379.39861143999997,0.6709177105687558,0.6636765189091398,0.042309722024947406,-0.007241191659616066
163840,169.95054626464844,11308,465.86613426,0.6177819143631496,0.6098036964503519,0.08020830322057008,-0.007978217912797575
172032,178.55220818519592,11459,501.1552841999999,0.6651063798228278,0.6575302337246125,0.11530182361602784,-0.007576146098215363
180224,186.9191644191742,11567,757.1591971599998,0.9431649456499145,0.935390954467915,0.16455982001498343,-0.007773991181999491
188416,195.29451608657837,11674,736.8805559,1.0147706168005244,1.011786062743689,0.19041423834860324,-0.002984554056835238
196608,203.659681558609,11767,784.238466,1.2227908886037766,1.215894166249478,0.23092297855764626,-0.006896722354298867
204800,211.949049949646,11845,938.8462663799999,1.315990255214274,1.3131128374242151,0.27730016466230156,-0.0028774177900588505
212992,220.64250874519348,11912,1158.90443348,1.322835407173261,1.3192230415835415,0.305811121314764,-0.0036123655897194852
221184,229.35472774505615,11946,1674.2156643200003,1.5063123226631432,1.5008902843740273,0.3576905010268092,-0.0054220382891159765
229376,237.8374102115631,11978,2414.52998804,1.3773755284491926,1.3760371414350732,0.3994718938600272,-0.0013383870141195219
237568,246.2707920074463,11991,3101.4590210600004,1.2690442309947685,1.2663735724433167,0.4618321776390076,-0.002670658551451609
245760,254.54990315437317,12008,4106.03934288,1.0036628630245104,1.0019589686525676,0.5268995807971806,-0.0017038943719426603
253952,263.09310817718506,12018,5213.63376674,1.0972557051340117,1.098605302382925,0.5637064346577972,0.0013495972489132762
262144,271.9301857948303,12026,5981.31024312,0.9263501907582394,0.9301342540659799,0.5941904754843563,0.00378406330774043
270336,280.3986864089966,12035,6538.473743539999,0.792999082582537,0.7969242316136853,0.6124387755058706,0.003925149031148281
278528,288.95243191719055,12050,6884.8801730800005,0.9422805275593419,0.9440826350109589,0.6353076729923487,0.0018021074516168406
286720,297.7291097640991,12063,6764.9948076400005,1.1950951101141982,1.1976093598680257,0.6630527549423277,0.0025142497538276328
294912,306.21556329727173,12073,6882.58836906,1.2570021797786466,1.2632486992085332,0.6861691448837519,0.006246519429886452
303104,314.8397328853607,12082,6791.929297620001,1.1271279281238094,1.1326525336034265,0.7178935695439577,0.00552460547961718
311296,323.1581904888153,12092,6905.89904588,1.1328950627474115,1.1370499467370632,0.7289526415988803,0.004154883989651826
319488,331.7249643802643,12101,7396.4276434,1.1831949541694484,1.1900719966023567,0.7329048918560147,0.0068770424329083575
327680,340.1866867542267,12111,7460.02036908,1.190264276578091,1.197845448725514,0.7403510852716864,0.00758117214742274
335872,348.63608050346375,12120,7764.2815356,1.2025396440410987,1.2089637389373773,0.763168148510158,0.006424094896278725
344064,356.92872309684753,12128,8157.394841959999,1.211865865328582,1.2143750477254656,0.7756187421269715,0.002509182396883628
352256,365.99851059913635,12138,8148.782127360001,1.1599646512011532,1.1654561877627958,0.7518208754248917,0.005491536561642531
360448,374.3880307674408,12146,8272.56314186,1.275958543943125,1.2814131889394018,0.7363619885407389,0.005454644996276916
368640,383.13400316238403,12157,8444.76561822,1.1898279520741197,1.1933270651404129,0.7317137775942684,0.0034991130662930985
376832,391.66434049606323,12165,8668.751389260002,1.5942795452428982,1.6001207573739715,0.7312646731734276,0.005841212131073616
385024,400.30379009246826,12174,8475.56424816,1.2804727249225833,1.2857653778850644,0.7273449550382793,0.005292652962480924
393216,408.7998733520508,12182,8485.132303639999,1.350854107865598,1.3553509608651892,0.7158475313335657,0.0044968529995911164
