total_time,num_episodes,total timesteps,ep_rew_mean,value_loss,entropy_loss,total_loss,policy_gradient_loss
3.5872702598571777,1498,8192,52.479814019999985,,,,
14.23782753944397,2751,16384,57.90407722,3.7073363177478313,-1.4023898089304567,3.6855522819833277,-0.02178403576450362
24.678999185562134,3847,24576,69.12415536,3.3556569582782685,-1.3590565762482583,3.3384569992228315,-0.01719995905543692
34.94362735748291,4814,32768,84.18695304,1.4030249164439739,-1.2761899433098733,1.3805394014288013,-0.02248551501517246
45.568583726882935,5703,40960,92.20128221999998,1.1680638130288572,-1.1797590172849595,1.1496205950327905,-0.01844321799606649
56.43071246147156,6555,49152,82.16334618,1.117683625826612,-1.0804021183401347,1.1007248301051038,-0.01695879572150827
67.4192864894867,7377,57344,89.89064348,0.8849286577198654,-0.9830770522821695,0.8677801412430532,-0.01714851647681221
78.90947413444519,8164,65536,85.50440199999998,0.7883245007134974,-0.901677397498861,0.7716960106367354,-0.016628490076761943
89.95814728736877,8890,73728,100.68890001999998,0.7749883925542236,-0.8239033768419176,0.7568093823807748,-0.018179010173448806
100.14241981506348,9562,81920,105.39070534000001,0.8235571636352688,-0.7440471086651087,0.8050127765210295,-0.018544387114239374
111.01459884643555,10148,90112,123.33181066000002,0.8873026467626914,-0.674027883913368,0.8708553029723834,-0.016447343790308017
122.23120307922363,10682,98304,134.59832733999997,1.0034937591757624,-0.5982473155483603,0.9891038532205648,-0.014389905955197657
133.2131748199463,11172,106496,159.40970987999998,1.012511651753448,-0.517347454559058,0.9970022338890893,-0.015509417864358574
143.98756313323975,11598,114688,170.55592013999998,1.0687610808992758,-0.446266428148374,1.0564154477063012,-0.01234563319297453
154.58205318450928,11953,122880,223.81430526,1.1056657627457753,-0.3705093673663214,1.0956576354731529,-0.010008127272622364
167.69293022155762,12280,131072,243.8501276,1.1506565798539667,-0.289995651692152,1.141976099084463,-0.008680480769503781
180.39036226272583,12566,139264,266.32903858,1.103724871110171,-0.19991576708853245,1.0970042433441907,-0.0067206277659802765
191.61570143699646,12809,147456,312.85862116,1.024394949967973,-0.1272461971268058,1.0207105098161868,-0.0036844401517860934
202.53258609771729,13034,155648,341.48913402000005,0.9925011945189908,-0.07404541028663517,0.9907390507806099,-0.0017621437383809186
213.152108669281,13264,163840,327.24345672000004,1.0384371181949974,-0.018733481504023076,1.0358947888977432,-0.00254232929725397
223.9541313648224,13453,172032,371.86150108000004,0.9648518114350736,0.05095155453309417,0.9603321394535269,-0.0045196719815466845
234.75133085250854,13616,180224,531.78762436,1.0385084140114487,0.0963465241715312,1.0373572271632105,-0.0011511868482380575
245.10079550743103,13767,188416,488.14464777999984,1.1519033041317015,0.15592471519485115,1.150570489770579,-0.00133281436112239
256.0049002170563,13905,196608,533.19057634,0.9820819059386849,0.1932920442894101,0.984034819733117,0.0019529137944321998
266.69614839553833,14016,204800,690.28410296,1.1466487165540458,0.23757717963308095,1.1497728593420675,0.003124142788021864
277.3820354938507,14107,212992,923.73451988,1.2972840529400855,0.2787732540629804,1.298996813357999,0.0017127604179133279
288.30812406539917,14175,221184,1103.9089717400002,1.3273491715081036,0.3172182531096041,1.328459782261769,0.0011106107536653124
298.7615683078766,14238,229376,1337.3999256400002,1.4955986770335585,0.36697241412475706,1.4972126319500365,0.0016139549164780127
309.4118776321411,14292,237568,1457.1312344400003,1.3980797606986015,0.4177772627677768,1.3990205307595327,0.0009407700609309696
320.0694692134857,14337,245760,1673.3627831600002,1.4488127018790693,0.4582488483283669,1.4510615999611345,0.002248898082065177
330.5099594593048,14361,253952,2436.3403010599995,1.3860284128692002,0.5084437686484307,1.3865225540669281,0.0004941411977281469
341.0345952510834,14374,262144,3155.14100104,1.0277785307727754,0.554457574756816,1.033148160329559,0.005369629556783534
351.2311668395996,14388,270336,4257.643424340001,1.0868063172325493,0.6034130795393139,1.089242687066322,0.0024363698337729724
361.3046545982361,14399,278528,5088.8720162399995,1.0372603123425506,0.6485984740778804,1.040044786690363,0.002784474347812282
371.8743507862091,14408,286720,6035.526212219998,0.9851403892505914,0.691442109271884,0.9897358931621045,0.004595503911513085
382.31246423721313,14428,294912,5892.475228820001,0.93126821158221,0.7175781826488674,0.9343137305798731,0.003045518997663072
392.43656182289124,14444,303104,5389.914070979999,1.1978739856509493,0.7292976059019566,1.2018201129178199,0.003946127266870767
402.70302867889404,14453,311296,5523.98614948,1.1278789817006327,0.7478780630975962,1.1371154502732788,0.00923646857264605
412.7799758911133,14465,319488,5538.60172566,0.7959830981038977,0.766366725973785,0.7980720377213097,0.0020889396174121914
422.45710945129395,14473,327680,6292.01968788,1.1005251419905107,0.7782041385769844,1.109401509633188,0.008876367642677066
433.20123767852783,14481,335872,7146.6140741200015,0.9602832208795007,0.7668430527672172,0.9660407695763086,0.005757548696807853
443.228816986084,14492,344064,7693.834631940001,0.9092525924643269,0.7658127243630588,0.916627240117894,0.007374647653566951
453.46006059646606,14506,352256,7085.178947379999,1.1957869375415613,0.7700263047590852,1.2028196503491029,0.007032712807541796
463.54699897766113,14521,360448,6261.337320519999,1.3531980221450794,0.7850274682044983,1.3572838808994205,0.0040858587543411715
473.98049330711365,14548,368640,3754.66980606,1.2261524252186065,0.7954906051978469,1.236054773993826,0.009902348775219508
484.501704454422,14562,376832,4019.96961108,1.9582389766350388,0.8139233900234103,1.9654170632642107,0.0071780866291716846
495.06942224502563,14575,385024,4293.121136600001,1.3163138418691234,0.8371650054119527,1.3245030553596666,0.008189213490543292
