num_episodes,ep_rew_mean,mean_int_reward,total timesteps,Progress,total_time,total_loss,entropy_loss,icm_loss,value_loss,policy_gradient_loss
20,-150.6778527,2.5421155845,1024,0.0%,0.624605655670166,,,,,
40,-147.83711897499998,0.6227777295,2048,0.1%,1.8373425006866455,1.756206340630258,-1.4169774688780308,1.2982742004096508,4.581954509019852,-0.0026331068137814585
60,-138.94378706,0.4736113001,3072,0.2%,3.1601853370666504,1.0072771642305904,-1.405124144628644,0.9909028019756079,0.16981703077908605,-0.006073408229259786
80,-130.72093868,0.3400370459,4096,0.31%,4.567129850387573,0.8662626006155433,-1.3735893741250038,0.857219846919179,0.09626136376755312,-0.0058338268039101835
100,-122.93438177999998,0.2704917956,5120,0.41%,5.886153221130371,0.8292983227453574,-1.3337450809776783,0.8205790044739842,0.0955858722445555,-0.008392689530822929
120,-113.62716422,0.2361155902,6144,0.51%,7.1780500411987305,0.763065685542204,-1.2934398036450148,0.7540431069210172,0.09327683923766017,-0.0030510530257909932
140,-108.10231995999999,0.2108224951,7168,0.61%,8.412150382995605,0.6906593952101956,-1.2554563097655773,0.6818578029051423,0.09292365447618067,-0.004907731425647447
160,-103.16641430000001,0.1783472204,8192,0.72%,9.619489192962646,0.6390672628930874,-1.2248219139873981,0.6304825888946652,0.0880409728270024,-0.002194232842781617
184,-93.54759004000002,0.1656249878,9216,0.82%,10.646912813186646,0.6073368321545505,-1.2047999985516071,0.5955673661082983,0.1189451552927494,-0.001250494830226729
204,-85.94590138000004,0.1264388687,10240,0.92%,11.711094856262207,0.5684399564818214,-1.1793147958815098,0.5585796083323658,0.10051083844155073,-0.0019073569469942684
224,-78.35739061999999,0.1018406803,11264,1.02%,12.806663990020752,0.513447143908475,-1.1484584249556065,0.5039264247752726,0.09859649534337223,-0.0033893040113478086
244,-74.032426,0.1083211524,12288,1.13%,14.072317838668823,0.4963398928758239,-1.1250979471951723,0.4887296883389354,0.0765691859414801,-0.00046714057259437166
264,-74.62833112,0.0970596555,13312,1.23%,15.241522073745728,0.47902423462790533,-1.0995087679475546,0.47152279037982225,0.07725542958360165,-0.002240987102770837
284,-74.99926255999999,0.1150778761,14336,1.33%,16.276055097579956,0.4764620051496124,-1.065975472331047,0.4682520627975464,0.08881316013867036,-0.0067137366180103015
304,-73.39043838,0.0930292482,15360,1.43%,17.469595432281494,0.428557372034585,-1.0393420848995447,0.4215811463072896,0.07271157114882953,-0.0029493138758758764
