mean_int_reward,num_episodes,total timesteps,ep_rew_mean,Progress,total_time,icm_loss,policy_gradient_loss,value_loss,entropy_loss,total_loss
0.008668001,1228,61440,-21.81910322,6.04%,66.69621396064758,0.07175016379915178,0.003030360116971332,0.02159187068173196,-0.14045678731054068,0.07421238687902212
0.0074309897,1248,62464,-21.13218398,6.14%,67.7234857082367,0.06531370559241623,0.0035261752896698258,0.016939944951445796,-0.11827701982110739,0.06736031761652778
0.0069439643,1268,63488,-20.76292502,6.25%,68.78481531143188,0.06489892333047464,0.005223593518174739,0.01679682319809217,-0.10108577646315098,0.06710096500210133
0.0060184929,1288,64512,-19.500560959999998,6.35%,69.84909963607788,0.062206811911892146,0.0042775286474455426,0.013359432690776885,-0.09116579033434391,0.06397050804571439
0.006362323,1308,65536,-18.94976154,6.45%,71.06484889984131,0.06261802185326815,-0.0029021895573835,0.016171111084986478,-0.08438267465680838,0.06394491400602845
0.006780383,1328,66560,-19.32551206,6.55%,72.23722791671753,0.06429882190423086,0.004115446942368976,0.01333628871361725,-0.07290750183165073,0.06604399546982948
0.0053974889,1348,67584,-18.745281419999998,6.66%,73.44776248931885,0.05709907220443711,0.0019502396121312262,0.013228501484263688,-0.061892532743513584,0.0586169463140766
0.0057738245,1372,68608,-17.533717040000003,6.76%,74.54798150062561,0.0630093781510368,0.008575020678673273,0.013874911252059974,-0.04879057314246893,0.06525437134411012
0.0054013848,1392,69632,-17.46414944,6.86%,75.763667345047,0.05768657830776647,0.0011331533329154743,0.013797470404824708,-0.03603773284703493,0.05917964068154048
0.0054048104,1412,70656,-17.457698360000002,6.96%,77.23155164718628,0.05624385428382084,0.0016185815822207955,0.012346583818725776,-0.019160162657499313,0.0576403708239155
0.0058359765,1432,71680,-18.156658280000002,7.07%,78.35364198684692,0.05105979926884174,0.0037507198843030527,0.012371246099064592,-0.005381913855671883,0.05267199586717851
0.0049578518,1452,72704,-17.876740079999998,7.17%,79.87385869026184,0.04978819948155433,0.009590382037216696,0.011431819380959496,0.0035055773332715034,0.051890419623371944
0.00518187,1472,73728,-17.56636242,7.27%,80.99641728401184,0.05062266730237752,0.0013715559340295592,0.014085064751270693,0.012649910524487495,0.05216832937090755
0.0053116254,1492,74752,-17.992358360000004,7.37%,82.04775261878967,0.049213427817448974,0.0007013136306678814,0.010523552326048957,0.02358328178524971,0.05033591441312066
0.005626889,1512,75776,-17.17186988,7.48%,83.43832778930664,0.04966296220663935,0.005131072307510162,0.013409477855020668,0.035665238276124,0.05151701722289243
0.0045684512,1536,76800,-16.4170476,7.58%,84.87958979606628,0.048867867793887854,0.003522309204247634,0.011699487746227533,0.04481536615639925,0.05039004748893537
0.0048312133,1556,77824,-16.317852339999998,7.68%,86.2041265964508,0.046580801135860384,0.0010022866500555322,0.010326399802579544,0.054647624492645264,0.04771366978112389
0.0046976643,1576,78848,-16.325843900000002,7.78%,87.50884771347046,0.044337982311844826,0.0059452703946222514,0.011657250222924631,0.06787161156535149,0.046098234373599514
0.0046358761,1596,79872,-15.9849574,7.88%,88.869145154953,0.04354465851793066,-0.0024718126139149105,0.01013477362357662,0.08306765742599964,0.04431095461889682
