total timesteps,mean_int_reward,total_time,Progress,num_episodes,ep_rew_mean,total_loss,value_loss,policy_gradient_loss,entropy_loss,icm_loss
65536,0.0103246403,64.2999370098114,6.45%,1308,-21.559123180000007,0.07200272963787568,0.0156782967314939,-0.0010217211778951205,-0.10786191280931234,0.0705370720825158
66560,0.0115245616,65.28989171981812,6.55%,1328,-20.588756040000003,0.0715327492527392,0.014692328797536902,0.003071667660803752,-0.0964986952021718,0.06975634960690513
67584,0.0081623661,66.28975200653076,6.66%,1348,-19.79349682,0.0631659076873021,0.01345589620177634,-0.0012896982333214478,-0.08488873578608036,0.06194928789045662
68608,0.0086225588,67.27987599372864,6.76%,1372,-18.835750979999997,0.06278302580899539,0.012002062059764285,-0.0016001479457268641,-0.06451302394270897,0.06174283439759165
69632,0.0074087969,68.27994632720947,6.86%,1392,-17.9372198,0.06346239242943158,0.014338871100335382,-0.001223722317776018,-0.04277379345148802,0.062150877551175654
70656,0.0069481241,69.29981780052185,6.96%,1412,-18.00702372,0.05623444721420445,0.01125966960171354,0.0038568324487049154,-0.029849653132259846,0.054722797009162605
71680,0.0070674511,70.29965996742249,7.07%,1432,-18.077124740000002,0.05662097393259375,0.010116630361153511,0.0009821789652835187,-0.02027716487646103,0.05551109299995005
72704,0.0066489557,71.2701997756958,7.17%,1452,-17.974645560000003,0.05696193871627772,0.010754138227639487,0.0015928740723326297,-0.006589788943529129,0.0557272374862805
73728,0.0058704725,72.32978415489197,7.27%,1472,-17.15929522,0.05288206530729651,0.008818942602374591,0.003262817704874731,0.013752168975770473,0.05167388927657157
74752,0.0069079317,73.30987977981567,7.37%,1492,-16.631724979999998,0.05034819748700453,0.008146210690028965,0.006187352745872579,0.03823746740818024,0.04891484114341438
75776,0.0068287334,74.29980993270874,7.48%,1512,-16.484588180000003,0.04924082633822465,0.0077262063896341715,0.005287305391691184,0.056924100033938885,0.047939475160092115
76800,0.0055402646,75.2998719215393,7.58%,1536,-17.129289840000002,0.04799901072729598,0.009441927104489878,0.017404343238075715,0.07139201927930117,0.04531438369303942
77824,0.0064242331,76.24980235099792,7.68%,1556,-16.53042446,0.04871580380999369,0.010367907023464795,0.0029336212968921836,0.09089761413633823,0.047385650977957994
78848,0.005635043,77.25983762741089,7.78%,1576,-15.66976296,0.04422242215010075,0.010160649599129101,0.002025398102475398,0.10210433136671782,0.0430038173799403
