total_time,novelty,iteration,n_koeff,reward
5.943358421325684,nan,1,0.0,-28.59024700012277
8.004839181900024,3.7643180359869977,2,0.0,-18.6122395962474
10.243566989898682,2.5815870494836632,3,0.0,-19.7589096804617
12.394242525100708,2.1118092195102873,4,0.0,-20.375869953337332
14.311076402664185,1.6260740684774593,5,0.0,-20.0524574651533
16.026937007904053,1.8594388479439674,6,0.0,-18.42148633553699
17.782109022140503,1.6290623458690354,7,0.0,-18.064117955361684
19.4986310005188,1.6309148024344027,8,0.0,-19.814880814281967
21.184908390045166,1.7877178293487315,9,0.0,-18.92005194215992
22.999834775924683,1.4930650681241984,10,0.0,-20.020058219494036
25.458539962768555,1.696137195764849,11,0.0,-18.80598586640645
27.667301654815674,0.9837486189519025,12,0.0,-17.87421864410635
29.79716444015503,0.9340230993638087,13,0.0,-17.15700490432394
31.59228253364563,0.9093820490387179,14,0.0,-16.333132564041513
33.42980885505676,0.9055464755649878,15,0.0,-15.613169359131815
35.16608905792236,0.7483241699861425,16,0.05,-15.112016584001058
37.02573490142822,0.871851887760255,17,0.05,-14.913831097445083
38.8787739276886,0.5863114332745275,18,0.05,-14.900525848768744
41.47405123710632,0.7022716835958371,19,0.05,-14.496357922535202
43.91589045524597,0.5483013116611893,20,0.05,-13.39074279345146
46.13740611076355,0.5963049531591484,21,0.1,-12.786002130293493
47.97216248512268,0.624110793487534,22,0.1,-11.79024544705377
49.68756103515625,0.641413701536745,23,0.1,-10.811961821155993
51.38263010978699,0.5712920663125032,24,0.1,-9.76511388965429
53.13665270805359,0.44260768189186406,25,0.1,-8.410022578889647
54.90987968444824,0.5156807796948948,26,0.05,-7.037652948352049
57.191314697265625,0.4651608662019221,27,0.05,-5.498696702277233
59.41300106048584,0.7856837488502015,28,0.05,-3.993309662760151
61.503971338272095,0.6342545295828312,29,0.05,-2.725832999564667
63.223483085632324,0.5651276511974825,30,0.05,-1.390043776872535
64.94167065620422,0.6315590878414126,31,0.0,-0.25739011753524466
66.59649133682251,0.5727680509963131,32,0.0,1.1875749659315513
68.18234276771545,0.6308737728717886,33,0.0,2.5237598244618074
69.92736434936523,0.5202576276005351,34,0.0,3.954352366883625
72.05666136741638,0.5719128200747408,35,0.0,5.2538076780983705
74.09823250770569,0.45255057612544974,36,0.05,6.603479556820348
76.2149248123169,0.5900304582138214,37,0.05,7.849440394876398
78.18248438835144,0.704994543890866,38,0.05,8.972508639913917
80.15343022346497,0.6238733181840761,39,0.05,10.034144889765578
81.90717840194702,0.5651645534312476,40,0.05,11.141678766236353
83.66018962860107,0.527723283919267,41,0.1,12.183409225273012
85.44244480133057,0.6402194436718138,42,0.1,13.365654613079828
87.36496758460999,0.6375093156561528,43,0.1,14.399332525500222
89.95761275291443,0.6032766736143729,44,0.1,15.435465286324366
92.24825954437256,0.3871796116650515,45,0.1,16.448221723194884
94.35409951210022,0.589340124023712,46,0.05,17.554166638545954
96.18973183631897,0.468155847832758,47,0.05,18.678778270526628
98.05115795135498,0.5663917907099103,48,0.05,19.761161227263994
99.87774538993835,0.4585576803433929,49,0.05,20.83894322430535
101.60800623893738,0.7641201133333292,50,0.05,22.009055144999305
103.56136107444763,0.527230118094002,51,0.0,24.243033974896942
106.25482416152954,0.6026944126847862,52,0.0,26.447789651335352
108.58858108520508,0.4502123384097909,53,0.0,29.689773995676024
110.60290122032166,0.5392965488980597,54,0.0,32.88209092606187
112.43866276741028,0.6158650810149207,55,0.0,36.49600695646088
114.22753691673279,0.6088926639822093,56,0.0,40.046212862331586
116.00080704689026,0.5672708732638235,57,0.0,44.15972168307736
117.80537366867065,0.5082296856203143,58,0.0,48.86714697264604
119.86815142631531,0.5146330759197877,59,0.0,53.20617111805937
122.25509667396545,0.5837180601126537,60,0.0,58.03211956460245
124.57679891586304,0.7807424876985873,61,0.0,62.08809709524484
