total_time,n_koeff,iteration,novelty,reward
4.327356338500977,0.95,1,nan,247.04737027773817
5.602405309677124,0.8999999999999999,2,6.063097259418284,242.3138933060111
7.041574716567993,0.8499999999999999,3,6.3049370076315965,240.4164329458118
8.629034996032715,0.7999999999999998,4,6.072328457985997,239.41204732830943
10.123539209365845,0.7499999999999998,5,6.35021227566744,238.40761009624143
11.659522771835327,0.6999999999999997,6,5.6376710596722095,238.62566444668667
13.234599113464355,0.6499999999999997,7,5.821843820104017,238.30945710602282
14.520553350448608,0.5999999999999996,8,5.5699864744827785,239.17593484649564
15.832479476928711,0.5499999999999996,9,4.581042107179053,238.61318000602054
17.09587836265564,0.4999999999999996,10,4.2641559110024,238.4267850771007
18.38776445388794,0.4499999999999996,11,3.691404411912437,238.6395959548846
19.66650104522705,0.4999999999999996,12,3.4424879708823433,238.2098928585131
20.92978572845459,0.4499999999999996,13,3.424146787055527,238.79880275623674
22.25071358680725,0.4999999999999996,14,3.4294905310172665,239.19659100735407
23.84432363510132,0.4499999999999996,15,2.928346939828866,238.64928954040525
25.35884165763855,0.39999999999999963,16,2.9316048124030423,238.7395755172219
26.99653434753418,0.34999999999999964,17,2.855602875232555,238.4954113396447
28.521426677703857,0.29999999999999966,18,2.470372431933485,238.50640297981215
29.831420183181763,0.24999999999999967,19,2.500899722559358,226.13053996536783
31.17559027671814,0.19999999999999968,20,3.057850075394513,226.73000650919812
32.51190376281738,0.1499999999999997,21,2.5979222233232093,227.4205998416131
33.832353591918945,0.1,22,2.4302239020012086,228.20654068686656
35.12459945678711,0.1,23,2.3366084386766017,228.50449643745128
36.36441493034363,0.1,24,2.568873015737473,228.85498175407665
37.61827111244202,0.1,25,2.1846074853364925,229.43738385763325
39.0702691078186,0.1,26,2.1979043840728623,229.92970706015495
40.85190558433533,0.1,27,2.081307964582978,229.89756343148707
42.42040491104126,0.1,28,2.0188067964070386,230.46585820346033
44.04427409172058,0.1,29,1.8502594621671489,230.69070070890473
