total_time,reward,iteration,novelty,n_koeff
6.76489782333374,48.686744191113085,1,nan,0.0
8.631726026535034,40.16329797262982,2,1.7208328706626106,0.0
10.61028528213501,28.919240973005568,3,2.2083971825614563,0.0
12.593098640441895,32.75267012498239,4,1.5409149603264105,0.0
15.067912578582764,34.591254953040874,5,1.3613047085710508,0.0
17.659154176712036,35.805815818471295,6,2.1623466399660765,0.0
20.10274648666382,34.875473933944576,7,2.2782742531962805,0.0
22.10778832435608,34.214395604275545,8,2.504661113194095,0.0
24.13298988342285,33.98236581780733,9,2.224905230214378,0.0
26.129247665405273,36.86800784712811,10,1.5588851613687074,0.0
28.207875967025757,36.06206165479301,11,1.8031002363808928,0.0
30.791810035705566,37.014329097341054,12,2.280843301562773,0.0
33.36183404922485,38.687893859520834,13,1.9861512454704178,0.0
35.875426054000854,38.997510479518716,14,1.5796361432488633,0.0
37.62911581993103,41.99178334719607,15,1.6024773730509867,0.0
39.604870557785034,42.85808898541677,16,1.0799916627813373,0.05
41.631978273391724,43.11590816914581,17,1.6934698520385045,0.05
43.61086177825928,48.11727541548883,18,1.890946551371819,0.05
45.92003083229065,53.27477636345923,19,1.5674335531937138,0.05
48.69334101676941,58.04970631271632,20,1.5237813358096708,0.05
51.46813106536865,63.21792959129034,21,0.8945119340572043,0.0
53.25518441200256,68.04787542435656,22,1.7268943777928705,0.0
55.130324602127075,72.75091189855416,23,1.4163660296898462,0.0
57.03877091407776,77.0689074410778,24,1.695482669613115,0.0
59.12719941139221,81.677720479426,25,1.7027334595677062,0.0
61.19422364234924,85.7703254777215,26,1.0331904577114672,0.0
63.856136083602905,90.37287766435814,27,1.1863428263582187,0.0
66.42050361633301,94.3829571155359,28,1.4188619233774775,0.0
68.73651838302612,98.52426814033458,29,1.8804400415826164,0.0
70.65994787216187,103.16435115345823,30,0.6825112652550209,0.0
72.52002048492432,107.58243290398792,31,1.7975780938068096,0.0
74.41632509231567,112.11505566571174,32,0.8792100638278011,0.0
76.33671593666077,116.3437862193197,33,1.1061051522867968,0.0
78.85434675216675,120.48557397683923,34,1.2033106327924936,0.0
81.50138902664185,124.36218194808303,35,0.983605558756639,0.0
83.88001751899719,128.1041197981847,36,1.0735389376397921,0.0
85.73782777786255,131.47585456321,37,1.0391035385273188,0.0
87.64595293998718,134.8869664898649,38,2.1284018925656794,0.0
89.50211834907532,137.36122069792322,39,1.797619378383762,0.0
91.3625316619873,140.6768851567978,40,1.1415928616760014,0.0
93.37139964103699,143.46250124562576,41,1.5354262155647964,0.0
96.44621968269348,146.2538096095918,42,1.930740294703949,0.0
98.69277310371399,148.81146699643244,43,1.4589939940662493,0.0
100.9169569015503,151.20610269375877,44,2.330556755626131,0.0
102.94863796234131,153.49095400543357,45,1.9045146186118012,0.0
104.63242435455322,155.93492282046233,46,2.0254012801928467,0.05
106.38924312591553,158.3370419693864,47,1.0790406951920426,0.05
108.16478633880615,160.47829968361546,48,2.0784915240419766,0.05
110.36146759986877,162.28453879871302,49,1.8024473554155533,0.05
112.6942663192749,163.9793329501984,50,1.4361374767222512,0.05
115.07531380653381,168.10161716741356,51,1.3454808087726517,0.1
116.89977622032166,172.75167288425234,52,1.3146057013747132,0.1
