total_time,novelty,iteration,n_koeff,reward
6.225932598,nan,1,0,-9.770802788
9.453458548,3.806561269,2,0,-6.221519485
11.86339235,1.998402308,3,0,-2.949280976
13.79952073,3.665399272,4,0,-1.801963057
15.71305633,2.644993559,5,0,-3.158961679
17.56768703,1.944121971,6,0.05,-0.601187438
19.27285719,3.608985891,7,0.05,-0.662858305
20.98613477,1.464627292,8,0.05,-2.586293125
23.43862247,3.315434732,9,0.05,-2.718559451
25.96852851,3.422169909,10,0.05,-1.282409043
28.3216567,3.120902666,11,0.1,-1.648032914
30.25102234,3.143419777,12,0.1,-3.76632284
32.16352534,2.411582148,13,0.1,-5.376801916
34.03716302,3.145666998,14,0.1,-6.186268307
35.97357798,3.557179333,15,0.1,-7.127762927
37.90796876,3.446226864,16,0.15,-7.491647654
40.48543668,1.811857948,17,0.15,-6.475420881
42.90633917,2.862323769,18,0.15,-5.273829166
45.06556582,1.818231049,19,0.15,-3.960253971
46.86204004,2.390208315,20,0.15,-2.33983961
48.58417106,3.38709859,21,0.1,-1.184733388
50.33798766,2.954698875,22,0.1,0.210259906
52.11419201,2.83961978,23,0.1,1.386122573
54.01788425,2.778634886,24,0.1,2.503498769
56.53400087,2.61448764,25,0.1,2.760234659
59.18343925,2.801765512,26,0.15,3.52739742
61.25216055,2.316745902,27,0.15,4.470000161
63.07546043,2.357391838,28,0.15,5.426052855
64.93698645,2.707072675,29,0.15,5.881377486
66.73622203,2.311349315,30,0.15,6.879636015
68.50161529,2.318292648,31,0.2,8.14577507
70.71796203,2.457975777,32,0.2,9.36007448
73.58574724,2.034297645,33,0.2,10.02246639
76.00603247,0.99359605,34,0.2,11.2738865
77.84471178,2.258419567,35,0.2,12.59746851
79.66673255,2.359279764,36,0.25,13.40600476
81.49767613,2.067665491,37,0.25,13.66365796
83.28663015,1.482536138,38,0.25,14.38738912
85.03401709,2.226704696,39,0.25,14.66882157
87.39801359,2.136878505,40,0.25,15.45928966
89.76307058,2.269306402,41,0.3,16.09433727
92.19997239,1.179377402,42,0.3,16.68521918
94.03290272,2.337543994,43,0.3,16.97805377
95.80014372,1.73009406,44,0.3,17.7805272
97.69957089,2.337854376,45,0.3,18.67890905
99.47514343,1.892453591,46,0.35,18.39460556
101.3452895,1.15901373,47,0.35,18.76321502
103.9855778,0.452257004,48,0.35,19.48113742
106.4499733,2.014492947,49,0.35,20.38883929
108.6952453,2.350562317,50,0.35,21.49512113
110.4934375,1.95905714,51,0.3,23.11964454
112.2791369,2.068782338,52,0.3,24.61445149
114.0932853,2.268944042,53,0.3,25.67022163
115.895515,2.052350609,54,0.3,26.96283309
117.8417161,1.804141465,55,0.3,28.5204552
120.6801693,1.073668487,56,0.25,29.85168494
123.1945581,2.126791029,57,0.25,31.167512
125.3739872,0.656298366,58,0.25,32.98696991
127.1704779,1.621935534,59,0.25,34.85009166
129.0280964,1.505178957,60,0.25,36.3857481
130.8640196,0.57428632,61,0.3,38.29538343
132.7219629,1.812076433,62,0.3,40.67647604
135.1572702,1.570505798,63,0.3,43.08678471
137.7606869,0.554944769,64,0.3,45.31558286
140.3171475,1.665147596,65,0.3,47.63442278
142.2747996,0.743911548,66,0.35,49.91323271
144.3447113,1.025553761,67,0.35,51.605189
146.3439953,1.054217997,68,0.35,53.27677076
148.1425784,1.17570807,69,0.35,54.90171284
150.071183,0.852006438,70,0.35,56.39513969
152.5063915,1.007069321,71,0.4,57.88223809
154.8264132,1.727191424,72,0.4,59.24542046
156.976259,1.519836436,73,0.4,60.78497145
