novelty,reward,total_time,n_koeff,iteration
nan,-70.54118325369556,5.450987815856934,0.0,1
2.332825166422898,-45.45287149790519,7.186041831970215,0.0,2
1.4881080614757063,-37.75620582419565,8.958370685577393,0.0,3
1.800825016729867,-35.24555726221523,10.66139554977417,0.0,4
1.6397477717207343,-31.86529898448822,12.593847751617432,0.0,5
1.317596550555407,-28.43325492262022,14.509408235549927,0.0,6
1.2325878550127807,-27.31474618485201,16.287387371063232,0.0,7
1.327958412718965,-24.931851534969567,18.084930419921875,0.0,8
1.4043350304069566,-23.309499376946828,20.021064043045044,0.0,9
1.4020951201047636,-21.838680527228558,21.854833602905273,0.0,10
1.3430613594994951,-21.00355393593784,23.74412965774536,0.0,11
1.1632615006335567,-18.198032729301403,25.66946768760681,0.0,12
1.0972586534015112,-17.226752613530536,27.479440927505493,0.0,13
0.918034082564694,-17.155508040966165,29.637607097625732,0.0,14
1.0027753772975634,-16.6916083577216,32.33185052871704,0.0,15
0.8593665702451923,-15.683168975838283,35.16768717765808,0.05,16
0.8034823774413926,-14.546717686051904,37.211578130722046,0.05,17
0.7135584529444421,-12.325334345454992,39.17819380760193,0.05,18
0.8838213132426593,-11.592040302426026,41.02957725524902,0.05,19
0.7060728167436233,-10.960398944072862,42.90195918083191,0.05,20
0.7359318797425971,-9.658190031449703,44.901350259780884,0.1,21
0.7373463656065729,-9.837959039179724,47.63103890419006,0.1,22
0.6955870106163035,-9.195037495140589,50.2081573009491,0.1,23
0.5951238339985593,-9.211993964808975,52.411996364593506,0.1,24
0.5695774758383929,-9.058416038017102,54.332308530807495,0.1,25
0.6146792866422689,-9.060911814699585,56.18665599822998,0.15000000000000002,26
0.5147689919105283,-8.620572763568877,58.02887535095215,0.15000000000000002,27
0.48921801179813285,-7.973701762286664,59.88295602798462,0.15000000000000002,28
0.4722764893439835,-7.688851797216348,62.04503560066223,0.15000000000000002,29
0.5063035469791367,-7.3773802872482666,64.5849347114563,0.15000000000000002,30
0.5825005810451542,-7.392515362656416,67.00216937065125,0.2,31
0.6053328623755952,-7.1023711124702125,68.89244818687439,0.2,32
0.4977907896763366,-6.70833395524697,70.73526430130005,0.2,33
0.5196902289814664,-6.142566921777946,72.64335012435913,0.2,34
0.4953056187184135,-6.267414507530189,74.44671988487244,0.2,35
0.4453719397832733,-5.647884872487021,76.3041923046112,0.25,36
0.50642260640408,-5.464061164800534,78.73965501785278,0.25,37
0.39552485714055274,-5.405044690045326,81.38969540596008,0.25,38
0.5284498961581958,-5.004689016434335,83.76943373680115,0.25,39
0.3949877069222876,-4.713560346896893,85.65622210502625,0.25,40
0.3784024657469648,-4.166247749589472,87.53489089012146,0.3,41
0.37700960996758914,-4.34732622114525,89.4026849269867,0.3,42
0.3423776485591975,-3.9838383959089088,91.29175305366516,0.3,43
0.40702489016629995,-4.220987321139932,93.36153364181519,0.3,44
0.29050259465139106,-4.000562378864622,96.04973101615906,0.3,45
0.44236689779613414,-4.2469324634232235,98.43617272377014,0.35,46
0.3490340593157437,-3.8179162887776954,100.53537654876709,0.35,47
0.31656897641258475,-3.6663406245541452,102.38967967033386,0.35,48
0.37927049014568703,-3.7457818251773363,104.21932291984558,0.35,49
0.31350686378542186,-4.007007407861885,106.05469036102295,0.35,50
0.34914589214600045,-2.4166510528726213,107.9191746711731,0.39999999999999997,51
0.28434374757111014,-1.8988522371173966,110.18718457221985,0.39999999999999997,52
0.28536616863025993,-1.6818391602289453,112.76768445968628,0.39999999999999997,53
0.3549021723385074,-1.5402744752843325,115.19454216957092,0.39999999999999997,54
0.46750978594503384,-1.0582279110592108,117.10282135009766,0.39999999999999997,55
0.2836028766250374,-0.5758181305852009,119.07657361030579,0.44999999999999996,56
0.30100085485709777,-0.5035080806825813,120.96467328071594,0.44999999999999996,57
0.19235558789046572,-0.20263729977509573,122.8360767364502,0.44999999999999996,58
0.359608364634469,-0.14580944447525257,124.70549035072327,0.44999999999999996,59
0.23908174823087308,0.12009711395700236,127.43425226211548,0.44999999999999996,60
0.377269642910059,0.3402405320926702,129.84900665283203,0.49999999999999994,61
0.31908054069832414,0.16837112222521478,132.36774063110352,0.49999999999999994,62
0.26035090781598214,0.3470629202685593,134.16722297668457,0.49999999999999994,63
0.32331043060246945,1.0203052542064368,135.9325487613678,0.49999999999999994,64
0.33781819711424765,1.2698100167290411,137.7392349243164,0.49999999999999994,65
0.16407535335346166,1.04604810413107,139.5769658088684,0.5499999999999999,66
0.24379213202471534,0.9197437051943156,141.59327507019043,0.5499999999999999,67
0.1715323986011047,0.4831678210065323,144.17023468017578,0.5499999999999999,68
0.227696957040791,0.5264639408049941,146.63152527809143,0.5499999999999999,69
0.3148049915060591,0.6513207352070726,148.74003887176514,0.5499999999999999,70
0.42761697755720857,0.45756275170357946,150.63596773147583,0.6,71
0.35338959345639376,0.6859898263100404,152.56537127494812,0.6,72
0.25139692566082883,0.6920321612849141,154.44832110404968,0.6,73
0.16336378057600112,1.0737823519735081,156.28404784202576,0.6,74
0.320378936471328,1.2733760312335847,158.83090472221375,0.6,75
0.18955307075640798,1.6169357966423834,161.2306981086731,0.65,76
0.16921175468943278,1.7027569608479904,163.56164526939392,0.65,77
0.2692826014368229,1.5275604881765772,165.4465823173523,0.65,78
0.3328249622864027,1.5871972969011472,167.3596613407135,0.65,79
0.3050093155200302,1.7384394987815452,169.22744846343994,0.65,80
0.1827470627409813,2.0150707555670677,171.18095064163208,0.7000000000000001,81
0.20422508762644956,2.2203433473695027,173.24368619918823,0.7000000000000001,82
