total timesteps,mean_int_reward,num_episodes,ep_rew_mean,total_time,intrinsic_loss,entropy_loss,policy_gradient_loss,value_loss,total_loss
15360,0.058226362,304,-92.05069400000001,17.62831211090088,4.128531888127327,-1.1727786641567945,-0.002986011479097082,0.2894978723488748,2.350777804933441
16384,0.028774355,324,-90.07675964,18.82605791091919,1.7729639364406466,-1.160484254360199,0.00013782302384899474,0.2968046166934073,1.1834244079375795
17408,0.018038321,348,-91.29099836000002,20.07035994529724,1.0491980044171214,-1.1454749051481485,-0.0051428027901999395,0.26291385397780687,0.7823700533961677
18432,0.010072099,368,-94.9817011,21.32196068763733,0.9295563269406557,-1.1310121323913336,-0.002137716313671884,0.2733335446100682,0.7359739917667242
19456,0.005172898,388,-93.92633660000001,22.527098894119263,0.8989033401012421,-1.1098161488771439,-0.008660585892147802,0.25163643690757453,0.6924275210660478
20480,0.0010853515,408,-91.20762126000001,23.715062618255615,0.5596591727808118,-1.090014846995473,0.0019851320183514997,0.19010185811202973,0.4719165765207871
21504,0.000286834,428,-92.2369557,24.886802911758423,0.4556248039007187,-1.0747820790857077,-0.006397485290801729,0.22688226541504264,0.44829718207460023
22528,0.00017167316,448,-88.11198136000002,25.995323419570923,0.3464028157759458,-1.0535572040826082,-0.0047672204572074585,0.22353043721523136,0.3919646246459968
23552,3.3890145e-05,468,-86.71594398,27.224270820617676,0.20822302799206227,-1.0361429285258055,-0.002463085014146841,0.19317748490720987,0.2948259138890942
24576,1.0175564e-05,488,-82.4218541,28.43378734588623,0.10624880326213315,-1.0248773042112589,-0.0037748167631943995,0.19219216075725853,0.2415417456251307
25600,6.928858e-07,512,-78.72924806,29.696502208709717,0.06590207474073395,-1.0080722570419312,-0.007945501504718388,0.20573540322948247,0.23074093909513105
26624,1.5071842e-08,532,-76.58600672,30.99544095993042,0.04309940602979623,-0.9958671294152737,-0.006967698819709309,0.2167069569695741,0.2312889611647629
27648,8.032934e-09,552,-73.4911216,32.274088859558105,0.028214487538207322,-0.9793643690645695,-0.0030232024592554783,0.16950542177073658,0.18058946308058477
28672,5.731747e-09,572,-69.32793504,33.526822328567505,0.013825164081936236,-0.9613233506679535,-0.0025076137968448415,0.1568910760106519,0.16129604425477517
29696,2.8954785e-09,592,-74.03596818000001,34.680071115493774,0.01096045351732755,-0.9489654377102852,0.0006317847887481866,0.11496778600849211,0.12107979755590409
30720,4.2004594e-10,612,-72.1159132,35.87819814682007,0.006854035902506439,-0.9401190523058176,-0.0007242446122026982,0.1345499903545715,0.137252763693622
31744,1.2096732e-12,632,-72.00268764,37.09100413322449,0.004833493643673137,-0.9245921801775694,-0.007293954904438467,0.1352364791673608,0.13035927108475892
32768,7.071511e-14,652,-68.90804172,38.31819295883179,0.0034715122874331428,-0.8995148437097669,-0.0015157794413524577,0.13782659289427102,0.13804656959663514
33792,5.515809e-14,672,-64.8270027,39.54306936264038,0.002630286811836413,-0.8663805779069662,-0.00373612471699567,0.1403610643465072,0.13794008303542973
34816,6.7533225e-14,696,-58.209363919999994,40.75986838340759,0.0017982108720389078,-0.8414389137178659,-0.005554408277230602,0.12184258492197841,0.11718728208076726
35840,6.488266e-14,716,-55.590510720000005,42.025917530059814,0.0023376151020784164,-0.819891563616693,0.00016508471073157713,0.12209076579893008,0.12342465806070088
36864,6.6038124e-14,736,-55.52998564000001,43.163872718811035,0.001783890756087203,-0.7979572555050254,-0.0032011199604989305,0.10314646037295461,0.10083728579049928
37888,5.726757e-14,756,-54.275869459999996,44.472352504730225,0.002334153143237927,-0.7888770746067166,-0.0029121802435723293,0.09619013039628044,0.09444502672432706
38912,5.534793e-14,776,-54.90726982000001,45.69762182235718,0.001246875241122325,-0.7800811696797609,0.001816594032236565,0.09870674065314233,0.10114677230594005
39936,4.9367337e-14,796,-51.83839656,46.972556591033936,0.0009417097003279196,-0.7700053285807371,0.0012155741154413042,0.09648706740699708,0.09817349637260235
40960,4.9469092e-14,816,-51.09119498,48.18733215332031,0.0006618235320274835,-0.749247033149004,0.0041576649200962094,0.12545964063610882,0.12994821732221878
41984,5.0016194e-14,836,-51.436371799999996,49.39231991767883,0.0007544976097051403,-0.7328011188656092,-0.0011211448779210498,0.087013226991985,0.0862693309189165
43008,5.961443e-14,860,-52.049591060000004,50.63848543167114,0.0005874830944776477,-0.7144576981663704,-0.0036509123505005735,0.07643125567119569,0.07307408486793393
44032,5.6796307e-14,880,-53.06221490000001,51.75282621383667,0.0007231795434563537,-0.6972802998498082,-0.0012725876894763876,0.11643642734270543,0.11552542942495721
45056,6.424104e-14,900,-54.35915396,53.054800033569336,0.0010533886043049279,-0.6798829892650247,-0.0006703259667916911,0.08742325741332024,0.08727962574868102
46080,7.349842e-14,920,-51.33997347999999,54.23947286605835,0.0007922559161670506,-0.6673449669033289,-0.0005402356235697978,0.09732874477049336,0.09718463710500709
47104,5.620903e-14,940,-49.60802676,55.5670747756958,0.0008685799693921581,-0.6581173371523619,0.0008219838831205095,0.07816155313048512,0.07941782699830172
48128,7.091594e-14,960,-50.38590342000001,56.799898862838745,0.0006202666745593888,-0.6471389597281814,0.0036067555313591924,0.08229576342273504,0.08621265229137393
