ep_rew_mean,mean_int_reward,total timesteps,num_episodes,total_time,total_loss,entropy_loss,value_loss,policy_gradient_loss,intrinsic_loss
-127.59395504999998,0.0,1024,20,0.5449681282043457,,,,,
-130.193327875,0.0,2048,40,1.9367313385009766,2.7095840342928734,-1.4139354191720486,2.5303762052208185,-0.004110898694108862,0.3666374555323273
-128.46703183999998,0.0,3072,60,3.0718510150909424,1.210594779412089,-1.4015840869396925,1.1947194980457425,-0.0014997307439318403,0.03475002422055695
-122.95148728,0.0,4096,80,4.076234579086304,0.6613438649312542,-1.3772319201380014,0.6624931478872895,-0.004943179246552565,0.007587792581034591
-117.32082101999998,0.0,5120,100,5.12610936164856,0.5641368108030125,-1.3467886336147785,0.567220323253423,-0.00535638918847183,0.004545753476122627
-115.57938242,0.0,6144,120,6.292399168014526,0.5266316357326108,-1.3255169689655304,0.530152159743011,-0.004795883319547645,0.0025507186182949226
-115.61202848,0.0,7168,140,7.638784408569336,0.6444268494040826,-1.3054254185408354,0.6487102997489274,-0.005170141888955095,0.0017733830882207258
-113.03256378,0.1215526,8192,160,9.203202247619629,0.6487429714211141,-1.2861791905015707,0.6519311340525746,-0.003815897450323694,0.0012554696377264918
-106.35270063999998,0.41903573,9216,184,10.534873962402344,11.812475888057573,-1.269810538738966,0.6300938143394887,-0.0049022021713120085,22.374568551778793
-105.39795359999998,0.25144285,10240,204,11.802157163619995,30.91247362838931,-1.2522671781480312,0.5288568991236389,-0.004963294976732527,60.7771600484848
-105.22824962,0.174354,11264,224,13.155627965927124,11.535826982333909,-1.2324175350368023,0.46849179500713944,0.00010281695018204794,22.134464740753174
-102.54155818000001,0.19852635,12288,244,14.422792673110962,6.856534577099458,-1.2071385830640793,0.548368186224252,-0.00023473926462248373,12.616802260279655
-95.31098291999999,0.124057174,13312,264,15.584766626358032,5.553524095222455,-1.1823609564453363,0.5126070105470717,-0.004194038797068396,10.090222246944904
-93.57928613999998,0.058792513,14336,284,16.68971061706543,2.1652895483369274,-1.1626053024083376,0.4366683131083846,-0.0059785515820344635,3.469199573621154
-92.47709619999999,0.03825347,15360,304,17.777892351150513,1.5620982047406957,-1.1456045284867287,0.4939138749614358,-0.0068375974657014,2.1500438544899225
-92.75471762,0.024811666,16384,324,18.823143482208252,1.2355433709838715,-1.136893017217517,0.45106649468652904,-0.003635503313196081,1.576224759221077
-93.13163358000001,0.0062292875,17408,348,19.85488796234131,0.9738602815204958,-1.1338239833712578,0.5183797562494874,-0.008891703560044446,0.9287444576621056
-91.43504184,0.002475643,18432,368,21.06619381904602,0.9361693831850558,-1.1296832002699375,0.4204862464684993,-0.004616723094064044,1.040599719621241
-92.44664892,0.0010412706,19456,388,22.217649936676025,0.6796662972926782,-1.1265788674354553,0.3586037715431303,-0.0040415564865185095,0.6502081644721329
-87.27609592,0.00011034012,20480,408,23.724397659301758,0.5592064335482059,-1.112303590402007,0.36402078648097813,-0.006846095481342223,0.4040634850971401
-85.51803968,2.614895e-05,21504,428,25.091211795806885,0.5016370563254297,-1.0868900325149298,0.3950013015419245,-0.006540281959010661,0.22635207348503172
-84.09961808,3.7234227e-06,22528,448,26.407208919525146,0.40247992872199123,-1.074023723602295,0.32707547722384334,-0.0034021687094672806,0.1576132404152304
-84.84340460000001,3.5046395e-07,23552,468,27.791873931884766,0.35036623529552513,-1.065549934282899,0.31419027247466147,-0.002206314566563521,0.07676455477485433
-82.39443786,1.9033209e-07,24576,488,29.085621118545532,0.36233546778517867,-1.0581024195998907,0.3409603890031576,-0.003964696645689249,0.05067955085542053
-81.72839408,1.1803193e-07,25600,512,30.230711221694946,0.3249231406427622,-1.0519519466906786,0.3200399633497,-0.008806580279075531,0.0273795151442755
-79.34201108,6.865168e-08,26624,532,31.553237438201904,0.3479735985107101,-1.0381705984473228,0.3419585912488401,-0.002371136476010053,0.016772287475760095
-79.42462291999999,3.5842604e-08,27648,552,32.73736810684204,0.33239512064133303,-1.0315352585166693,0.33332638745196164,-0.005383242771902639,0.008903951922548003
-76.1900554,1.5364563e-08,28672,572,33.78144717216492,0.21739248824068047,-1.019497837871313,0.21697446471080184,-0.0026569800904458064,0.006150007240648847
-73.57903759999999,1.9762951e-09,29696,592,34.90388464927673,0.24678849181679802,-0.9989155577495694,0.24242792860604823,0.0021302998155730626,0.0044605267903534696
-72.25366677999999,2.9081832e-12,30720,612,35.98303508758545,0.22943508517102434,-0.9857898186892271,0.22915351740084589,-0.0017348336675075471,0.004032802875371999
-68.07300178,1.2460191e-12,31744,632,37.11517882347107,0.19539048264591563,-0.9708190551027656,0.20076776843052357,-0.006821370335320393,0.0028881691014248645
-64.64781928000001,1.8016824e-13,32768,652,38.24172115325928,0.19781019514952194,-0.9477195404469967,0.2000924521125853,-0.003378581467096329,0.0021926490080659278
-67.35476142,2.80563e-13,33792,672,39.728012561798096,0.1987534661501551,-0.9346645604819059,0.20291473541874439,-0.00502805296502706,0.0017335673928755568
-67.47243338,2.6440682e-13,34816,696,41.18054938316345,0.22849371217885028,-0.9281637668609619,0.2304012804524973,-0.002882041397835082,0.00194894624837616
-65.95322068,3.9366836e-13,35840,716,42.51942729949951,0.20271336392381634,-0.9128770986571908,0.2047392805106938,-0.0027573654844454745,0.0014628977951360866
-64.06976062,7.367436e-13,36864,736,43.85792899131775,0.18881680341293028,-0.8983822287991643,0.19192537397611886,-0.0036887201624613603,0.0011602991985455446
-63.274515279999996,3.9504413e-13,37888,756,45.21393704414368,0.22319888589047532,-0.8881535287946463,0.22201830986887217,0.0006844780020639323,0.000992196039078408
-63.677926420000006,3.415703e-13,38912,776,46.310628175735474,0.19582166464265954,-0.8723956122994423,0.20394756342284381,-0.008677142699474099,0.001102487838579691
-62.849007699999994,4.0708246e-13,39936,796,47.429280519485474,0.1806166427505027,-0.8488278789445758,0.1837419344810769,-0.003666562207361957,0.001082540953575517
