total_time,mean_int_reward,ep_rew_mean,total timesteps,num_episodes,entropy_loss,intrinsic_loss,total_loss,policy_gradient_loss,value_loss
0.43488550186157227,0.0,-132.46760325000002,1024,20,,,,,
2.7843949794769287,0.0,-128.7559319,2048,40,-1.41417065449059,0.2782365002203733,2.0419862835424967,-0.0051147518224068,1.9079827852547169
4.150750398635864,0.0,-126.38130108000001,3072,60,-1.3962109833955765,0.019655370837426744,0.6435409664132375,-0.007017268121163452,0.6407305491156876
5.634488344192505,0.0,-121.34136557999999,4096,80,-1.3765852563083172,0.004032323631690815,0.5565406166896424,-0.003915144941959097,0.5584395998157561
6.9087488651275635,0.0,-121.49583992,5120,100,-1.3661016914993525,0.002155311649403302,0.37475634471754904,-0.005605074109756824,0.37928376300260425
7.941881895065308,0.0,-122.61880758,6144,120,-1.35437529720366,0.002144727964150661,0.39643778398857676,0.0027842346805212774,0.3925811853259802
8.936195611953735,0.0,-120.90937968000001,7168,140,-1.3322433345019817,0.0014405397496375372,0.3844015805054028,-0.006839860406523692,0.3905211710371077
9.927959442138672,0.089879535,-112.70656081999999,8192,160,-1.3027218524366617,0.0008472879230794206,0.3467038461069223,-0.0059022331920715095,0.3521824353374541
11.012206077575684,0.35328344,-107.20430544000001,9216,184,-1.2765525709837675,16.9764711484313,8.808140098901228,-0.005617534656314027,0.3255220593418926
12.137149095535278,0.37082905,-103.14928526,10240,204,-1.2489590048789978,43.232432544231415,21.92648583179817,-0.0011738220275126442,0.311443381709978
13.261698246002197,0.2553461,-100.55882437999999,11264,224,-1.2290208600461483,53.88205546140671,27.19007708715407,-0.011569630344008909,0.26061898679472506
14.295924186706543,0.13675381,-97.76117782,12288,244,-1.2184308916330338,19.764349192380905,10.138958243270661,-0.004372207131912164,0.2611558542121202
15.349930047988892,0.1267775,-93.74338868,13312,264,-1.1978474892675877,5.286234982311726,2.8879217398138586,-0.0016443364070860673,0.24644858506508172
16.465970516204834,0.068949424,-92.73925272000001,14336,284,-1.1781157031655312,3.015844451263547,1.7496449653031085,0.003112754688576132,0.23860998498275876
17.562416076660156,0.034499716,-87.6855457,15360,304,-1.1672352813184261,0.7068419335409999,0.5909217442072866,0.002008634820946829,0.23549214261583984
18.666820764541626,0.014245339,-86.32967216000002,16384,324,-1.1555108185857534,0.7461337465792894,0.5971428229120259,-0.001602069370385531,0.22567801899276674
19.762198448181152,0.0069198757,-82.84419288,17408,348,-1.1356279607862234,0.6746823377907276,0.5835285595782009,-0.003566362738991012,0.24975375342182815
20.805425882339478,0.0027267383,-81.15435585999998,18432,368,-1.1121202427893877,0.686227710917592,0.5513820458902742,0.002048946730862141,0.20621924370061606
21.843822956085205,0.00203581,-82.82807998,19456,388,-1.0954854395240545,0.512472786474973,0.4628136157797802,-0.005913785677946797,0.21249100822024047
23.02519130706787,0.0006314717,-86.66590552000001,20480,408,-1.0896025393158197,0.4018865879625082,0.3907804838297089,0.0017373798097615966,0.18809981003869325
24.174718379974365,5.9579717e-05,-85.61116466,21504,428,-1.0731122810393572,0.2668799888342619,0.3144180175544966,-0.002738796600672228,0.18371681973803788
25.14852213859558,1.0241678e-05,-81.17446118000001,22528,448,-1.0485005881637335,0.1751428807619959,0.2643733901385196,0.00028006000853859377,0.17652188974898309
26.172648668289185,6.270618e-07,-77.12145844000001,23552,468,-1.0321518443524837,0.08274513971991837,0.2143394834465403,-0.005306136993592635,0.17827305058017373
27.101816177368164,2.7089635e-07,-74.89202279999999,24576,488,-1.015928566455841,0.0571318463771604,0.19765670459756,-0.0014855501459322671,0.17057633155491203
28.210819244384766,1.6001773e-07,-73.35331042000001,25600,512,-1.0001340378075838,0.02433078679314349,0.20329382113399247,-0.004050669151330075,0.1951790968887508
29.325162410736084,9.092598e-08,-74.6315398,26624,532,-0.9870519014075398,0.015417542635987047,0.1851768508731947,-0.001510692580250269,0.17897877213545144
30.42541742324829,4.5099128e-08,-73.74111664,27648,552,-0.9676728863269091,0.009024272450915305,0.18497684509527612,-0.0005183226480075631,0.18098303151782602
31.484068632125854,2.1613976e-08,-69.13584798000001,28672,572,-0.9386096345260739,0.005881479304662207,0.13508421626238604,-0.0016749464161864213,0.13381842302624136
32.60012245178223,6.833882e-09,-67.0025716,29696,592,-0.9166520526632667,0.004093278492291574,0.14602669033055585,-0.0006203388483378634,0.14460038993274793
33.70298504829407,4.3810333e-10,-64.53772082,30720,612,-0.9000286189839244,0.0029848963458789513,0.12808393669438628,-0.002849740464805298,0.1294412289862521
34.820030212402344,1.1620867e-10,-64.24454886000001,31744,632,-0.8892669035121799,0.0025021613164426526,0.15720457813059255,0.00046247100472753856,0.15549102646764368
35.86191701889038,1.154681e-09,-65.147722,32768,652,-0.8775889473035932,0.0017425751602786477,0.13124365417124928,-0.0019644110438087206,0.1323367776349187
36.94620728492737,5.407764e-10,-64.52308046,33792,672,-0.8617364363744855,0.001572725583173451,0.120897798829078,-0.0034072028574019435,0.12351863889489323
37.96999168395996,1.4483367e-09,-62.00624928,34816,696,-0.8473918652161956,0.0012825120520574274,0.1333549019384181,-0.004464502114188747,0.13717814802657813
39.11697435379028,5.24344e-13,-60.91902024,35840,716,-0.8380026491358876,0.0011055273653255426,0.1362834649783167,-0.003236608375334558,0.13896730967098847
40.221747636795044,2.4781032e-13,-58.10006283999999,36864,736,-0.8281607571989298,0.0011233400355195045,0.12436510618838786,0.0037851934286931505,0.12001824274193496
41.326080560684204,3.5230963e-13,-55.702235879999996,37888,756,-0.8235849579796195,0.0009844909754974651,0.15084366569614568,0.0011263675294393579,0.14922505267895758
