num_episodes,mean_int_reward,total_time,Progress,total timesteps,ep_rew_mean,entropy_loss,icm_loss,policy_gradient_loss,value_loss,total_loss
104,0.0124465431,207.853684425354,9.83%,106496,24.05955708,-1.2219082687981426,0.5569273864850401,-0.003220272401603033,0.04733694056267268,0.6010440546461098
112,0.0105186959,225.37934947013855,10.65%,114688,25.477128939999997,-1.2228307735174895,0.5337366809137165,-0.002565602163231414,0.02311303171845793,0.5542841104689431
120,0.0075397723,242.53414845466614,11.47%,122880,27.10467612,-1.200685547105968,0.5464595624012872,-0.00448204731906268,0.023036019860228407,0.565013534942453
128,0.0072719062,260.65328335762024,12.29%,131072,30.770383120000005,-1.1830749145708979,0.5125529821962118,-0.005210411732718474,0.02662841763049073,0.5339709880939841
136,0.0068986904,277.0486047267914,13.11%,139264,33.32858692,-1.1576286433264613,0.5038093667477369,-0.004907058907743204,0.011822412086439726,0.5107247199264334
144,0.0060041032,294.0315799713135,13.93%,147456,36.195260620000006,-1.1255553198978305,0.47221227234695107,-0.0025464448193008,0.012620810401949711,0.4822866379296
152,0.0069636739,310.88060569763184,14.75%,155648,40.52716042,-1.1058042673394084,0.4345377548597753,-0.0010546884772283725,0.015143436609105266,0.4486265029916522
160,0.0050735486,328.00719118118286,15.56%,163840,43.11182797999999,-1.0977999438531696,0.4268824241589755,-0.0014402211426138628,0.012634137799750533,0.4380763408161121
172,0.0063491975,345.5331473350525,16.38%,172032,47.076012119999994,-1.096129509061575,0.420820002281107,-0.002059572546891466,0.013690835857823913,0.4324512655920394
180,0.0059237683,362.4100778102875,17.2%,180224,48.8747271,-1.081061527878046,0.4238069107523188,-0.0004408515563766507,0.01798928032544609,0.4413553395213882
188,0.005658922,380.0178077220917,18.02%,188416,50.71064792,-1.0649830460548402,0.4152154922718182,-0.0023626559469590177,0.012974464339913538,0.4258273006647727
196,0.0063534203,397.5110504627228,18.84%,196608,52.31753444000002,-1.0572047222405672,0.3928988596657291,-0.0014649185931487085,0.013829619645775892,0.40526356071835623
204,0.0056236463,414.3088312149048,19.66%,204800,54.01665308,-1.0559197967872023,0.3930916227400303,-0.0015157771388705373,0.014191714497746944,0.4057675600989067
212,0.0063828368,430.16857862472534,20.48%,212992,57.65206462000001,-1.050457841809839,0.3884920126060024,-0.0009255767977560337,0.014354080468956453,0.4019205162772028
220,0.0087890086,447.1818296909332,21.3%,221184,60.75778632000001,-1.0624707362614572,0.3949780342169106,-0.0015305001216539692,0.015470995749046779,0.40891852984430344
228,0.0077907048,464.96775341033936,22.12%,229376,64.11539392,-1.0589086537249386,0.4034528890158981,-0.0011352355051538632,0.01750337139910698,0.4198210249098512
236,0.0101510625,482.14172983169556,22.94%,237568,68.7625373,-1.044709949195385,0.39388738172128795,-0.001209113391026627,0.019419627113074968,0.41209789544333636
244,0.008263463,499.92012214660645,23.76%,245760,74.31854030000001,-1.0169991773553193,0.39118309190962464,-0.0015365863054144634,0.02116873096829295,0.41081523657250313
252,0.0084098676,517.3272235393524,24.58%,253952,79.73381579999999,-0.9886118622496725,0.3620522940997034,-0.0014275099326134632,0.015128710617000251,0.37575349478409026
