Progress,mean_int_reward,total timesteps,total_time,ep_rew_mean,num_episodes,value_loss,icm_loss,entropy_loss,policy_gradient_loss,total_loss
9.83%,0.0101464058,106496,195.46439933776855,23.87292004,104,0.03677971621946199,0.5616700377548114,-1.2349204138852656,-0.004149818828525743,0.5942999351457475
10.65%,0.008405706,114688,211.56018662452698,25.437143799999998,112,0.028954596283801946,0.5462240519933402,-1.2346332208253443,-0.004860623620014974,0.5703180246571271
11.47%,0.0079441535,122880,227.5330913066864,27.54006406,120,0.017144968333559517,0.5663530885707587,-1.2176916909404099,-0.0035934442839102286,0.579904612620408
12.29%,0.0071358974,131072,243.21224164962769,28.4343107,128,0.02487905737825713,0.5463487272616476,-1.2115065343677998,-0.0007921018804088782,0.5704356827594959
13.11%,0.0078578088,139264,258.7976632118225,29.90450406,136,0.01674640321116385,0.5516110826516524,-1.2199428513646127,-0.0007923180646125424,0.5675651677982037
13.93%,0.0086129087,147456,275.166729927063,30.169567480000005,144,0.01828457262863594,0.5528329700697213,-1.2168991293758153,-0.001610150986530499,0.5695073917118268
14.75%,0.0077572976,155648,291.8585591316223,30.82112834,152,0.019806433805570123,0.5421869977843017,-1.2062968748621643,-0.0004639715234139322,0.5615294600664578
15.56%,0.0057621058,163840,307.6648778915405,31.81256174,160,0.014123019619000842,0.5348431885940954,-1.190195592492819,-0.0013251490052370806,0.5476410592078592
16.38%,0.0067914584,172032,324.3801794052124,32.84892136,172,0.01457701167637424,0.5173784842249006,-1.1761667429469527,-0.0009432628291153593,0.5310122330721595
17.2%,0.0069697546,180224,340.3767259120941,35.31743334,180,0.02334324958610523,0.49569858678150924,-1.1648004313930869,-0.0011315394795262858,0.5179102968880882
18.02%,0.0071351942,188416,356.3618402481079,36.582338,188,0.016865407983414116,0.48115772297605874,-1.1511643703095615,-0.0019749455622820565,0.4960481853971908
18.84%,0.0070473052,196608,372.5324363708496,39.179202520000004,196,0.016449917567751982,0.47460142043419185,-1.1375194067135452,-0.0013342030927380767,0.48971713490920576
19.66%,0.0079472546,204800,388.76108264923096,39.609802,204,0.018677922132792447,0.46794652394019065,-1.1418588832952081,-0.0009433902257156913,0.48568105584726745
20.48%,0.0083165015,212992,405.14343452453613,41.06726736,212,0.01689019723844467,0.47456240775063635,-1.132765645068139,-0.0007656466452572816,0.4906869583438237
21.3%,0.0075281568,221184,421.3137137889862,42.73462172000001,220,0.01680009191040881,0.45617333170957863,-1.112561379559338,-0.0003720389702290633,0.4726013846497583
22.12%,0.0095817628,229376,437.250107049942,43.79891274,228,0.018443694070310813,0.43684830674901604,-1.098887326847762,-0.0004592856590654898,0.45483271516026136
22.94%,0.0098248356,237568,453.23341393470764,44.64263674,236,0.017775254164007492,0.4202944224700332,-1.092110055219382,-0.0009028791016891912,0.4371667975323515
23.76%,0.0094500557,245760,468.80353927612305,47.42476756,244,0.017579904114518284,0.42539469320327045,-1.0763919197022915,-0.0005032148099605186,0.4424713825078282
24.58%,0.0082190164,253952,485.0750222206116,49.68288870000001,252,0.020080902067365968,0.4083464878378436,-1.0521474386565388,-0.001121848657372848,0.4273055412478367
25.4%,0.0078210019,262144,501.72819328308105,51.8958675,260,0.021711480473277332,0.38013853792799635,-1.0196638628840446,-0.0013326832360338113,0.4005173351652399
26.21%,0.0078300862,270336,518.045759677887,54.11504075999999,268,0.020968017764425896,0.36130033602239564,-1.0010146568994969,6.952550335251619e-05,0.38233787929017404
27.03%,0.0072907178,278528,533.8965492248535,56.657359480000004,276,0.017736047249672992,0.34780566160334275,-0.9909778474830091,-0.0007799460224070616,0.3647617628306087
27.85%,0.0056696903,286720,549.6882553100586,59.498981240000006,284,0.017370426932120608,0.3450948399724439,-0.9812811992131174,0.0005130139465261787,0.3629782808510907
28.67%,0.005395031,294912,565.6409056186676,61.25782998,292,0.018479932458740224,0.3398126040119678,-0.9574975454248488,-0.00044140447310208887,0.3578511319976059
29.49%,0.0047756531,303104,581.6177792549133,61.654370359999994,300,0.018239111540788146,0.3190164742758498,-0.9222875380888581,-0.000980517844332323,0.33627506797230555
30.31%,0.0048569505,311296,597.6683752536774,64.0001279,308,0.018840985774659202,0.2907229281263426,-0.9081818781327456,-0.0002588819978924858,0.3093050319031093
31.13%,0.004481254,319488,613.7231891155243,64.94179544,316,0.017911481642568106,0.2916955873952247,-0.8855355316773057,-0.0014716034580406663,0.30813546557975213
31.95%,0.0048888522,327680,629.4586029052734,66.47211153999999,324,0.01915731487042649,0.27661668554646895,-0.857027185941115,-0.0005679800148374601,0.295206020402058
32.77%,0.0043476298,335872,645.2551956176758,67.9378079,332,0.01890925617180983,0.26611501260194925,-0.8261787670664489,-0.0008517647885315814,0.28417250398522753
33.59%,0.0049529762,344064,661.2881672382355,70.57486836,344,0.01805125895243691,0.24681711482116953,-0.8022403880488127,0.0004210215413927693,0.2652893953149992
34.41%,0.0061226681,352256,677.4982771873474,74.19138858000001,352,0.028803749512007926,0.23862815285101532,-0.7779293599538505,5.967776601743771e-05,0.2674915801290407
35.23%,0.0057495964,360448,693.5715126991272,76.98653208,360,0.0212218121112528,0.22234460837207734,-0.7434392587747425,-8.034139675601229e-05,0.24348607908657413
