Progress,total timesteps,mean_int_reward,num_episodes,ep_rew_mean,total_time,entropy_loss,policy_gradient_loss,icm_loss,value_loss,total_loss
63.08%,638976,0.0039196257,636,114.61092273999999,1298.012516260147,-0.2904983493965119,0.001683125324658305,0.0861090837221127,0.014847856097981093,0.1026400651447521
63.9%,647168,0.0036173239,644,114.07794210000002,1315.280221939087,-0.2641496159136295,0.0010638267689255237,0.08689383688324596,0.026532798579773954,0.11449046223194545
64.72%,655360,0.0050847082,652,111.62021297999999,1332.1997091770172,-0.23202342703007162,0.003256929641180857,0.08210420924879144,0.02197322845013332,0.10733436734010562
65.54%,663552,0.0040809683,660,112.1139709,1348.7903950214386,-0.2215804612264037,0.0015497893822054773,0.07620009007514454,0.05004627950193026,0.1277961589592803
66.36%,671744,0.0041630569,668,110.95742141999999,1365.5731387138367,-0.20334392725490033,0.0030549773552470813,0.07447402004909236,0.014036738849790708,0.09156573625413016
67.17%,679936,0.0036856427,676,112.19542761999999,1382.414746761322,-0.20405328203924,0.0026639316502741995,0.07178431314823683,0.03281818790219404,0.10726643270070506
67.99%,688128,0.0039077033,688,113.97752305999998,1398.7673017978668,-0.1997780651319772,0.0034565838025947134,0.07289951025450137,0.015036281943866924,0.091392376000963
68.81%,696320,0.0036253248,696,114.94627544,1415.3503956794739,-0.18753783041611313,0.0025504945950761636,0.07193929502682295,0.03018398115450509,0.10467377077640419
69.63%,704512,0.0036975251,704,115.36138958000001,1432.3954470157623,-0.17909077098593115,0.002352741557411007,0.06953132539638318,0.015275672187704004,0.08715973914149819
70.45%,712704,0.003973354,712,115.85025932,1448.9803726673126,-0.1795564097817987,0.0013386921071883197,0.06893797618395184,0.03021470676935678,0.10049137506049692
71.27%,720896,0.0035013476,720,116.18582065999999,1465.4753992557526,-0.17535330583341419,0.0011802751288707545,0.06938842287054285,0.013660342768503142,0.08422904076791676
72.09%,729088,0.003635331,728,115.61002476,1482.102882385254,-0.16057048519141973,0.0037397761754283582,0.06921712273615413,0.02432093870202152,0.097277837613604
72.91%,737280,0.0039592212,736,115.6511149,1498.984802722931,-0.15580966952256858,0.0026766542867637634,0.06633095490687993,0.0178736654368322,0.08688127463047587
73.73%,745472,0.004101662,744,115.47177492,1515.359216451645,-0.14556789863854647,0.0023410234945821493,0.06654958945291582,0.020231551678443795,0.08912216462594176
74.55%,753664,0.0037409367,752,116.24790336000002,1531.250498533249,-0.12139412970282137,0.00080620838953485,0.06498438986600377,0.01282346769930882,0.07861406595484743
75.37%,761856,0.0036394705,760,116.47424202,1547.6744298934937,-0.10022125695832074,0.0016836617540909892,0.0603645957831759,0.021526673753305657,0.08357493129057256
76.19%,770048,0.004055567,768,117.62797132,1564.369386434555,-0.0904539599083364,0.0046815029535982626,0.058594991112477145,0.02407622008340695,0.08735271414948236
77.0%,778240,0.0041519896,776,119.37231667999998,1580.741811990738,-0.0842325083911419,0.0024240984638644407,0.05829493890632875,0.025417702730874226,0.08613674010106742
77.82%,786432,0.0038484122,784,120.95714979999998,1597.3215744495392,-0.07431368744000792,0.002408307764083662,0.05666935290792026,0.02940413352939686,0.08848179420140079
78.64%,794624,0.0036872404,792,122.82346032,1613.9908106327057,-0.06813179710879921,0.002362890701427657,0.05716116864641663,0.01893487326253762,0.0784589326103819
79.46%,802816,0.0036979345,800,125.08772888,1630.1055791378021,-0.06877737320028246,0.0020178012652490992,0.05649634297878947,0.017829584408355005,0.07634372865239358
80.28%,811008,0.0038660182,808,125.23651665999999,1646.1294043064117,-0.07884515202604234,0.0012538144054655678,0.05791896125301719,0.013408579868018933,0.07258135552650169
81.1%,819200,0.0034085923,816,123.87561174000001,1662.7985684871674,-0.0733520643785596,0.002196222172707085,0.06034518285596278,0.015521089070762172,0.07806249409943203
81.92%,827392,0.0054707261,824,124.80162951999999,1680.286524772644,-0.05635217949748039,0.0010452097482620457,0.057843553618295115,0.022623324888672868,0.08151208825523003
