total_time,Progress,total timesteps,mean_int_reward,num_episodes,ep_rew_mean,entropy_loss,total_loss,icm_loss,policy_gradient_loss,value_loss
2.9765310287475586,0.0%,8192,1.1657841039,8,-8.489935625,,,,,
19.117536067962646,0.82%,16384,0.0839747451,16,-6.245264125,-1.4197254777885973,2.545729448362912,0.8949798518791795,-0.006047958046471023,1.6567975545302034
34.672280073165894,1.64%,24576,0.0361244158,24,0.005338333333333445,-1.4012550810351967,1.147360032133832,0.8360045216046273,-0.009038568427246672,0.3203940789564513
50.788657665252686,2.46%,32768,0.0195561554,32,3.66063328125,-1.3772824032232165,0.9212898353345647,0.7800076351035387,-0.009957737216800346,0.15123993744782638
67.26574492454529,3.28%,40960,0.0126263592,40,6.4881102749999995,-1.3499949815683068,0.7748870561321988,0.7297165887895971,-0.00651291326060658,0.05168338060320821
83.82711386680603,4.1%,49152,0.0100412721,48,8.221769437499999,-1.31502605965361,0.7281267362728254,0.6953950502444058,-0.002877213179671768,0.035608899208091314
102.14102125167847,4.92%,57344,0.0074783657,56,12.197338560000002,-1.2818948686122895,0.6987991174589003,0.6504898575134576,-0.0026031548020294002,0.05091241474747221
121.51382422447205,5.73%,65536,0.0071332733,64,15.960313380000002,-1.254877066705376,0.6559301909417772,0.6079321542521938,-0.0021354334165008064,0.050133470106084134
140.78855991363525,6.55%,73728,0.007833015,72,18.26478976,-1.231125694140792,0.597170901982882,0.5650001890957356,-0.001212592244464054,0.033383305131610544
159.44675970077515,7.37%,81920,0.0074953246,80,18.51690432,-1.2119168712757529,0.5737567317329262,0.5381195277674123,-0.0026047736999249165,0.038241977665438756
180.23648405075073,8.19%,90112,0.0091138676,88,18.28977676,-1.1987219746224582,0.5612339991969322,0.5296136860735714,-0.0023624592008189035,0.03398277232417968
198.62379932403564,9.01%,98304,0.0101499433,96,20.0952373,-1.2003668969497086,0.5607700448318802,0.5178609916707501,-0.004203246860996755,0.04711230002212687
215.09459948539734,9.83%,106496,0.0101129444,104,20.55646628,-1.1913202366791666,0.566647369616238,0.5254519609268755,-0.0058133771023326005,0.04700878579169512
231.77388715744019,10.65%,114688,0.0102218706,112,22.54037542,-1.1799416778609157,0.5351985584868155,0.5062183370348066,-0.004425419762622079,0.033405641214631035
248.19793319702148,11.47%,122880,0.0080641321,120,24.927777059999997,-1.168850271869451,0.5322933432873974,0.5053170164115727,-0.004553393855662412,0.031529720731487035
264.61996841430664,12.29%,131072,0.0074447925,128,27.82137678,-1.1445274585857987,0.5025917682268102,0.4860718955518678,-0.004800085487224166,0.021319958162166586
281.1434223651886,13.11%,139264,0.0062868547,136,31.624744359999994,-1.1246137913316487,0.47857653990033333,0.46146549510303886,-0.0032691307357515034,0.020380175533045986
297.84509563446045,13.93%,147456,0.0065416145,144,34.33471891999999,-1.1035816243849694,0.45978702534167215,0.44230492080096157,-0.002301700426090144,0.019783804966800746
314.7072880268097,14.75%,155648,0.0058024743,152,38.150066339999995,-1.0785914212465286,0.4432760863766737,0.42541398636531086,-0.003450701938535279,0.02131280194989813
332.16013526916504,15.56%,163840,0.0070048399,160,40.536817,-1.0669704178348183,0.4266295183427687,0.40871774817351253,-0.0021857569738600495,0.02009752714311617
348.8099980354309,16.38%,172032,0.0067005101,172,45.159346920000004,-1.0495954331941904,0.42049545695533846,0.4007624422432855,-0.002274706173487062,0.02200772088554004
365.6436994075775,17.2%,180224,0.0072223672,180,47.97410730000001,-1.0174814695492387,0.40806651904547014,0.3794991495320573,-0.00270109038595272,0.03126845989936555
382.1617226600647,18.02%,188416,0.0069006036,188,51.84916158,-0.995776089001447,0.37826830124730854,0.35896554569480943,-0.002401526179446097,0.02170428173194523
399.0241904258728,18.84%,196608,0.0056533308,196,54.84991701999999,-0.9807471552398056,0.36598904657775355,0.3441302266670391,-0.0012770806274219574,0.02313590053813641
415.7765552997589,19.66%,204800,0.0058319313,204,58.021163619999996,-0.9612829074263572,0.3649388572561942,0.342858308670111,-0.001896503101332716,0.02397705168741595
432.8768651485443,20.48%,212992,0.0062816094,212,61.51792328,-0.9222965186461807,0.3445582220847621,0.3233194179367274,-0.0027677334524275473,0.02400653760046225
450.0002450942993,21.3%,221184,0.0056607574,220,64.84631118,-0.8787762653082609,0.31988226144913884,0.295514566951897,-0.0022237396487884004,0.026591434146030223
468.1114583015442,22.12%,229376,0.0058684291,228,68.31861615999999,-0.8401237922720611,0.2950535975829073,0.27169597684405744,-0.0014459211031432402,0.024803541841993137
485.3948714733124,22.94%,237568,0.004877136,236,71.40701802,-0.812532156193629,0.26665728714375103,0.2455650979070924,-0.002242272037203342,0.02333446127386196
502.77239871025085,23.76%,245760,0.005201894,244,74.1585999,-0.7849778339732438,0.26233770741146334,0.24059627195820213,-0.002187209335441253,0.023928644788702512
519.7188670635223,24.58%,253952,0.0049186242,252,76.47985152,-0.7527521009556949,0.24767919353981355,0.22251348714344205,-0.0019382849004548261,0.02710399129682628
536.7005560398102,25.4%,262144,0.0045633642,260,78.47023772,-0.7292459352873266,0.23984510573681006,0.21082649432355538,-0.0016626586619287475,0.03068127007518342
553.2607462406158,26.21%,270336,0.004385328,268,80.8080466,-0.7088398635387421,0.2311916447908203,0.20382167025236414,-0.00011295039024334608,0.027482924928699505
570.8252959251404,27.03%,278528,0.0039802916,276,82.98691328,-0.6769889234099538,0.21767735497155094,0.1934228826663457,-0.0014025965660092589,0.025657068871214505
587.5851535797119,27.85%,286720,0.0043735029,284,84.68176240000001,-0.6459587901830673,0.20937230965813353,0.18362631271011196,-0.0009698425591204015,0.026715839507141938
604.0092887878418,28.67%,294912,0.0041996514,292,86.8639596,-0.6087034102063626,0.19925106700204054,0.17126061707967893,-0.001090773415745911,0.02908122333810752
620.8251123428345,29.49%,303104,0.0034375043,300,90.05785048,-0.5835730191320181,0.1867969648754254,0.1602934215217829,-0.0009531214483601618,0.027456664802002706
636.9864859580994,30.31%,311296,0.0033470896,308,92.76186288,-0.5626047140918672,0.18155944120476647,0.15313859599991703,6.333788346979978e-05,0.02835750732137967
653.336505651474,31.13%,319488,0.0036571865,316,94.190911,-0.5303107226267457,0.18006555058460677,0.14819361171685158,-0.00026412784071668514,0.03213606670847184
669.6705288887024,31.95%,327680,0.003028449,324,96.3275405,-0.503461867524311,0.17539451030877995,0.1404975721030496,-0.000672121245469431,0.03556905945119979
686.4463181495667,32.77%,335872,0.0030019183,332,98.16059035999997,-0.4764600080670789,0.16247861486048093,0.13539471724652685,-0.00037148561874604476,0.027455383232700116
702.8635568618774,33.59%,344064,0.0030676839,344,100.1123698,-0.45272585342172533,0.15516410921314075,0.1244360356591642,0.00021568922479982475,0.03051238432917671
719.4271914958954,34.41%,352256,0.0026943579,352,101.23422658,-0.43282589183654635,0.16265842637254221,0.11951439178665169,1.6923829721755562e-06,0.04314234220291837
736.0127835273743,35.23%,360448,0.002692827,360,101.88120457999999,-0.4140312900999561,0.14556836117385902,0.11707026853691786,0.0008612665030836181,0.02763682613385754
752.4317750930786,36.04%,368640,0.0025822353,368,102.97706382,-0.3810277515323833,0.1478196523739226,0.11095986072323286,0.0003024104008855939,0.03655738124980416
768.8245663642883,36.86%,376832,0.00264298,376,104.23445515999998,-0.3649129769997671,0.13340099934304406,0.10204990493366495,0.0008293323388356572,0.030521762070543447
784.6540474891663,37.68%,385024,0.0023283866,384,105.02554794000001,-0.36238094163127244,0.13056189819238634,0.10074354643002152,0.0009908615437417287,0.028827490218623096
803.0755066871643,38.5%,393216,0.0023172435,392,105.50404560000001,-0.34748156401328745,0.13072881824105265,0.1027998716395814,0.00024998885085336414,0.027678957750617884
820.586451292038,39.32%,401408,0.0021947027,400,105.93143021999998,-0.3418011730303988,0.12730127045073564,0.09747401549830101,0.00028137375610744496,0.029545881196327173
837.2367625236511,40.14%,409600,0.0020738299,408,106.6946341,-0.32440322989132253,0.1283905577619475,0.09435246252105571,0.0018124505495574553,0.03222564469133431
853.7288327217102,40.96%,417792,0.0020972151,416,107.46532514,-0.29366671056486665,0.12120792647742422,0.0899035201757215,0.000726012585843317,0.03057839371585942
871.038007736206,41.78%,425984,0.001904739,424,107.52431778,-0.2655025182291865,0.11437832918284196,0.08445360829355195,0.0011085036744368454,0.028816217214853168
887.7059202194214,42.6%,434176,0.0018987265,432,107.14935986,-0.2628127529285848,0.11172289996214682,0.08112841552647296,0.0007328840689845259,0.029861600366689344
904.9459969997406,43.42%,442368,0.0019769885,440,107.17182009999999,-0.2719298228621483,0.11641127386081915,0.08187253184441942,0.001479558723655822,0.03305918329274391
921.8127534389496,44.24%,450560,0.0018262488,448,107.05166089999999,-0.2727629731409252,0.11386224580084645,0.08572534450213425,0.00032092371397512786,0.027815977584737084
