total timesteps,mean_int_reward,Progress,ep_rew_mean,num_episodes,total_time,icm_loss,total_loss,policy_gradient_loss,entropy_loss,value_loss
499712,0.0,16.38%,110.94977969999998,496,678.0544579029083,0.0983446006430313,0.1089344159861922,0.002087673303691302,-0.2216056698001921,0.017004284078939235
507904,0.0,16.66%,110.57548695999999,504,688.0811421871185,0.09785314387409016,0.10747354018866422,0.0014990258239663977,-0.1874720623716712,0.01624274098121532
516096,0.0,16.93%,108.84767530000003,516,699.1812062263489,0.09269297048449517,0.10206744487489641,0.0015325838713438327,-0.1567345361225307,0.01568378103811483
524288,0.0,17.2%,107.95463055999998,524,709.6593041419983,0.08541514738462866,0.10015979795446976,0.002796020643503958,-0.1431348852813244,0.023897259852674324
532480,0.0,17.48%,108.08988484000001,532,720.6974155902863,0.08466672740178183,0.09696624068921969,0.005088920207548043,-0.1438139104284346,0.014421186159779609
540672,0.0,17.75%,107.60515078,540,731.8047058582306,0.08396597127430142,0.09227156462488748,0.0008551356431311574,-0.1019418427720666,0.014900915414909833
548864,0.0,18.02%,107.29637178000002,548,742.4837329387665,0.07714546549250371,0.08779363442473777,0.003254588295034851,-0.07695880066603422,0.014787161274398386
557056,0.0,18.3%,108.75589302,556,753.5787255764008,0.07424996330519207,0.09285320874477472,0.0044977540663166705,-0.07415991574525833,0.028210982746531953
565248,0.0,18.57%,109.40339456,564,765.1874227523804,0.07442681014654226,0.08639160785122499,0.004489269533029303,-0.06339705837890505,0.014951056343306846
573440,0.0,18.84%,111.30642876,572,776.4695076942444,0.07311738613643684,0.08499130247446836,0.003926429440939562,-0.05644072173163295,0.0158949737941839
581632,0.0,19.11%,112.60079248,580,789.1875760555267,0.0724698593141511,0.08887586378106022,0.0034779769315824174,-0.06975363064557313,0.025856055070653382
589824,0.0,19.39%,114.05080439999998,588,800.772625207901,0.0794304386130534,0.10345053876763502,0.006602169726017175,-0.07465869095176458,0.034835860857128864
598016,0.0,19.66%,115.96987562,596,812.4412055015564,0.0741200263146311,0.08693044408375158,0.0021341057969186845,-0.05967651577666402,0.021352623944403605
606208,0.0,19.93%,118.19535481999999,604,823.8373112678528,0.07072073524468578,0.08315131663447467,0.001956479095214336,-0.030734588112682103,0.0209482045891491
614400,0.0,20.21%,120.31422192,612,834.7594263553619,0.06783966202056035,0.07882174209164187,0.0017508283922517951,-0.01519180927425623,0.018462503357659442
622592,0.0,20.48%,121.20424360000001,620,846.6829626560211,0.06402300922200084,0.07989742174062744,0.003205487821053659,-0.01097016716375947,0.025337849395145894
630784,0.0,20.75%,122.00817778000003,628,858.0049345493317,0.06567304313648492,0.0798817855909498,0.0026063817789314454,-0.017879330553114414,0.023204721351066836
638976,0.0,21.03%,122.75475797999998,636,869.0756952762604,0.06754001354565844,0.07981765433490988,0.0023811359799209364,-0.0009576352313160896,0.01979300961866102
647168,0.0,21.3%,123.54453710000001,644,880.5054001808167,0.06396176076377742,0.07642686504804216,0.002859479490497991,0.010799700301140547,0.01921124958753353
655360,0.0,21.57%,123.44385956,652,892.1498425006866,0.06163014093763195,0.07617276257284258,0.0023825362458054907,0.031215044762939216,0.02432017077881028
663552,0.0,21.85%,122.57654690000001,660,902.5891878604889,0.060496133961714806,0.07460911324012638,0.004060476159316093,0.029943099617958067,0.020105006238190982
671744,0.0,22.12%,122.31710156,668,913.779974937439,0.06024040746269747,0.07577372308830836,0.0032728813887604657,0.03942643636837602,0.02452086847370083
679936,0.0,22.39%,122.83967413999999,676,925.4330563545227,0.057405008154455574,0.07098968733627725,0.0016723349889793948,0.03688262263312936,0.023824688385684568
688128,0.0,22.66%,122.42790353999999,688,936.0297493934631,0.05912055659573525,0.07867609334663547,0.003611781908890125,0.025457367394119503,0.03188750968402019
696320,0.0,22.94%,120.50545252000002,696,946.5905842781067,0.062351835035951805,0.07659022354105868,0.002122638698944809,0.02509577190503478,0.024231499612324115
704512,0.0,23.21%,119.85254952,704,958.3943593502045,0.05950674327323213,0.0682777289057191,0.0004547816528208023,0.04455519365146756,0.01663240795933234
712704,0.0,23.48%,121.33043824,712,969.0267283916473,0.05838762524072081,0.06931838011965771,0.0020924013726111167,0.04752598963677883,0.017676707012651605
