Progress,mean_int_reward,total_time,total timesteps,num_episodes,ep_rew_mean,entropy_loss,total_loss,policy_gradient_loss,value_loss,icm_loss
48.33%,0.0080711226,977.2865853309631,491520,488,76.33644382000001,-0.6263720609247685,0.18428794894775505,0.0012592796847425637,0.0167156240705026,0.1663130451925099
49.15%,0.0107913669,995.1342661380768,499712,496,81.69078054,-0.6273292021360248,0.18708476352280606,0.0010967344715468517,0.017571203968873305,0.16841682508238592
49.97%,0.008943615,1013.2548620700836,507904,504,86.56388236,-0.6117914373986423,0.1874736077067698,0.0025903190400274187,0.017056368425392064,0.16782692024135032
50.79%,0.0053416877,1030.7558617591858,516096,516,88.96288488000002,-0.5934582664631307,0.1786618875064115,0.0015395622561364677,0.015199371093513037,0.161922954156762
51.61%,0.0056117911,1048.7479665279388,524288,524,89.16031124000001,-0.5617464223876596,0.17815037345859192,0.0015251400449494048,0.021882941471403683,0.15474229194223882
52.43%,0.0081692433,1066.4009659290314,532480,532,91.40135396,-0.5373464263509959,0.16429130384835403,0.0012617557532122433,0.012788843305384035,0.15024070478975773
53.25%,0.0060824868,1084.5064268112183,540672,540,91.59865722000002,-0.5104637172771618,0.15942424120620044,0.00032407582906044085,0.012454907091569111,0.1466452582855709
54.07%,0.0066634616,1101.2936799526215,548864,548,88.54601333999999,-0.4795930033084005,0.14684307201042662,-0.0013672034711020569,0.01211747049803762,0.13609280498349108
54.89%,0.0051592327,1117.8666319847107,557056,556,84.79829730000002,-0.45659349819179623,0.14058715400805882,-0.0004604318916372532,0.013715625471422754,0.1273319604282733
55.71%,0.0036886716,1135.7785398960114,565248,564,82.66923155999999,-0.4505299923475832,0.13345933806313964,0.001973834453551867,0.010520653840217165,0.12096484976937064
56.52%,0.0032603422,1154.3931994438171,573440,572,79.31347382,-0.4504274040227756,0.13634206326438203,0.0014231167436005833,0.009621924433747608,0.12529702208703383
57.34%,0.0030101034,1170.245576620102,581632,580,76.8229488,-0.45545956580899655,0.14026202470086369,0.005542641441074147,0.008724023672539261,0.12599535958725028
58.16%,0.0033013405,1187.1130347251892,589824,588,72.31196876000001,-0.4602274763630703,0.1439076094296465,0.0035263284581273993,0.009231839926974317,0.1311494410445448
58.98%,0.0030453867,1204.7508919239044,598016,596,69.1793799,-0.454061059304513,0.14981989886233166,0.004296936392218401,0.009155196365009033,0.13636776610510423
59.8%,0.0022976881,1221.80091547966,606208,604,67.62800406,-0.46051233704201877,0.14276486239821798,0.0022917480097647226,0.00916906591520501,0.13130404847324825
60.62%,0.0033302828,1240.06472158432,614400,612,66.40985728000001,-0.47331467519979925,0.14384471704582086,0.0016562400889402833,0.009612969180534493,0.13257550777634605
61.44%,0.0038523247,1257.966873884201,622592,620,67.38576172,-0.4827318449039012,0.15532310798256824,0.0010280719721922924,0.009764498658410049,0.14453053735196592
62.26%,0.0042664084,1274.3908002376556,630784,628,67.56224774,-0.5027823268435896,0.16305803519752843,0.0027417483937740806,0.009461266387552314,0.15085502041620202
63.08%,0.0050866521,1291.7116286754608,638976,636,67.86518919999999,-0.5121587076224386,0.17118397883519004,0.0022425194649732883,0.009584793240901491,0.15935666612931526
63.9%,0.006032757,1308.5996959209442,647168,644,68.13908282,-0.5125499477144331,0.17490512436803882,0.001170196223430227,0.009429809521884635,0.16430511862272396
64.72%,0.0057524362,1325.303284406662,655360,652,69.22847458,-0.5290670153684914,0.18088721819658565,0.0011953205519379087,0.009015227671466165,0.17067666997318157
65.54%,0.0058650646,1343.8212976455688,663552,660,70.42082022000001,-0.5425035665743053,0.1863683886448004,0.0026557166154449956,0.009907720459591474,0.17380495156976394
66.36%,0.0065956985,1362.009514093399,671744,668,71.25023748,-0.5397977774497121,0.19855773589431985,0.00602282230057035,0.010032686683894098,0.18250222690985538
67.17%,0.0049087524,1380.3273181915283,679936,676,71.00941866,-0.5299599177204073,0.1945150521193983,0.0020729381703477726,0.009974479252537093,0.18246763469651342
67.99%,0.0048604131,1397.8133783340454,688128,688,71.04575946,-0.5266037601046264,0.18772924261256912,0.0046835435489370305,0.010048613010849295,0.17299708605278283
68.81%,0.0056538751,1415.9313271045685,696320,696,70.22815688,-0.530590920522809,0.1957556203058805,0.0028025878944793288,0.013691676436224043,0.17926135597517714
69.63%,0.0066900636,1433.336595773697,704512,704,69.53926915999999,-0.5336410897318273,0.19840237598770133,0.0025075905459070328,0.009894482181277909,0.18600030326051636
70.45%,0.0062132329,1451.1693704128265,712704,712,70.02427456,-0.5289732879493385,0.1989937011641832,0.0010723938997916412,0.010538685288543093,0.18738262197584846
71.27%,0.0062722604,1467.5819222927094,720896,720,69.77019964,-0.5194261955097318,0.19561929730747055,0.0023159649404844765,0.010144938109215218,0.18315839425777086
72.09%,0.0058780885,1484.2231812477112,729088,728,69.31599548,-0.5164886431302875,0.19151603471627832,0.002209373268328913,0.00940100101495318,0.17990566043299622
72.91%,0.0055641918,1501.7915399074554,737280,736,69.1929842,-0.5034052480012179,0.1987153493632227,0.0017435265156414055,0.010595237909319622,0.18637658493826165
