mean_int_reward,total_time,total timesteps,ep_rew_mean,num_episodes,intrinsic_loss,value_loss,entropy_loss,policy_gradient_loss,total_loss
0.0,0.5886383056640625,1024,4.88,202,,,,,
0.0,1.792842149734497,2048,6.02,372,0.02744414852350019,2.8980779219418764,-1.4013402629643679,-0.012663019299623319,2.8991369769040034
0.0,2.9147255420684814,3072,5.78,541,0.0005365489694213466,1.8558707870543003,-1.3699908666312695,-0.01599602906062811,1.840143032478383
0.0,4.048476696014404,4096,6.6,695,0.0001573711506921427,1.0395945403724909,-1.3345480002462864,-0.00303925832056098,1.036633967627276
0.0,5.185856819152832,5120,6.88,838,0.00024683224194177456,1.3776781260967255,-1.305534241721034,-0.011283641420198335,1.366517900797498
0.0,6.269536972045898,6144,8.06,959,0.00031127505587846827,1.2098869029432535,-1.2952870670706034,-0.01983121969551621,1.1902113207756766
0.0,7.33296537399292,7168,9.16,1066,0.0005012600638565345,1.7365165520459414,-1.2752425540238619,-0.008803729303004371,1.7279634527748653
0.08868878,8.482051134109497,8192,12.82,1148,0.0001593962810488847,1.9579247254878283,-1.2439693696796894,-0.00394619906651438,1.954058224561838
0.25323775,9.689423561096191,9216,12.02,1232,16.026877822354436,1.7435821332037449,-1.2108233887702227,-0.015339185851524013,9.74168185852944
0.26824588,10.898071527481079,10240,13.44,1305,34.66303588449955,1.7530677411705256,-1.1909191198647022,-0.019801266491094607,19.064784416929204
0.25724906,11.998520374298096,11264,19.12,1360,36.14314383268356,1.6331505309790373,-1.1575539391487837,-0.021755629885635744,19.682966817435183
0.31508344,13.158902168273926,12288,23.56,1400,25.877888962626457,1.6577374339103699,-1.128897249698639,-0.014994887502413817,14.581687027721184
0.18538967,14.391678094863892,13312,28.9,1435,27.653661727905273,1.2479814691469073,-1.0939996484667063,-0.0035590017340816787,15.071253331365462
0.13430144,15.638108730316162,14336,34.74,1461,4.279490854591131,1.0929482951760292,-1.0575289409607649,-0.017905610396606465,3.2147881120749884
