total timesteps,mean_int_reward,num_episodes,ep_rew_mean,total_time,intrinsic_loss,entropy_loss,policy_gradient_loss,value_loss,total_loss
1024,0.0,86,12.64,0.5103282928466797,,,,,
2048,0.0,159,14.8,1.775827169418335,0.14485384931322187,-1.4090454690158367,-0.009371255131855704,2.362574150785804,2.425629820310559
3072,0.0,221,15.24,2.9500949382781982,0.00343482492644398,-1.385702382773161,-0.021000115078443893,0.8221394442953169,0.802856741680095
4096,0.0,268,22.08,4.085028648376465,0.000637021463489873,-1.3587874602526426,-0.004369349330690793,0.8968121120706201,0.8927612734716742
5120,0.0,311,23.46,5.190872669219971,0.00017097661174148016,-1.340780297294259,-0.0006680947575900221,0.8672265214845538,0.8666439150328346
6144,0.0,344,27.26,6.429288148880005,0.00048271657749410224,-1.3293171040713787,-0.011444970544704258,0.9639635849744081,0.952759972718451
7168,0.0,377,32.0,7.4627604484558105,0.001019888660948709,-1.3262063432484865,-0.008410348747728447,1.0044019408524036,0.9965015364351495
8192,0.13152447,399,37.42,8.551736831665039,0.00041406649916098104,-1.310973484069109,0.012384450395802936,1.0791509412229061,1.0917424248682894
9216,0.56541955,414,44.16,9.756998062133789,31.485424283891916,-1.2779971808195114,-0.006865098747833154,1.2302884357050061,16.966135478903134
10240,0.467356,431,58.9,10.946268320083618,145.59016704559326,-1.2434120625257492,-0.010093924766519866,0.8998614102602005,73.68485100829031
11264,0.49172077,447,64.1,12.142611742019653,91.16281688213348,-1.2022684570401907,-0.003587988665758033,0.8462589718401432,46.42407942424113
12288,0.33619648,467,58.96,13.311808347702026,73.60474193096161,-1.1710952874273062,-0.004727627283240338,0.5215648980811238,37.31920823627868
13312,0.21486646,490,49.66,14.440827369689941,36.340015292167664,-1.149043969810009,-0.0014199598339005907,0.7311659976840019,18.899753683933934
14336,0.12123006,510,48.6,15.657326221466064,17.00348448753357,-1.122074380517006,-0.0032393968828710647,0.5738784321583807,9.072381279042295
15360,0.073615655,531,47.98,16.836858987808228,4.839092589914799,-1.090628745034337,-0.001755524687206918,0.4404508250299841,2.8582415953001763
16384,0.038736068,552,48.34,17.991624116897583,2.4366561211645603,-1.0584300458431244,-0.006654420546948628,0.42626871331594884,1.6379423533512805
17408,0.013087452,570,50.14,19.15645670890808,2.2645900938659906,-1.0173166282474995,0.004112876436769261,0.3602351405424997,1.4966430639122645
18432,0.0064127427,588,54.26,20.36139965057373,1.7327329646795988,-0.9922292837873101,-0.006095172278920904,0.17445487779332325,1.0347261878542016
19456,0.0020972579,605,58.22,21.52979302406311,1.3862897399812937,-0.9773088535293937,-0.004878773716553931,0.16598489932948723,0.8542509956035802
20480,0.00079963775,620,60.18,22.74039387702942,1.0706344582140446,-0.965606426820159,0.0025992485143720625,0.34929047198966146,0.8872069496110557
21504,0.00020303926,634,63.68,23.876174211502075,0.6350630247034132,-0.9529465772211552,-0.0031329971442221015,0.22178807435557246,0.5361865895630571
22528,5.1173964e-05,648,68.6,25.005255937576294,0.38371886778622866,-0.9409071849659085,-0.0009082137591663218,0.13865111768245697,0.32960233781640497
23552,7.607502e-06,663,71.36,26.20114016532898,0.22653268603608012,-0.9394690310582519,0.00046024847897629576,0.2337139407172799,0.34744053221429627
24576,2.475961e-07,675,74.78,27.37412714958191,0.15299221558962017,-0.9474236061796546,-0.0008776696978678707,0.17745558393653482,0.25307402203347706
25600,1.4338521e-09,687,78.66,28.585601568222046,0.10211664682719857,-0.9410475259646773,-0.0005990423100702411,0.3472170806489885,0.3976763617525175
26624,4.165738e-10,699,79.74,29.74592399597168,0.05695118341827765,-0.9330094717442989,0.0004703837947690832,0.27782221557572484,0.3067681910796327
27648,1.2448303e-10,711,84.68,30.870887279510498,0.02946011393214576,-0.9321907069534063,-0.00041552784060267976,0.347510150866583,0.3618246799920532
28672,1.3753627e-12,723,84.48,32.07019853591919,0.014418792234209832,-0.9263374879956245,0.001952761070752069,0.20213020883966237,0.21129236602751936
29696,2.65873e-14,734,86.74,33.25109505653381,0.010029149518231861,-0.905894560739398,-0.005024317478127162,0.47581261512823403,0.4758028724092228
30720,1.2407148e-14,744,92.2,34.49075984954834,0.004629118773664231,-0.8771774461492896,-0.004143478284334113,0.311161499703303,0.30933258080580095
31744,1.559708e-14,751,99.54,35.616615772247314,0.0027959590934187872,-0.8649315256625414,-0.001193794196228875,0.23068220145069063,0.23088638680117113
32768,1.5029746e-14,759,104.22,36.75636339187622,0.0022254207215155475,-0.8762934934347868,0.015473597360251796,0.7819897595327348,0.7985760672537443
33792,1.1365664e-14,774,100.7,37.92580246925354,0.0022733964156032016,-0.8862944841384888,0.020859892424569607,2.275873222388327,2.2978698130206983
34816,2.9054763e-15,790,90.04,39.000088930130005,0.0017419735954717908,-0.8975289985537529,0.01952239279155355,11.21462344378233,11.23501682337162
35840,7.203946e-15,809,64.72,40.160428524017334,0.0013486279865446704,-0.8984880801290274,0.012690713406037793,8.56232725083828,8.57569227823759
36864,7.774207e-15,828,56.26,41.34530186653137,0.000632995853607099,-0.9000817527994514,0.0011702553325643723,4.959086876362562,4.96057362962193
37888,2.5810729e-15,847,54.34,42.61557340621948,0.0004972588719738269,-0.8874428737908602,-0.001404710729355489,3.9756651036441326,3.974509022350764
38912,4.2479515e-15,863,55.36,43.86677861213684,0.00035361725088023377,-0.8754726471379399,0.005216086404177129,2.720525497570634,2.725918392600251
39936,1.1765862e-14,879,60.68,44.94104814529419,0.00021272536548622156,-0.8697290821000934,-0.0009321747416734254,1.909095723181963,1.9082699111230326
40960,4.860797e-15,894,64.14,46.14629793167114,0.00023217705802380806,-0.8764951331540942,-0.0024966816193089103,1.1060903426259756,1.1037097495356787
41984,2.4523078e-14,909,67.6,47.3370087146759,0.00015078051865202724,-0.8755967058241367,-0.0009423901856667427,0.9014056953601539,0.9005386954338133
43008,2.1419993e-14,923,70.34,48.55739974975586,0.00035672728176905366,-0.8818590119481087,-0.0031315943312995634,1.1814992628060281,1.1785460321156132
44032,2.7240996e-14,937,70.74,49.68210434913635,0.00037833032956768875,-0.886600274592638,-0.00382120620970693,0.9369167974218726,0.9332847563769495
45056,2.3519398e-14,948,75.4,50.928696155548096,0.00031887823865872633,-0.8895850088447332,-0.007279192838458707,1.1090535027906299,1.1019337490715004
46080,2.6262118e-14,964,75.9,52.12750697135925,0.00031631808337806433,-0.8879697946831584,-0.009832507803355593,1.0010013142600656,0.9913269654983989
47104,2.5750833e-14,975,75.6,53.31364035606384,0.00031982100699678995,-0.8694694777950644,-0.0037941141598022087,1.2067325180396438,1.20309831438334
48128,2.5399672e-14,990,77.88,54.44739484786987,0.00033770785489650734,-0.8520881086587906,0.00010633954883124884,0.78242650302127,0.7827016964975496
49152,2.4115823e-14,1005,70.66,55.61563777923584,0.00036805620970881137,-0.8517464883625507,0.0039932969678660845,0.6895826552063227,0.6937599802790431
50176,2.2297871e-14,1019,71.96,56.828622341156006,0.00027399264081395813,-0.8502107160165906,-0.0003277721127432335,0.7036435902118683,0.703452814419532
51200,3.327811e-14,1034,69.06,57.99831414222717,0.000213709554259367,-0.8467636751011014,-0.0011116313027396965,0.278945887228474,0.277941110702864
52224,3.2487193e-14,1051,65.94,59.128851890563965,0.00022946740091356332,-0.842968144454062,-0.0005018955678922677,0.834072798024863,0.8336856361574275
53248,2.4657305e-14,1065,66.74,60.344135761260986,0.00016547126278965152,-0.8394828056916595,0.002845991823971014,0.7834659777581692,0.786394705213535
54272,2.878256e-14,1077,73.34,61.477651596069336,0.00012201065101180575,-0.8392599653452635,0.002286375306913444,0.502091156784445,0.5044385374168645
55296,2.7740673e-14,1091,75.12,62.545161962509155,0.00013487124545008555,-0.8360758302733302,0.004132304423126504,0.4511420705821365,0.45534181062798806
56320,2.1466756e-14,1100,84.34,63.67363715171814,0.0002266383647793191,-0.825320209376514,0.0013638909324731221,0.4815322244539857,0.4830094345688485
57344,2.1590063e-14,1111,85.82,64.82163405418396,0.0001684604291085634,-0.8227398665621877,-0.0039729418394171675,0.37758624902926385,0.3736975374044009
58368,2.7841997e-14,1121,89.2,66.02652430534363,0.00014020952392002073,-0.8244911609217525,0.0038287368330897848,0.5751551194116473,0.5790539610066971
59392,2.6817881e-14,1133,93.36,67.11129951477051,0.00013544553405608895,-0.8203751938417554,0.0028410880666082175,0.3539955513551831,0.3569043621888194
60416,2.7895167e-14,1143,98.88,68.2370855808258,0.00012724505006644904,-0.8289303919300437,0.00016727744267602622,0.4578343559987843,0.45806525596649356
61440,2.1873759e-14,1155,95.34,69.38520693778992,0.00010878980259576565,-0.8336650002747774,-0.0018934084050071104,0.38244671025313437,0.38060769674942513
