mean_int_reward,Progress,num_episodes,total_time,ep_rew_mean,total timesteps,total_loss,policy_gradient_loss,value_loss,icm_loss,entropy_loss
0.014374938,36.86%,3311,746.2866926,1130.986868,376832,0.273893844,-0.000646229,0.017283289,0.272230138,-0.803845352
0.01533388,37.68%,3329,762.946476,1241.107006,385024,0.263977011,-0.000963998,0.012501902,0.262823221,-0.79039112
0.014541631,38.50%,3348,779.6738083,1308.224334,393216,0.26564094,0.000331146,0.024640272,0.263143799,-0.787339143
0.014021369,39.32%,3364,796.2602901,1407.243749,401408,0.269371293,-0.000613624,0.039956862,0.265436969,-0.782182355
0.012772985,40.14%,3380,812.9690149,1418.942266,409600,0.261067065,-0.00040339,0.007570784,0.260350326,-0.762226851
0.013130997,40.96%,3395,829.0408614,1536.497312,417792,0.251890082,0.00027796,0.025126563,0.249349629,-0.748597931
0.013221317,41.78%,3412,845.8452053,1531.73455,425984,0.248774438,0.000273799,0.021806008,0.246566458,-0.733210042
0.012935835,42.60%,3425,862.5542929,1579.92261,434176,0.247459293,3.66E-05,0.034010188,0.244054616,-0.711390566
0.013318086,43.42%,3435,879.3213589,1704.97296,442368,0.235221744,0.000551846,0.025873526,0.232579207,-0.69194616
0.012113009,44.24%,3444,896.0324867,1863.217184,450560,0.233875681,0.000192604,0.036497078,0.230206712,-0.676492663
0.011081437,45.06%,3453,912.3062367,2072.277765,458752,0.227047566,0.000751586,0.05407638,0.221564769,-0.659503945
0.010605296,45.88%,3462,929.1286187,2192.573239,466944,0.217559232,-0.00078991,0.057378855,0.211900337,-0.643880499
0.009881297,46.69%,3473,945.9835057,2365.598625,475136,0.211641973,0.001198955,0.043048157,0.207217262,-0.629010021
0.00928379,47.51%,3482,962.6809666,2389.149098,483328,0.209514997,0.002072439,0.056833229,0.20362443,-0.613505305
0.009182411,48.33%,3493,979.8290751,2395.620198,491520,0.203289651,0.000498591,0.047518792,0.198487913,-0.597018242
0.010290714,49.15%,3502,996.7180855,2349.284131,499712,0.19415569,0.000907546,0.044699888,0.189594946,-0.602850192
0.009240831,49.97%,3511,1013.514368,2381.799677,507904,0.201776617,0.000324863,0.039316668,0.197812464,-0.604487182
0.008830183,50.79%,3523,1030.15617,2400.946916,516096,0.191721698,0.000257986,0.031301536,0.188565746,-0.602107492
0.008677979,51.61%,3535,1046.94246,2299.642854,524288,0.194033877,0.000595491,0.033277183,0.190646609,-0.613971987
0.008540253,52.43%,3550,1063.441124,2172.713573,532480,0.197797287,0.000587771,0.020974691,0.195641041,-0.613541572
0.008329001,53.25%,3561,1081.860498,2038.865853,540672,0.188994376,0.001781349,0.013134524,0.187502788,-0.597091725
0.008403306,54.07%,3573,1099.048757,1953.280569,548864,0.181717865,0.000211329,0.018984279,0.179798304,-0.59010908
0.008206101,54.89%,3582,1115.806658,2056.049595,557056,0.182940197,0.000868627,0.025868912,0.180266443,-0.587866286
0.008374403,55.71%,3597,1133.092166,2103.186349,565248,0.183304745,-7.29E-05,0.036990406,0.17961299,-0.58437035
0.007766144,56.52%,3610,1149.648473,2051.016963,573440,0.185560645,0.000615208,0.02573009,0.182926115,-0.570629978
0.007850204,57.34%,3624,1166.176759,2045.370589,581632,0.177983656,0.000936369,0.015113556,0.176378663,-0.548017253
0.007378765,58.16%,3636,1182.695081,1854.506808,589824,0.172314158,0.000385262,0.034518453,0.168823787,-0.537780353
0.007288481,58.98%,3649,1199.799738,1893.849749,598016,0.168183559,0.001793565,0.011261573,0.166878045,-0.539594783
0.00715089,59.80%,3663,1216.728318,1909.414549,606208,0.173780218,0.000184642,0.024417046,0.171320049,-0.547115532
0.006846853,60.62%,3682,1233.85944,1720.74136,614400,0.175090588,0.003538799,0.019519663,0.172784742,-0.547201442
0.006847472,61.44%,3703,1250.941598,1464.095538,622592,0.172906724,0.000297103,0.013220406,0.171554973,-0.538546281
0.006878522,62.26%,3719,1263.919866,1396.332855,630784,0.174241681,0.001795582,0.00777746,0.173284377,-0.531343753
0.006861455,63.08%,3735,1280.608097,1495.213332,638976,0.174167104,-8.89E-05,0.005933612,0.173582631,-0.523661781
0.006655898,63.90%,3749,1297.296329,1632.949611,647168,0.169416052,0.000681048,0.011831674,0.16816478,-0.514111536
0.006504447,64.72%,3758,1313.98456,1868.01584,655360,0.164511244,0.000152572,0.011888344,0.163307152,-0.491593457
0.006215941,65.54%,3771,1330.672791,1990.07136,663552,0.1519402,-2.46E-05,0.009891116,0.150953545,-0.479851663
0.006646055,66.36%,3789,1347.361023,1929.41655,671744,0.151645594,-0.000110814,0.034478839,0.148208792,-0.488896147
0.006686588,67.17%,3801,1364.049254,1929.709556,679936,0.157666892,0.000758256,0.014347044,0.156156362,-0.49221918
0.006251999,67.99%,3813,1380.737485,1844.312041,688128,0.154039121,-5.89E-05,0.022671768,0.151777836,-0.484631334
0.006415725,68.81%,3833,1397.425717,1670.990693,696320,0.152783603,-0.000418119,0.022850388,0.150540376,-0.486333219
0.006445193,69.63%,3848,1414.113948,1729.365358,704512,0.154191697,0.00020555,0.020003071,0.152170835,-0.483383158
0.00667023,70.45%,3862,1430.802179,1504.685167,712704,0.158285369,0.001141822,0.017768667,0.15639432,-0.4736618
0.00616222,71.27%,3875,1447.490411,1651.073414,720896,0.154291398,0.000631483,0.012264851,0.153001765,-0.472841045
0.005963384,72.09%,3890,1464.178642,1839.429524,729088,0.156161891,0.000958187,0.021830698,0.153883003,-0.458394781
0.006257478,72.91%,3905,1480.866873,1803.187828,737280,0.152293868,0.000335876,0.023877522,0.149872528,-0.457456091
0.006132789,73.73%,3923,1497.555104,1720.752042,745472,0.155562854,0.000755526,0.011003783,0.154386923,-0.449453609
0.006438493,74.55%,3948,1514.243336,1263.450451,753664,0.149541117,0.002549941,0.012574885,0.148028635,-0.438263989
0.006744672,75.37%,3964,1530.931567,1372.605611,761856,0.154414707,-0.000211707,0.015918222,0.152844056,-0.42875909
0.007113232,76.19%,3976,1547.619798,1478.54316,770048,0.14733717,0.000208533,0.03082753,0.144233564,-0.430817517
0.007013106,77.00%,3992,1564.30803,1644.444036,778240,0.154587201,0.000650945,0.023597999,0.152162306,-0.432102237
0.006397413,77.82%,4009,1580.996261,1721.870274,786432,0.154856509,0.000772345,0.017621985,0.153017076,-0.431049604
0.006529839,78.64%,4026,1597.684492,1603.227891,794624,0.154057014,0.001071872,0.017574115,0.152192415,-0.442592802
0.006167873,79.46%,4047,1614.372724,1481.159051,802816,0.157137838,0.001026086,0.011706128,0.155864617,-0.443604084
0.007230085,80.28%,4067,1631.060955,1411.934422,811008,0.160587393,-0.000230232,0.005835843,0.160026832,-0.445590314
0.006575718,81.10%,4083,1647.749186,1463.925808,819200,0.166607445,0.000722331,0.00729085,0.165806126,-0.434756473
0.006776852,81.92%,4098,1664.437418,1543.106437,827392,0.158618693,0.000359322,0.008145256,0.157768235,-0.420936004
0.0065399,82.74%,4120,1681.125649,1503.113602,835584,0.159678458,0.000870252,0.005612496,0.159030183,-0.424079844
0.007324463,83.56%,4133,1697.81388,1593.441298,843776,0.1613873,0.001915977,0.006890843,0.160506618,-0.423210888
0.007407397,84.38%,4144,1714.502112,1785.738139,851968,0.161158035,0.000508214,0.017132694,0.159393944,-0.431812537
0.007287241,85.20%,4158,1731.190343,1821.108731,860160,0.164228097,0.000964027,0.036709171,0.160460777,-0.429986799
0.007029465,86.02%,4173,1747.878574,1929.009113,868352,0.160646146,-0.000383613,0.023667368,0.158317771,-0.406107043
0.00793873,86.84%,4188,1764.566805,1786.878409,876544,0.156595796,0.007512508,0.028338621,0.153010683,-0.40642644
0.00761583,87.65%,4201,1781.255037,1782.123233,884736,0.166044331,0.00755421,0.050130563,0.160275853,-0.408137525
0.007548353,88.47%,4212,1797.943268,1853.73189,892928,0.159715243,3.41E-05,0.024057092,0.157306122,-0.398889758
0.006967863,89.29%,4224,1814.631499,1974.576529,901120,0.156594989,0.001258942,0.043188298,0.152150265,-0.405454888
0.006814551,90.11%,4237,1831.319731,2087.119997,909312,0.16096778,9.52E-05,0.03749615,0.157208644,-0.416286886
0.006682555,90.93%,4250,1848.007962,2154.012367,917504,0.160130882,0.002046804,0.029566596,0.156969542,-0.42177755
0.006701236,91.75%,4265,1864.696193,1961.097167,925696,0.160707195,0.001670732,0.023009699,0.158239151,-0.430365615
0.006877851,92.57%,4276,1881.384425,2067.751503,933888,0.16186191,0.000842084,0.011393094,0.160638392,-0.429388948
0.007362455,93.39%,4292,1898.072656,1927.783294,942080,0.158702817,0.00202291,0.031485957,0.155351931,-0.42886964
0.007133197,94.21%,4306,1914.760887,1952.666525,950272,0.157561425,0.003357279,0.016749149,0.155550783,-0.439719429
0.007362623,95.03%,4322,1931.449119,1785.132621,958464,0.162390747,0.001070773,0.004468374,0.161836832,-0.440174372
0.006952113,95.85%,4339,1948.13735,1653.385368,966656,0.160812025,0.000949573,0.006139518,0.160103116,-0.432830905
0.00666741,96.67%,4354,1964.825581,1707.573506,974848,0.157858057,0.002169192,0.009532049,0.156687932,-0.42349897
0.006330117,97.48%,4376,1981.513813,1535.483025,983040,0.15826342,0.001049252,0.01070325,0.15708817,-0.417935082
0.006774352,98.30%,4394,1998.202044,1390.57196,991232,0.155458144,4.43E-05,0.007014913,0.15475222,-0.412772471
0.006255082,99.12%,4412,2014.890275,1355.817179,999424,0.154444352,-0.000474548,0.014398155,0.153051991,-0.411807603
0.006161479,99.94%,4429,2031.578506,1534.242841,1007616,0.152335898,0.00116341,0.006122935,0.151607263,-0.398773823
