total timesteps,ep_rew_mean,Progress,total_time,num_episodes,mean_int_reward,policy_gradient_loss,value_loss,icm_loss,entropy_loss,total_loss
212992,447.6746876,20.48%,407.14485788345337,3797,0.013293589,-0.001707374632585901,0.07179852234476129,0.35242944600759074,-0.9623964195139706,0.3594385607788083
221184,463.6002419999999,21.3%,422.9940664768219,3845,0.0125823402,-0.0009772427236790359,0.06895609912171494,0.3358253336860798,-0.9477653100620955,0.3426232193258834
229376,455.13928936,22.12%,439.09158515930176,3896,0.011798269,-0.0009187353680096905,0.0641979280153464,0.3268902159295976,-0.9290444910526275,0.3332181351943313
237568,481.76864276,22.94%,454.83959197998047,3945,0.0117802109,-0.0005562959985164402,0.08310402782808524,0.3203733183676377,-0.9135672382544726,0.3286280915505945
245760,529.9859249,23.76%,470.43275785446167,3990,0.0114957154,-9.854736196381097e-05,0.08044913578414707,0.31251326740020885,-0.8897392123937606,0.32054832624242724
253952,551.98105074,24.58%,486.4978873729706,4033,0.010932775,1.689413226654006e-05,0.054261388308077585,0.3005221902159974,-0.8698722549714148,0.3059500184600318
262144,537.4847476199999,25.4%,502.7112965583801,4077,0.0110433677,-0.0009355025343978415,0.03854639841883909,0.29247543760575356,-0.8502483248244971,0.2962365271941977
270336,616.53179334,26.21%,518.7870893478394,4115,0.01129197,-0.0011874934506996165,0.06229309244517935,0.2835652393521741,-0.8331404251977801,0.289675799251622
278528,628.86198326,27.03%,534.8421595096588,4153,0.0116223022,-0.0006069636166190235,0.03099707911896985,0.28561921380460265,-0.8198329629842191,0.2886582253548377
286720,604.56780216,27.85%,551.0616610050201,4193,0.0125810788,-0.0008285658487289502,0.03861162766697816,0.27188002039911224,-0.7978793883230537,0.2756583265809372
294912,622.47529876,28.67%,567.3214848041534,4230,0.0110667575,-0.0002690771912735954,0.05712647569234832,0.2652106527239084,-0.7748547442723066,0.2708963925740159
303104,656.14985318,29.49%,583.5583424568176,4266,0.0107519839,-0.0008094575949695192,0.04161952721042326,0.2561311602825299,-0.7502146086655557,0.26021216724407525
311296,723.6845483000001,30.31%,599.456699848175,4299,0.0094395798,0.0007380155148580071,0.04319924400624586,0.23825790541013703,-0.7302073645871132,0.2426516313622474
319488,794.9715796400001,31.13%,615.5527782440186,4328,0.0095720847,-9.439245488195337e-05,0.030895076999877348,0.22816287049790845,-0.7132562065962702,0.23124293895240794
327680,775.6126883399999,31.95%,631.28364610672,4361,0.0098286414,-0.0005317999000506269,0.02630689999077731,0.23087020306847988,-0.7000453897286206,0.23344771307755258
335872,806.23613032,32.77%,647.2424676418304,4391,0.0087949148,-0.0011033527270238965,0.04294446780877479,0.22771335194120185,-0.6941010786686093,0.2318974634493769
344064,837.3683064,33.59%,663.1966698169708,4420,0.0082152843,0.000687405489374204,0.02236121488367644,0.22110459263203666,-0.6835898257791996,0.22340945466934176
352256,811.9470037199999,34.41%,679.5584397315979,4451,0.0085727291,-0.0003876908310682189,0.016003827021722827,0.21228743969695643,-0.6799564991611987,0.21384905331602191
360448,813.29268426,35.23%,695.0918841362,4484,0.0084611021,-0.00014186826079278124,0.016763024229567235,0.21756770873907955,-0.6725638187490404,0.21922982433595695
368640,788.27034226,36.04%,710.5146284103394,4515,0.0087161836,0.0005581175199382798,0.019335026945555,0.2103073490317911,-0.6658081615809351,0.21229666347834045
376832,821.27396494,36.86%,726.1204023361206,4546,0.0081689754,0.00014201793651509166,0.017054414496124083,0.21585645702434703,-0.6708575922064484,0.21757610026761096
385024,810.5954654200001,37.68%,742.3607060909271,4577,0.0089862261,-0.0004819412137753408,0.015880106041822727,0.22136935692979023,-0.671634647808969,0.22290917341259497
