ep_rew_mean,Progress,mean_int_reward,num_episodes,total_time,total timesteps,total_loss,entropy_loss,value_loss,policy_gradient_loss,icm_loss
11.645455559999998,0.0%,2.1282101265,454,3.4152019023895264,8192,,,,,
14.303680379999998,0.82%,0.1824012126,813,19.45168423652649,16384,1.7017788153293765,-1.4145852621644734,7.305752043426037,-0.008293633010947066,0.9720329742878675
22.34883014,1.64%,0.1263704522,1078,35.48385810852051,24576,0.9971938473355821,-1.3946650499477982,1.4352766783908009,-0.005226239006168893,0.854188803397119
40.18306944,2.46%,0.0925165504,1275,51.77871656417847,32768,0.9007570273491059,-1.378145844489336,1.068473711470142,-0.006767621807316627,0.7945864183828235
54.21472578000001,3.28%,0.0631552292,1442,67.82311749458313,40960,0.8436856004843543,-1.3603926917538047,0.7137524450896308,-0.008823958047610856,0.7731927517801523
65.56157081999999,4.1%,0.0520106288,1640,83.65902590751648,49152,0.7928088954790793,-1.3311959590762854,0.5587022700114176,-0.007380887236148796,0.7376767572015523
60.84003054000001,4.92%,0.0319287312,1844,99.50428748130798,57344,0.7271044683258611,-1.3036088376305996,0.4670382478972897,-0.005834592587684878,0.6809841027949005
68.33147324,5.73%,0.0207106639,2030,115.78288388252258,65536,0.6808684644969649,-1.2766318880952894,0.381377760739997,-0.005447744829110743,0.6432754629058763
74.41178292,6.55%,0.0178078176,2198,131.7279396057129,73728,0.639197045503036,-1.2536419904790819,0.2635504351696,-0.004769880218981579,0.6133189900079742
85.89306076000001,7.37%,0.015004144,2330,147.8337118625641,81920,0.6054249133308311,-1.2323630585335195,0.22448963937931693,-0.00506294123582946,0.5834822435164824
170.53810942000004,8.19%,0.0107314695,2383,164.3719778060913,90112,0.5804215050389442,-1.210255528986454,0.2179516363714356,-0.005986472347600681,0.5592249886365608
307.95074346,9.01%,0.007175663,2398,180.3643035888672,98304,0.5467728103996281,-1.185479635372758,0.1527678362384904,-0.005772550925818519,0.5320732818683609
433.014594,9.83%,0.0048667901,2408,196.41311287879944,106496,0.5177858608161572,-1.1526061967015266,0.07868433579060366,-0.004293837249766261,0.5103468109620735
567.4681499,10.65%,0.0041620605,2416,212.62179708480835,114688,0.47760367928622394,-1.135673123691231,0.07586280036630341,-0.0011280865222686363,0.47013020790182053
695.9965015799999,11.47%,0.00515419,2425,228.61187529563904,122880,0.4592158864280832,-1.1293769584968687,0.06790316741899005,-0.00029857415629050015,0.45245542710181325
824.2035176600001,12.29%,0.0045716752,2433,245.06862497329712,131072,0.4633691861337013,-1.126709023118019,0.06562914696269218,-0.0008614844841189657,0.456892419885844
885.7747144599999,13.11%,0.0046481476,2441,260.8961892127991,139264,0.46383924407104704,-1.1213352023623884,0.05827172461686132,-0.0006723943273184884,0.45807931104209276
953.7462939399999,13.93%,0.0048427119,2451,276.9465115070343,147456,0.4492999269805173,-1.1069897854700685,0.054991932742268546,-0.00041301662725824284,0.44384203536901623
953.33091884,14.75%,0.0052420707,2459,293.1555459499359,155648,0.44421491913544814,-1.1080181013792754,0.057898448531341275,-0.0009990998336363488,0.43852498426567765
954.6311825600001,15.56%,0.0049311977,2468,309.5288724899292,163840,0.4556522443228085,-1.1141705553047359,0.05097721065087626,-0.0005902027320528961,0.4506135435309261
936.2630296,16.38%,0.0051942479,2478,326.26113867759705,172032,0.44217267477375816,-1.1167871843092143,0.04875740039169614,-0.0005778774476972821,0.4373547224793583
868.5620249000001,17.2%,0.0068039119,2490,342.57893538475037,180224,0.45181311874726726,-1.1225157635286451,0.04892593018066691,-0.0005074617964151409,0.446971271908842
865.6691538800001,18.02%,0.0052658436,2500,358.5908353328705,188416,0.45601540101564686,-1.1228998108766972,0.04360849547501857,-0.0017035991297302878,0.451824911381118
866.1730938799999,18.84%,0.0038202613,2508,374.7572386264801,196608,0.4594002238881657,-1.1139792430214583,0.041208278523754416,-0.0017645437821018615,0.45545585041400044
885.4591778999999,19.66%,0.0035313112,2516,392.4846045970917,204800,0.4425182569386813,-1.1091879904270172,0.040829686508641314,-0.0005199354875215107,0.4384872818365693
847.9198037799998,20.48%,0.0054021932,2527,409.25320959091187,212992,0.43802392955923974,-1.1032062510028482,0.041460383044409355,-0.0010384065173442082,0.4339817319065332
870.9503274999998,21.3%,0.0042269168,2535,425.5695905685425,221184,0.43691984209092516,-1.0955717225559056,0.047607335125667304,-0.0012036871338213567,0.4322794772917405
937.5880416799998,22.12%,0.0056039795,2544,441.5541648864746,229376,0.43438681550228386,-1.0951602074317635,0.03877985417539094,-0.0004681040225558007,0.43055564048700035
935.7317425199998,22.94%,0.0040523998,2554,457.6269202232361,237568,0.4361052212587121,-1.0809279004111887,0.040540189304192606,-0.0014130298572199332,0.4321925053140149
920.45563696,23.76%,0.0038996572,2563,473.56153416633606,245760,0.41155540461320717,-1.0711382902227342,0.048080525965178825,-0.0012814827582788648,0.40687550029251723
902.2347500799999,24.58%,0.003820298,2573,489.7623953819275,253952,0.4096110064024369,-1.0608876856043934,0.042081285579706675,-0.00036191533723505003,0.40543906937818974
940.7310354200001,25.4%,0.0032005654,2581,505.61210584640503,262144,0.40646675364065105,-1.0530046126805246,0.04852666424581002,-0.0006585509844300794,0.40167994231451304
947.2696332,26.21%,0.0037364764,2589,521.5853018760681,270336,0.39493294596384104,-1.0552873223088681,0.04166690246083817,-0.0007084687516550894,0.39083710259292276
948.2894786400002,27.03%,0.0038178867,2597,537.7590024471283,278528,0.4033169156820726,-1.0548259138129652,0.043106299573582876,-0.0006576881602410975,0.39907205454073846
