Progress,mean_int_reward,total_time,total timesteps,num_episodes,ep_rew_mean,entropy_loss,total_loss,policy_gradient_loss,value_loss,icm_loss
19.66%,0.0146969804,438.56757164001465,204800,2489,681.45447558,-1.0084532500244676,0.3887667797742488,-0.0017493128905885307,0.06442075913582812,0.3824996351497248
20.48%,0.0143153584,456.5288071632385,212992,2517,735.4216339,-0.9888902613893151,0.3750405488883503,-0.0017978597411044954,0.04735489382510423,0.3704848454799503
21.3%,0.0141829975,474.67757868766785,221184,2549,740.3162797599999,-0.9823113967198879,0.35478246867481067,-0.0010481112477570623,0.05037930190010229,0.34984934960957614
22.12%,0.0132962409,492.4395694732666,229376,2576,771.0562389200002,-0.9671033944003284,0.3604320772330759,-0.0013639972473880018,0.039693612610790296,0.3565991156967357
22.94%,0.0120676344,511.053644657135,237568,2604,808.6650070000001,-0.961731129232794,0.3486443456964331,-0.00028013222960315484,0.05302892934523697,0.3433694659848697
23.76%,0.0122018171,529.526025056839,245760,2632,849.4606828800001,-0.9462360389530658,0.3439544590170721,-0.0009162850849462072,0.0326124449238705,0.34078484303317963
24.58%,0.0115819768,547.6748316287994,253952,2658,834.3620218000001,-0.9318817501422018,0.33331613064273174,-0.0007185225343362279,0.039730492905800927,0.32941493360558527
25.4%,0.0115531968,563.5916848182678,262144,2682,914.0693136000002,-0.9103675096761435,0.32911578384378287,-0.0011817160421573052,0.0378094261555816,0.32545301283244044
26.21%,0.0115719464,579.6289355754852,270336,2708,967.6772135000001,-0.8887461903505027,0.3100308694262484,-0.0003867231223656978,0.018371888325782494,0.3082323529059067
27.03%,0.0103982233,598.4982120990753,278528,2732,972.71973724,-0.8680789573583751,0.3067866672320017,-0.0012418169257015254,0.01686915922591652,0.3052239330019802
27.85%,0.0101753917,619.4176230430603,286720,2754,1032.2969415599998,-0.8515349122695625,0.287974146750014,-0.00012944305806207964,0.023531257535614712,0.2856339653022587
28.67%,0.0095774601,637.7067794799805,294912,2776,1052.4032745200002,-0.8305896666832269,0.28029899297146776,-0.0018448274388708416,0.025027213422254134,0.27798075437312947
29.49%,0.0091996738,653.7378377914429,303104,2799,1110.22672772,-0.8120406652800739,0.270580635578633,-0.00041893476602631555,0.017440714880467566,0.26887845756718887
30.31%,0.009526368,669.2925324440002,311296,2822,1070.3582691000001,-0.8015447828453034,0.2637626462124019,-0.0011261394792816313,0.014588539982469229,0.26241640616208317
31.13%,0.0093575989,685.3513915538788,319488,2844,1117.09413774,-0.7889744662679732,0.26203754596066153,-8.598910703411346e-05,0.022293593071844954,0.2598167855641805
31.95%,0.009196455,702.4247198104858,327680,2868,1099.34694814,-0.773082668799907,0.2541100745027271,-0.0006993719948321332,0.017988907424478385,0.2523811209597625
32.77%,0.008939765,720.0480706691742,335872,2881,1308.96577806,-0.766243237350136,0.250268803400056,-0.0006657564149709082,0.038156606176016794,0.24651971842395143
33.59%,0.0084786394,736.9315853118896,344064,2898,1438.4199031399999,-0.7552042244002223,0.24591451800637826,-0.0006600763260996591,0.007598350924308761,0.24522069054655732
34.41%,0.0081086027,754.4489493370056,352256,2909,1611.5316481600003,-0.7341264716349543,0.23730820285332427,-0.0004289599539715097,0.03406978020193492,0.23394412082852795
35.23%,0.007487337,772.5536756515503,360448,2919,1857.9946727200002,-0.7181403884198516,0.22847255259343413,-0.0006602773596157541,0.022904861692859414,0.22624809416010977
36.04%,0.0083491389,790.5732922554016,368640,2937,1792.77,-0.7275059996172786,0.22425975916963886,-0.0011221588428870753,0.05474369739076792,0.2188976053148508
36.86%,0.0082059011,808.8556416034698,376832,2963,1383.22570998,-0.734344148915261,0.2318465465132636,0.00023770911932472833,0.024071756344437745,0.22941559996688737
37.68%,0.0078150537,826.7991845607758,385024,2986,1047.1808508,-0.7257302895653993,0.23605320079078354,-0.00045839445766092103,0.03730224488062959,0.23236881574848667
38.5%,0.0073795801,844.8909029960632,393216,3004,1136.62382732,-0.718478274717927,0.22459746860847485,-0.000661443519008875,0.020270374291612825,0.22263657553121446
39.32%,0.007245345,862.9392912387848,401408,3023,1365.90400658,-0.7049628281500191,0.22490512399048185,-0.0004145972165335657,0.01009373434480949,0.22393721027765423
40.14%,0.0073966508,880.1976373195648,409600,3043,1380.36542884,-0.6855363357346504,0.21929399310113423,0.00035207241059651077,0.016530970180610893,0.21760568884201348
40.96%,0.0076081551,898.4681806564331,417792,3062,1316.96243824,-0.6824514915701002,0.21707450014019064,-0.00013932650679135682,0.01763393456740232,0.21532503933412955
41.78%,0.0074925983,915.9621472358704,425984,3087,1221.14351952,-0.6767680273391307,0.2189179233831168,1.1953508259255262e-05,0.029103837315960845,0.21600634430069476
42.6%,0.0076597475,933.8006029129028,434176,3109,1072.4859824,-0.657714868010953,0.22156155979827236,0.0005819345088454211,0.05548077743951581,0.2159552886034362
43.42%,0.0076879188,951.8570003509521,442368,3138,1022.5427470999999,-0.6473799904342741,0.2098036965377319,0.0002725408185462995,0.04309074270822748,0.2054673681850545
44.24%,0.0074094716,968.7714309692383,450560,3163,971.9281093599999,-0.6429881124757231,0.21033673011351092,-0.0003718897694161921,0.053298845246536074,0.20504403456579895
45.06%,0.0067946637,985.1771302223206,458752,3185,1030.1057905999999,-0.6366074065212161,0.210624299496931,3.484409617466209e-05,0.05110552431287942,0.2055102626560256
45.88%,0.0070269846,1001.7000415325165,466944,3207,1138.4254515,-0.6295076801907271,0.20180669716638716,-0.00033743382398234605,0.02583282945506653,0.19925715760327875
46.69%,0.00700054,1018.2314894199371,475136,3236,1074.33515604,-0.6278855312149971,0.2003647268052256,-0.00099937639554712,0.009845344684890733,0.19948012997629122
47.51%,0.0066888325,1034.6132955551147,483328,3259,1018.50427164,-0.6129096783231944,0.19731876378774066,-0.00028817839750629843,0.026548246584752633,0.19469275696901606
48.33%,0.0067318571,1051.3782522678375,491520,3282,1118.5587457400002,-0.5935131668578834,0.1954134622143862,0.0003000087867225892,0.03245495030696475,0.19213796630501748
49.15%,0.0065602482,1068.5216233730316,499712,3300,1304.5555219999999,-0.5781790729146451,0.18608090742484146,0.00017518012275660315,0.011421989788959763,0.18492119043366984
49.97%,0.0066146798,1086.3997240066528,507904,3320,1297.5059018599998,-0.5706736363936216,0.18761855052614126,0.000962020332565609,0.015160873057448043,0.1860062611871399
50.79%,0.0063973617,1102.153680562973,516096,3340,1393.63622802,-0.5555964564904571,0.18370527821103838,0.00016839946676352061,0.0081499472114956,0.1828734435432125
51.61%,0.0061285615,1119.478043794632,524288,3356,1421.12552494,-0.5321001814678311,0.1800793622994139,0.00019323176509370536,0.01170383189887616,0.17888965593301692
52.43%,0.0061746211,1137.5498490333557,532480,3375,1441.8690001000002,-0.521381933381781,0.1802277869944458,0.0008635802036160413,0.018819454471577048,0.1782594835269265
53.25%,0.0060893554,1156.3912234306335,540672,3391,1550.2193486400001,-0.5033421516418457,0.18262715443886132,1.8520668812554552e-05,0.023089339339094295,0.18031636843807064
54.07%,0.0059315798,1174.3656141757965,548864,3407,1541.63764126,-0.4990034975344315,0.17407693223983717,0.0009880780565785152,0.021567341555419263,0.1718213902786374
54.89%,0.0059485484,1192.5395557880402,557056,3419,1678.18386884,-0.4955272185383365,0.17103517461198275,0.001857549958127042,0.015382950874118251,0.16931112452875824
55.71%,0.0056101526,1210.3810632228851,565248,3430,1884.8849815,-0.4884449934354052,0.1629125026538266,0.0006962178469238611,0.024394978814189016,0.1604033829877153
56.52%,0.0054811917,1228.1286354064941,573440,3444,1906.4799843800001,-0.4760369778145105,0.16945686281562108,6.268128125022643e-05,0.015103252477820206,0.16794026943971402
57.34%,0.0051985885,1246.591527223587,581632,3456,2121.4349481199997,-0.46289983461610973,0.1607459639149044,0.0015275702129083702,0.017812460062168613,0.1588119608873967
58.16%,0.0053517002,1264.368381023407,589824,3469,2121.48352526,-0.45816889572888614,0.15906800182502426,0.0010473700660272927,0.027636929206801143,0.15619957189774142
58.98%,0.005203881,1281.7155866622925,598016,3484,2001.5581120000002,-0.44779136513825507,0.16321171082862512,0.0012118048417269437,0.009960582809799234,0.1620944720634725
59.8%,0.0054473282,1298.6745162010193,606208,3494,2204.57903362,-0.4318884663749486,0.1633346434811102,0.0024691632559378967,0.029896096645188663,0.16009811749099753
60.62%,0.0051448573,1316.9862546920776,614400,3507,2088.00906258,-0.42618888090364637,0.1619839150152787,0.0008212404401849811,0.03198184936863981,0.1587036060343962
61.44%,0.0049457084,1333.697670698166,622592,3516,2207.3348750200003,-0.42357860442716627,0.16134574144595865,0.0016676519858411642,0.047021463362580104,0.1564768299111165
62.26%,0.0049404187,1350.7482204437256,630784,3528,2288.02176466,-0.41630859011784194,0.16314710628994175,0.0013008306805927078,0.026939326034062107,0.16032309061847627
63.08%,0.005097357,1367.6487112045288,638976,3545,2069.93092618,-0.40885722523089496,0.15503352642465112,0.0020179093110681582,0.02040845616184015,0.1527908898773603
63.9%,0.0048433383,1385.8441615104675,647168,3560,1994.4853926399999,-0.40252702792640777,0.15988722368690228,0.003000506108595196,0.025622214127088226,0.1570249516633339
