ep_rew_mean,Progress,mean_int_reward,num_episodes,total_time,total timesteps,total_loss,entropy_loss,value_loss,policy_gradient_loss,icm_loss
16.69260946,0.0%,1.8139582856,523,3.4138104915618896,8192,,,,,
19.86325426,0.82%,0.2233270605,923,19.31976628303528,16384,1.7978581797082274,-1.4086773014627396,7.869324466958642,-0.008063415594104246,1.0117320745717735
36.64752492,1.64%,0.125064074,1220,35.57104182243347,24576,0.9480202799338346,-1.3955547181889414,1.0487226609839126,-0.007826727091835576,0.843930686544627
60.68983846000001,2.46%,0.0770596281,1446,51.64696502685547,32768,0.8543183239968221,-1.3830596609041095,0.653671259409748,-0.008837326919002169,0.7898349307477475
72.5922751,3.28%,0.068885617,1627,67.43889832496643,40960,0.826531297314863,-1.3695463071577252,0.43474656632170083,-0.007791351881369557,0.7838357758708299
81.57260306,4.1%,0.0421869691,1799,83.68209433555603,49152,0.7837974242021823,-1.3572017040103674,0.4428366291569546,-0.0057348721488102395,0.7400872485013679
105.5114287,4.92%,0.0345199885,1936,99.65627241134644,57344,0.7637439485555717,-1.3515592789277435,0.36268763619009403,-0.005609915233014046,0.7280361764598637
133.35918904,5.73%,0.0291259559,2054,115.44653034210205,65536,0.7453170502116292,-1.3363630384206773,0.2828080583130941,-0.005749640846305684,0.7176112084649503
148.69897916,6.55%,0.0250406661,2157,131.6156508922577,73728,0.7153069599038664,-1.327576551400125,0.25277495189220645,-0.004969579107618966,0.6905264226254075
185.62694452000002,7.37%,0.0217528337,2245,147.71426272392273,81920,0.7131179173935511,-1.313351474609226,0.24021405418170616,-0.004538192129853498,0.6895503311883658
192.06157375999996,8.19%,0.0210925681,2330,164.4384491443634,90112,0.6800254654250195,-1.2955120343714952,0.14327801420004108,-0.003811195899877557,0.6660787835950032
189.42930482,9.01%,0.0183611217,2414,182.40783429145813,98304,0.6534555246753371,-1.2807865471579134,0.11643448256218107,-0.002950468570997429,0.6421071232762188
196.59897883999994,9.83%,0.0160862972,2498,199.0033712387085,106496,0.6256168056149416,-1.263154289405793,0.11734981942936429,-0.0022062655070302687,0.6141024502227083
202.65891332000004,10.65%,0.0140358372,2576,215.6230788230896,114688,0.6022857185479757,-1.244837089907378,0.11189259917591698,-0.001434520355155315,0.5912399106658995
200.49890396000004,11.47%,0.0130281134,2657,231.7697868347168,122880,0.5748429151992316,-1.2319276209920644,0.07907413132561487,-0.0017755212781754427,0.5671130541944877
208.5842357,12.29%,0.0115382656,2733,248.4354066848755,131072,0.5679687304791946,-1.2205365647561848,0.08514169603822666,-0.0009598765574319705,0.5595505485311151
209.30976318,13.11%,0.0103555043,2810,264.5630178451538,139264,0.5505149923674882,-1.2060882550664247,0.06916730699031177,-0.0012692349765596157,0.5437251851661131
211.38944428000002,13.93%,0.0111976715,2885,280.95848655700684,147456,0.5330907895425149,-1.2022822372615338,0.06275661787740319,-0.0008242674059726039,0.5268975544953719
207.09296894,14.75%,0.0147129564,2965,297.0054681301117,155648,0.5298606710878027,-1.1934252454899252,0.055444525084112684,-0.0011974813861931298,0.5244359667180106
208.96095979999998,15.56%,0.0148734149,3045,313.74315786361694,163840,0.5220867762767327,-1.1874194798991085,0.08203174458503781,-0.002583299158188659,0.5141419317340479
221.42446929999997,16.38%,0.0157449867,3125,329.66859126091003,172032,0.525274724311661,-1.175138376094401,0.07249099286364072,-0.0033991712294305435,0.5183655421482399
218.70690222000002,17.2%,0.0149433876,3209,345.98682022094727,180224,0.5104053353876374,-1.160098949726671,0.0580658295779358,-0.0025339960386517955,0.504852152033709
223.36308174,18.02%,0.0141981672,3291,361.78661942481995,188416,0.4937720605767728,-1.1568116456270219,0.06017915012653248,-0.0016758009178638538,0.4879217256559059
220.94055526000002,18.84%,0.0145806793,3373,377.4501950740814,196608,0.48731495077657544,-1.1557698720134795,0.052287796794735185,-0.0008349867632770718,0.4821696697734296
227.24379063999996,19.66%,0.0130368395,3453,393.3793377876282,204800,0.4878319046983245,-1.1435046547092498,0.05448551198878704,-0.0018832382864159523,0.48257167732808737
225.84304949999998,20.48%,0.0130745353,3535,410.00739765167236,212992,0.46816819711570784,-1.1272040545940398,0.04835297545978392,-0.0010237961242893561,0.46343527918215843
230.72467999999998,21.3%,0.0117881804,3615,425.94690108299255,221184,0.4660864603736263,-1.1155436218716204,0.057317004322248975,-0.0008995795942618679,0.4604447179008275
232.52121900000003,22.12%,0.0124167342,3694,441.90755462646484,229376,0.45542650707488475,-1.111865008994937,0.04763875921935323,-0.001254575021498549,0.4507880886550993
