Progress,total timesteps,mean_int_reward,num_episodes,ep_rew_mean,total_time,entropy_loss,policy_gradient_loss,icm_loss,value_loss,total_loss
61.44%,622592,0.0060880627,4905,2882.1436183999995,1283.5664710998535,-0.548172932676971,0.001120878865997152,0.15277184086153284,0.048230915797466876,0.15770702032787925
62.26%,630784,0.0064899612,4915,2881.53344418,1300.4795579910278,-0.5570349383167923,0.0006002223672396617,0.15611094040214085,0.04819669714288466,0.16099063235315328
63.08%,638976,0.0064565548,4924,2837.1622614800003,1317.8599729537964,-0.5733877229504287,-0.0003992481142609387,0.1613346886006184,0.03287379454186521,0.1645821432433788
63.9%,647168,0.0072891181,4939,2474.21701106,1334.616536140442,-0.5776710826437921,-0.000372981747710087,0.1641835964808706,0.03821377486819984,0.1679676757929196
64.72%,655360,0.0074838881,4962,1823.199583,1352.2588267326355,-0.5631391737610102,-0.00017469391847633456,0.16672037030220963,0.018451918838854907,0.16854809279424748
65.54%,663552,0.0074922949,4988,1189.48368158,1369.3874108791351,-0.5471285584848374,0.0005697066671638135,0.15891695218160748,0.012996900834696134,0.16027361293179349
66.36%,671744,0.0069671756,5013,1107.35160666,1386.7491052150726,-0.5229600700549781,0.0003401220277495463,0.15718272679951042,0.00954819022808806,0.15817155802509417
67.17%,679936,0.0068403256,5035,1203.16777978,1403.6668283939362,-0.5030501469504088,0.0007557086486694235,0.14469842140679248,0.007106235676110373,0.14548461583927047
67.99%,688128,0.006627328,5051,1293.94703828,1420.3220734596252,-0.48608337945770475,0.0011820311452873011,0.1413843213347718,0.007093106576758146,0.14221183510697635
68.81%,696320,0.0063925302,5068,1486.5826004199998,1437.7292222976685,-0.4756933345226571,0.0003368529702365119,0.13420424485229887,0.004110278712323634,0.1346489580205549
69.63%,704512,0.0060956977,5082,1674.6359221,1454.7565832138062,-0.4811149244895205,0.0013907614850191558,0.136422460724134,0.018230951179612022,0.1383846319905971
70.45%,712704,0.0062725969,5097,1847.34288272,1471.7498319149017,-0.4803327962523326,0.0018296732166617753,0.13941050064750016,0.01791897960160895,0.14138536592932724
71.27%,720896,0.0061821539,5120,1661.2599512399997,1489.1492433547974,-0.4734179129824042,0.00034504175101515244,0.13728976843995042,0.020050103351422877,0.13932928295019423
72.09%,729088,0.0060234048,5137,1507.6474101800004,1506.004157781601,-0.461443572351709,0.0033361934085795117,0.1329939231683966,0.006206531250745684,0.13394819563432908
72.91%,737280,0.0063864971,5154,1467.34239736,1523.094519853592,-0.435150541132316,0.0014691594050408692,0.12929928713128902,0.004865206725662574,0.12993272374435935
73.73%,745472,0.0061360575,5174,1568.56303862,1540.0244462490082,-0.40363117209635674,-0.00018920277548420284,0.1248178001085762,0.0049078392563387755,0.12528966375666167
74.55%,753664,0.0058077744,5193,1491.82490602,1556.740996837616,-0.37384239237289874,0.0009965817346011395,0.11816801351960748,0.010750864157580508,0.11934275810882564
75.37%,761856,0.0056644783,5209,1548.28986452,1573.8047757148743,-0.36597540182992816,0.0030110853996541636,0.11032527278293855,0.009316897475946462,0.11155807107049862
76.19%,770048,0.0058720523,5226,1638.7606341599999,1590.7688512802124,-0.35522419069893657,-0.00029817915789412543,0.11084258499904535,0.004027528476353836,0.11121551993089134
77.0%,778240,0.0055769661,5240,1819.96117006,1607.6453759670258,-0.3421330614713952,0.00037202209351917587,0.10747327629942446,0.010467688032122169,0.1085572473119886
77.82%,786432,0.005516613,5255,1850.21260556,1624.4580101966858,-0.33275884711183606,0.0010755711768099066,0.10777908574673348,0.01036163092114748,0.10892280595652921
78.64%,794624,0.0052666269,5271,1927.50933288,1641.6674616336823,-0.3250419578514993,0.0010311125429215491,0.10780132233630865,0.003568795750334175,0.10826131316563421
79.46%,802816,0.0052637074,5286,1830.14564388,1658.5534060001373,-0.31870854273438454,0.0015429224575177333,0.10753211636911146,0.013717113397842696,0.10905811995464751
80.28%,811008,0.0053656525,5305,1770.5796314200002,1676.0561873912811,-0.2985875718295574,0.001286913158467119,0.10886541241197847,0.0041646079483598445,0.10941056452266115
81.1%,819200,0.0052845993,5323,1686.0972680599998,1692.589801311493,-0.28913901045452806,0.0019810031498044374,0.10259803687804378,0.005422899849509122,0.10333842717797515
81.92%,827392,0.0052830284,5340,1653.3110832600003,1709.6600413322449,-0.29035502809565517,-0.00021510232510515574,0.10235944985761307,0.005146084941952722,0.10285254811929782
82.74%,835584,0.0056016044,5358,1638.93241004,1726.3821923732758,-0.28628382505849004,0.00302745788464421,0.1036257367406506,0.005174861479872561,0.10444596867710229
83.56%,843776,0.0052512521,5383,1370.8862425000002,1743.0190947055817,-0.2786741035757586,0.004060105547064664,0.10489525151788257,0.005463755826622218,0.10584763765525125
84.38%,851968,0.0054301088,5402,1365.64092506,1760.5089046955109,-0.27350748658645896,0.00025321148809531664,0.10174402445554734,0.020441936331553733,0.10381353923751224
85.2%,860160,0.005764927,5418,1528.34855384,1777.4201302528381,-0.25773044404340906,0.0019219622453467695,0.09913870283635333,0.004546921858673158,0.09978559124675533
86.02%,868352,0.0053956038,5434,1724.73199384,1794.062341451645,-0.23822829040000215,0.0017641612729582823,0.0996174784086179,0.00877099869489939,0.10067099440540368
