ep_rew_mean,Progress,total_time,total timesteps,mean_int_reward,num_episodes,value_loss,entropy_loss,policy_gradient_loss,total_loss,icm_loss
20.53355998,0.0%,3.4428446292877197,8192,2.047639206,500,,,,,
28.29313624,0.82%,20.068467378616333,16384,0.3239080859,823,10.991471168771387,-1.4205132784321903,-0.004546438767308482,2.111589282634229,1.0128968096338213
38.2965091,1.64%,36.844003200531006,24576,0.1247139777,1070,2.0379712463822215,-1.413232052884996,-0.004962260687273344,1.077982562268943,0.8746816636994481
58.44944434000001,2.46%,52.745471239089966,32768,0.0768572193,1282,0.8234935661312193,-1.3879677520133555,-0.006701237599831722,0.9152660836620722,0.8335868508089334
62.099790920000004,3.28%,68.5684506893158,40960,0.0606986326,1486,0.5749326049350202,-1.3703552880324423,-0.005676771362178192,0.8456494533050009,0.7887238699477166
83.82253735999998,4.1%,84.75905871391296,49152,0.057556632,1652,0.3931045664590783,-1.3517550864256918,-0.004844321932783094,0.784865956766936,0.7460399323143065
85.81478776000002,4.92%,100.8851752281189,57344,0.0472680379,1796,0.38012647768482566,-1.3341655259020626,-0.004738123045600678,0.7622686424868814,0.724729807022959
98.82210862000002,5.73%,117.03548526763916,65536,0.038592114,1935,0.3620485961670056,-1.3253665439784528,-0.004654210077109406,0.7229276377016236,0.6871881990926341
128.2100853,6.55%,133.0593113899231,73728,0.0345213365,2051,0.3328961029532366,-1.31356417844072,-0.004755700621384961,0.7237665867552064,0.6909525465220213
196.28629613999993,7.37%,148.20102620124817,81920,0.0368582276,2140,0.30052994057768956,-1.299767429381609,-0.004803963558979136,0.6920330630352955,0.6624604653334245
192.77904057999996,8.19%,164.02285242080688,90112,0.0308236509,2224,0.2259720952657517,-1.2841961231082677,-0.0029463070785274493,0.6728636302852247,0.6505610514665022
215.1295753,9.01%,179.2974922657013,98304,0.0284991563,2300,0.2150840366317425,-1.2649455657228827,-0.003866273638518029,0.6533187654658728,0.6321969891665503
245.45013340000003,9.83%,195.0819447040558,106496,0.0277356787,2372,0.1635125778208021,-1.2480360818095506,-0.0029552524447293074,0.6153655030444141,0.5993097705068067
255.73204104,10.65%,210.8299117088318,114688,0.023327925,2439,0.15424264662433415,-1.2333731086924673,-0.0019268181899687923,0.6085164296391594,0.5932848467957228
264.1619967799999,11.47%,226.73976135253906,122880,0.0214875022,2504,0.14086751465511044,-1.2230993943288921,-0.0018646397031318474,0.5834519017480483,0.5695516142528504
309.6303438,12.29%,242.29228281974792,131072,0.0215205557,2564,0.10665610086143715,-1.2100645979866385,-0.002343211132079085,0.5748252516598173,0.5643939626868815
334.15372171999996,13.11%,258.582612991333,139264,0.022107714,2622,0.10799409052269766,-1.2050191621296107,-0.0021896594882049414,0.5555299025044086,0.5449494594009593
384.52466076,13.93%,274.5111246109009,147456,0.0218643109,2672,0.1183130716875894,-1.197300982195884,-0.0018849501800505693,0.5539418193560465,0.5422990072052926
465.51661818,14.75%,290.860901594162,155648,0.0217194118,2716,0.08943245383852627,-1.1783391747623682,-0.0013495214590218776,0.5301106549544669,0.5213023617165163
426.8408441600001,15.56%,307.2431745529175,163840,0.0210116197,2763,0.06476397227306734,-1.1683874057605863,-0.0016412353380586525,0.5014352559058433,0.4951229822123423
501.17679976,16.38%,322.95805644989014,172032,0.0200939771,2804,0.08352231543540256,-1.1552893774583937,-0.0016917591624117118,0.5025370243472509,0.4943539687199518
581.47529774,17.2%,339.3799285888672,180224,0.0211408308,2837,0.05430801284019253,-1.149122007098049,-0.0008581745887905915,0.48696378817004754,0.4816188043449074
692.8503021399999,18.02%,355.71733260154724,188416,0.0223538949,2867,0.047823479401995425,-1.14626622274518,-0.0007357070333892838,0.49687695324804293,0.49216817601118235
728.0935101799998,18.84%,371.51726031303406,196608,0.0230274184,2900,0.04590224589701393,-1.1414896962232888,-0.0022195396337540804,0.47726194280668804,0.47289367218036205
701.0051914000002,19.66%,387.26727533340454,204800,0.0228035054,2931,0.06160814272152493,-1.1323440548963846,-0.0012060696966278764,0.4851169202535538,0.47907671295106413
682.19144296,20.48%,403.46498942375183,212992,0.0228060486,2963,0.0723912087662029,-1.1172959472984076,-0.0012799847407822353,0.4676786747660421,0.4605675523635
661.3773789600001,21.3%,419.0375416278839,221184,0.0216507186,2998,0.07202907957034768,-1.1110601192340255,-0.001059259287996093,0.44697969050881686,0.43988270848058164
723.30224882,22.12%,434.73090291023254,229376,0.0216912117,3029,0.08174971545377048,-1.1011687193065882,-0.0016546592084373556,0.45231444551947037,0.44430493989493697
814.79759454,22.94%,450.2837951183319,237568,0.0196334084,3057,0.04407498469445272,-1.0820024305954576,-0.0016692128747995637,0.4365719934955018,0.43233141631353644
907.0731704,23.76%,465.89223623275757,245760,0.0185107846,3081,0.045709645354509124,-1.06590543538332,-0.0012575941889741288,0.41363733781026896,0.4091921326937154
871.87833278,24.58%,481.417142868042,253952,0.018194123,3111,0.024812619475414976,-1.0483999418094754,-0.001671850640830163,0.4035909486317271,0.4012768717482686
808.90008902,25.4%,497.4131934642792,262144,0.0168537307,3140,0.029076121505568153,-1.031172545440495,-0.0012501205766543815,0.3825516618547996,0.3797690617619082
910.93411008,26.21%,513.181090593338,270336,0.0186481178,3163,0.05542363533568277,-1.0115902218967676,-0.0013267080351604958,0.38188066360470446,0.37647097087465226
1016.8774301999999,27.03%,528.6268224716187,278528,0.0169084565,3186,0.027489582935777433,-0.9911634117364884,-0.0010134376796251102,0.3621204494149266,0.35947283488931137
