Progress,mean_int_reward,total timesteps,total_time,ep_rew_mean,num_episodes,value_loss,icm_loss,entropy_loss,policy_gradient_loss,total_loss
35.23%,0.0069090104,360448,740.9043092727661,243.6429347,4926,0.03928748703797282,0.43261131781619044,-1.0669861499220132,-0.00010464317146835085,0.4365296022028408
36.04%,0.0067960194,368640,757.525407075882,249.53402916,4995,0.04802377909172719,0.41918756035156546,-1.0513608954846858,-0.0003849022791186962,0.4239514480328263
36.86%,0.0080565309,376832,774.6514663696289,261.15602682,5062,0.033564252516862327,0.4037529301829636,-1.0595433024689556,-0.001443139410228235,0.40696504149362694
37.68%,0.0114436415,385024,791.5533261299133,274.4923606,5128,0.054694669493619584,0.42371687134727837,-1.0690226020291447,-0.0020454299951034385,0.42898179529712993
38.5%,0.010712707,393216,808.3771970272064,280.63557296000005,5191,0.14297583986553947,0.4238021370721981,-1.053086965996772,-9.984553221969716e-05,0.43808973650553007
39.32%,0.0105815117,401408,824.7499134540558,294.69665626,5252,0.07010341087116104,0.4083454741165042,-1.0298745651729404,-0.0015853104633399583,0.41519728415728635
40.14%,0.0096662814,409600,841.2182238101959,299.50601748,5316,0.06450938834786939,0.3920622989535332,-1.015521102026105,-0.0015503786459524608,0.39835819992372484
40.96%,0.0087874198,417792,857.5552086830139,307.20599,5377,0.04919353307086567,0.38276963473763315,-1.0072572296485305,-0.001202123180908753,0.38756877572662884
41.78%,0.0080614449,425984,874.1886467933655,316.97034282,5437,0.031819698585422884,0.36864331249380483,-1.0007690883707254,-0.0011927470420671309,0.37170600764814044
42.6%,0.0074052177,434176,890.5719146728516,321.34941686,5498,0.027834721035196706,0.36796255980152637,-0.9982790148351341,-0.000642659303377595,0.37068176597470825
43.42%,0.0071665421,442368,906.9599585533142,320.56266634,5558,0.030118901928199195,0.3670875376788899,-0.9972107002511621,-0.0011838981304559842,0.3699810380586642
44.24%,0.0063086198,450560,923.388242483139,324.57741691999996,5618,0.03499873585342357,0.3787636116147041,-0.9987869347911328,-0.0005971961712666098,0.38220376558291985
45.06%,0.0059385519,458752,939.9919741153717,322.10833006,5678,0.03199209650229022,0.3702713357284665,-0.9968535558320581,-0.0010531369580723952,0.3733652316828883
45.88%,0.0066547913,466944,956.9741544723511,325.83273627999995,5738,0.03149714891296753,0.3583695446024649,-0.9984938902314753,-0.0009824480645543817,0.3614210146873062
46.69%,0.0063995294,475136,973.1965944766998,324.96966497999995,5799,0.02956501367693818,0.3668357050511986,-1.0013683162629605,-0.0003835927166089176,0.36975384714723153
47.51%,0.006530707,483328,990.050271987915,322.01779596,5861,0.030392641022899625,0.36787486283574256,-1.0124754126183688,-0.0009086055278409982,0.3708232663852484
48.33%,0.0060343232,491520,1007.1151440143585,326.88942664,5921,0.03337575153518628,0.386175795388408,-1.0130145222879947,-0.001558900900341063,0.38935748045189256
49.15%,0.0061823975,499712,1023.9114408493042,329.85431387999995,5980,0.031355855778929256,0.3707802445394918,-1.0056484181433916,-0.0004989626075672533,0.37386593385662803
49.97%,0.0060767085,507904,1040.5400218963623,331.4385417,6038,0.02789584852152984,0.36661775761749593,-0.9801007095258683,-0.00087651944593231,0.3693196905250557
50.79%,0.0062364749,516096,1057.5047936439514,333.53420012000004,6096,0.03024163943655367,0.34541653462219984,-0.9461467595305294,-0.0008967361404514691,0.34835102495181003
51.61%,0.0063114447,524288,1074.697551727295,337.37409940000003,6154,0.0365450454157326,0.3191839067032561,-0.9166331809945405,-0.00034135691201564726,0.32280427555362773
52.43%,0.0061377733,532480,1091.6627295017242,346.58477094,6211,0.029694935306451953,0.30934079636354,-0.9006642069667578,-0.0005562427296300776,0.31225466562122217
53.25%,0.0066532432,540672,1108.535344362259,351.9607188799999,6266,0.025564160993508268,0.29987261397764087,-0.8965794331394136,-0.0006242991451908639,0.30236660016247263
54.07%,0.0079443623,548864,1125.163970708847,380.7611390799999,6320,0.03747124382007314,0.3045966694597155,-0.8941786290146411,-0.0008396841158096868,0.30825982543014185
54.89%,0.0084922859,557056,1141.9432849884033,431.3286945400001,6367,0.025174778672408138,0.3029246986960061,-0.8844406777527183,-0.0015603610432263749,0.30528614045892427
55.71%,0.0081598049,565248,1159.0130093097687,450.95531460000007,6411,0.03010635303799063,0.30022284724982456,-0.8696655256673693,-0.0017831676635415808,0.30305516578726943
56.52%,0.0077334065,573440,1175.671202659607,471.63144334,6454,0.057138313958785145,0.28695328887552024,-0.8536404342856259,-0.000280046141362249,0.29263911565726247
57.34%,0.0084136546,581632,1192.5050175189972,564.5175519200001,6490,0.03746779985449393,0.27917090475093576,-0.8327213047072292,-0.0008683037599980222,0.28283085436038535
58.16%,0.0074514034,589824,1209.554568529129,600.4551336599999,6526,0.02224860900460044,0.2650058102677576,-0.8080309486482292,-0.0013501869261108785,0.2670956524756066
58.98%,0.0077944376,598016,1225.732742547989,645.4310909,6558,0.03580071000942553,0.2518717966391705,-0.7928425153251737,-0.00012636010513300723,0.2554392316295998
59.8%,0.0077753356,606208,1242.4051349163055,628.71336996,6594,0.02284373013935692,0.24792501794872807,-0.7718977020587772,-0.0006663356363665872,0.2501427573990271
60.62%,0.0073115744,614400,1258.840179681778,607.6736573600001,6629,0.02318111177046376,0.23179201077437028,-0.741693533025682,-0.0003794947625011634,0.2340721724751665
61.44%,0.0068649241,622592,1275.5227854251862,648.3084217600001,6662,0.052769195650034816,0.2187805115012452,-0.7234892989043147,-0.0007977651947493624,0.22397765454677376
62.26%,0.00693404,630784,1292.557270526886,689.5318889800001,6694,0.023497084388873192,0.21028886655112727,-0.6953541846945882,-0.001633204011215706,0.212475254588893
63.08%,0.0071511499,638976,1309.7243304252625,679.91613924,6726,0.020595102859624605,0.19778777618194,-0.6734292797278613,6.590909817228994e-05,0.1998538773777197
63.9%,0.0064673404,647168,1326.2629392147064,709.7085211000001,6757,0.022207293990504695,0.19254028167342768,-0.6610656382050365,-0.00021401567260496984,0.19473960950521763
64.72%,0.0060347916,655360,1343.1072509288788,718.0831990399998,6788,0.019527343104709872,0.1878996099520009,-0.6416428031865508,-3.2837679289176704e-05,0.18984906049454295
65.54%,0.0063768813,663552,1359.700944185257,707.0064807399999,6821,0.01814825611691049,0.17799539280240423,-0.6293236810714007,-9.636781306080342e-05,0.17980058163278922
66.36%,0.0060840788,671744,1376.2855060100555,700.0187925,6852,0.01975916614592279,0.17566260835155845,-0.6106004398781806,-0.0006434189338324181,0.17757418307276748
67.17%,0.0061780893,679936,1393.088018655777,736.9781291200002,6883,0.01958528176874097,0.1699522891838569,-0.5906185602769256,0.0011993051173870108,0.17203074787246972
67.99%,0.0061521342,688128,1409.7731878757477,745.0958903000001,6914,0.018652127007771923,0.1649457936931867,-0.5791294125840067,-0.00011271908267986059,0.1667997344856959
68.81%,0.0059116158,696320,1426.4609911441803,767.6903081599999,6941,0.019343016763559717,0.16531552945380099,-0.5616224631201476,-0.00017038233083961401,0.167232792897073
69.63%,0.0056733482,704512,1443.0790803432465,794.8449972599999,6970,0.013626646354714467,0.15949712177971379,-0.5493058796972037,-0.00011605550930588711,0.16084818086425465
70.45%,0.0051698683,712704,1459.5375151634216,792.7686753800001,6999,0.018574589317358912,0.15532200753805228,-0.5268418685067445,-0.0001545593769625688,0.1571640105320919
71.27%,0.0050114536,720896,1475.8290343284607,838.7410893599999,7026,0.01445412633838714,0.14667466376558877,-0.5046317118918523,0.001053477235827295,0.14822542412301024
72.09%,0.0049281919,729088,1492.5339860916138,877.87280836,7052,0.014477927595180518,0.1417664812935982,-0.4772438087267801,0.00018976056680900568,0.14323325010979715
72.91%,0.0050249745,737280,1509.3919734954834,885.99892532,7079,0.012997184101914172,0.133394292590674,-0.4582194390473887,0.0001957546435028973,0.13471358646521572
73.73%,0.0047489594,745472,1526.3143935203552,907.6426152600001,7103,0.012935286647370958,0.13073463757755235,-0.4420167277101427,0.00010469251309078529,0.1320386354935985
74.55%,0.0045584915,753664,1543.1577050685883,959.3432762,7127,0.010501776029468602,0.12747121021384372,-0.42095535951666535,0.0005155102384089715,0.1285729388406315
75.37%,0.0044687741,761856,1559.8478066921234,1005.9043166199999,7150,0.010825990425109922,0.12294966412591748,-0.3910153177799657,0.00010948075714870814,0.12404321124414333
76.19%,0.0043401974,770048,1576.6085751056671,1053.1170895199998,7171,0.010721350371477456,0.11958124432712794,-0.3625869957730174,0.000722679259717625,0.12072564729024744
77.0%,0.0041674475,778240,1593.2620468139648,1115.5158367599997,7191,0.009382496094713134,0.11531649170210585,-0.343915018462576,0.0003520871412149787,0.11628995002569867
77.82%,0.0042572189,786432,1610.0879967212677,1140.1744765600001,7212,0.00921504959678714,0.1114324003632646,-0.32897900729440155,0.0008373681733548722,0.1124376421402788
78.64%,0.0042274847,794624,1626.381441116333,1137.3894879799998,7233,0.008396777527923404,0.1081465270544868,-0.30001952024176715,0.00017093109236624113,0.10900329791651575
79.46%,0.0043322005,802816,1643.1216566562653,1137.5376242000002,7252,0.009883278786401207,0.1036111717519816,-0.2790618838509545,0.00036040192426127114,0.10463553982304785
80.28%,0.0045259475,811008,1659.8354601860046,1257.82554698,7265,0.00833508371388234,0.10172789288335479,-0.27471093551721426,0.003708896199312342,0.10293229087467426
81.1%,0.0042162885,819200,1676.9158256053925,1377.7210783799999,7284,0.00487520486522044,0.10484150824486278,-0.2688299332279712,0.0009002365971952384,0.10541905239110436
81.92%,0.0043133628,827392,1693.5886125564575,1508.04191794,7298,0.006839307215614099,0.10447579461033456,-0.24933069482212886,0.0004687439969569463,0.10520659973159167
82.74%,0.0040721979,835584,1710.1787576675415,1358.87074596,7319,0.004772737083840184,0.09915415609139018,-0.2306279256939888,0.0018548394071295764,0.09981691374048715
83.56%,0.004322759,843776,1726.6264193058014,1348.09620184,7337,0.006823481784886098,0.09774279031262267,-0.21024441001936794,0.0012027717651270419,0.09854541566762398
84.38%,0.0039351818,851968,1743.0693521499634,1283.5352795400001,7355,0.006236574209106038,0.09242107383324764,-0.1950685555464588,0.0006475985838084947,0.0931094911125391
85.2%,0.0042277903,860160,1759.350646018982,1447.71191194,7368,0.005794118320227426,0.09129075137316249,-0.18609840949065984,0.0020927648115667804,0.09207943968634191
86.02%,0.004045903,868352,1775.6567816734314,1637.9269963999998,7378,0.016433254020921596,0.08997017844812945,-0.17705615443410352,0.0023309682794269127,0.0918466006781643
86.84%,0.0038247818,876544,1792.9139473438263,1784.6180624800002,7391,0.0034707375420566676,0.09139211552974302,-0.17285560024902225,0.0019759659296687956,0.09193678587691556
87.65%,0.0037274369,884736,1809.6684262752533,1946.1073706799998,7403,0.01340398391830604,0.09152461738558486,-0.1598347441176884,0.0013747796326307189,0.09300249374067852
88.47%,0.0036824639,892928,1826.3547303676605,1948.6964660800004,7417,0.013979328538107438,0.08691077735566069,-0.14593228581361473,0.0044624157470552536,0.08875495178417696
89.29%,0.0035075367,901120,1842.7128336429596,1922.5549506599993,7429,0.0034712328684690873,0.08796891084930394,-0.13571801437065006,0.0011048121671426963,0.08842651535286512
90.11%,0.0037097728,909312,1859.6739523410797,1871.37258398,7442,0.004158993301552982,0.0868499800679274,-0.11784080431098118,0.001046365552361754,0.08737051595331886
90.93%,0.0036396403,917504,1876.3716740608215,1786.3318707200003,7458,0.0038319363141454234,0.08552294164546766,-0.10048599333968014,0.001984678739093494,0.08610460315079153
91.75%,0.0037399461,925696,1892.9692816734314,1644.6251838400003,7475,0.006938955267605707,0.08339773097250144,-0.08104563950910233,0.0014742024227561666,0.08423904674153763
92.57%,0.0037891891,933888,1909.6301155090332,1519.01845386,7491,0.005768220141953861,0.08097393038624431,-0.05956956511363387,0.0029657715825867057,0.08184732955869838
93.39%,0.0035086487,942080,1925.9728558063507,1476.96666566,7508,0.004260941327424916,0.07663742213626393,-0.04853309953177813,0.001785464224731359,0.07724206269147955
94.21%,0.0034406525,950272,1942.866233587265,1495.1142884600004,7524,0.004057672562339576,0.07373785208037589,-0.04021172064822167,0.002055011140754547,0.07434912045068529
95.03%,0.0035102938,958464,1959.1442439556122,1502.1027396599998,7541,0.004245107163569628,0.07177234579285141,-0.018965656773070806,0.01124746031690781,0.07332160254089916
95.85%,0.0034013998,966656,1976.0213809013367,1502.87501514,7556,0.004467772572570539,0.06919714322139044,-0.0014799166006034703,0.0018373373317499772,0.06982765421182249
96.67%,0.0033788414,974848,1992.8160002231598,1532.3529992200001,7573,0.004111915008525102,0.06975734127918258,0.002397611398737354,0.0024109770505143834,0.07040963048508653
97.48%,0.0033103286,983040,2009.595522403717,1544.8003374799998,7589,0.0032092169464476685,0.07036494367348496,0.004502804578987707,0.002920367255418408,0.07097790209367157
98.3%,0.0033238161,991232,2026.5782220363617,1505.5185288800003,7606,0.0035066326940068394,0.06920242817432154,0.014775672368159576,0.005839599832872603,0.07013705142700949
99.12%,0.0033260182,999424,2043.7282876968384,1397.2057629400003,7627,0.004646187241633015,0.06831171823432669,0.02374418487015646,0.001975380409658026,0.0689738749994558
99.94%,0.0030538458,1007616,2060.6782400608063,1341.5372505399998,7645,0.0051098699196700185,0.06772065697587096,0.0280985780627816,0.0028833049213858796,0.06851997445997654
