total timesteps,ep_rew_mean,Progress,num_episodes,total_time,mean_int_reward,total_loss,entropy_loss,policy_gradient_loss,value_loss,icm_loss
8192,9.7446966,0.0%,509,3.40810489654541,2.3231060049,,,,,
16384,12.943545799999999,0.82%,892,20.941550254821777,0.2504598684,1.7548109208796254,-1.4180842843838035,-0.005281856745399232,7.335818534344435,1.021757253119722
24576,22.35298092,1.64%,1189,36.80404210090637,0.146184617,1.0537573172990171,-1.3999427997507154,-0.005164758791277804,1.8753905066521839,0.8667347425129265
32768,39.2198206,2.46%,1408,52.083616733551025,0.1091716606,0.9742858990347042,-1.384208518266678,-0.005724876914143165,1.621053214231506,0.812753065302968
40960,70.95124826,3.28%,1575,66.97163271903992,0.0820440342,0.9443614944456094,-1.3695958782918751,-0.006580841668001108,1.662120117386803,0.7788075668737292
49152,108.95860484,4.1%,1710,81.87092113494873,0.0482977277,0.8960862945704378,-1.3525389361195266,-0.004615837582728788,1.394384907837957,0.7571093875449151
57344,112.74117376,4.92%,1832,96.82380199432373,0.0350942978,0.8192652389810817,-1.3319323215633632,-0.0037002747567128915,0.9625153238419444,0.7233837340725586
65536,125.07445938000001,5.73%,1940,111.55251574516296,0.0274505623,0.7549533877991432,-1.3184113952331245,-0.002899528791369568,0.5447659276775084,0.7007667479105294
73728,130.86505954,6.55%,2045,126.22850179672241,0.0217137393,0.6980470360025264,-1.3057082649320364,-0.0023723576728131614,0.3080084867833648,0.6674834230914712
81920,159.91404421999997,7.37%,2140,141.37587428092957,0.0184759056,0.6785081710868583,-1.2867298172786832,-0.0025304144293083744,0.2103653678408591,0.6577246757457033
90112,161.74674566,8.19%,2229,156.3943977355957,0.0157671076,0.636230128621196,-1.265313996654004,-0.0019118961170077303,0.1462179284717422,0.6217995253857225
98304,170.06161726000002,9.01%,2314,171.05272459983826,0.0152617327,0.6069706132507607,-1.256253190897405,-0.0016484913807210955,0.11310791084979428,0.5958246713038534
106496,189.69815264000002,9.83%,2394,185.84404277801514,0.0133317015,0.6013821856609415,-1.2476871429011225,-0.002152692617979036,0.1296105511719361,0.5886363998055458
114688,197.84354798,10.65%,2472,200.9285855293274,0.0122078263,0.5852777553966947,-1.241246305964887,-0.0014407976841235958,0.0849383107815811,0.5769280040869489
122880,196.50934297999996,11.47%,2551,216.09052872657776,0.011082265,0.589945757912397,-1.2341932740993797,-0.0015729164165750903,0.07553206129123283,0.5825498434249312
131072,204.13241878,12.29%,2629,231.280287027359,0.0104670325,0.5686983179662064,-1.21750199906528,-0.0010972263049833712,0.08210316944096122,0.5605977236526087
139264,207.16305682,13.11%,2704,246.44893622398376,0.0120043835,0.5458252218638897,-1.1954235753044486,-0.0008580495546835429,0.06565162729220901,0.5393458640901372
147456,205.96340855999998,13.93%,2781,262.09641885757446,0.0110021003,0.5253172391227909,-1.1885836792178452,-0.0012749970061654143,0.06041178177529218,0.5194035606458783
155648,203.91756184,14.75%,2859,277.9359414577484,0.0113520283,0.5224297988768422,-1.1733551694080233,-0.000949439066015811,0.05815421325551142,0.5167093214578926
163840,206.03088204,15.56%,2936,293.4026803970337,0.0099912264,0.5046112590061805,-1.1652436953037977,-0.0007692115638537195,0.05229931109579411,0.4994582490529865
172032,206.99892022000003,16.38%,3012,309.99177145957947,0.0092415633,0.49740911585756376,-1.1500654274597764,-0.00029908899895425155,0.05081836503795785,0.4923571882536635
180224,207.20153446,17.2%,3088,325.76842999458313,0.0088421394,0.4760694373224835,-1.142263202741742,-0.0006218925671578315,0.04736088553663649,0.47139553802553563
188416,206.62131527999995,18.02%,3165,341.40296816825867,0.0091264375,0.46943171700039843,-1.1395319927483798,-0.0005866475564229321,0.04298115668061655,0.4651922660879791
196608,208.41876066,18.84%,3242,357.1893298625946,0.0090071032,0.4706832378950427,-1.134143608622253,-0.0006897640315709755,0.04286915513303029,0.46646529878489673
204800,208.89056587999997,19.66%,3320,372.99466133117676,0.0093433457,0.4739839980784823,-1.131551528722048,-0.00010850577365493332,0.04448768508000285,0.46954608014784754
