ep_rew_mean,num_episodes,total timesteps,total_time,total_loss,policy_gradient_loss,entropy_loss,value_loss
16.52732572,357,8192,2.736534595489502,,,,
23.436487800000005,680,16384,12.02394437789917,1.1059458559365911,-0.006107656007076954,-1.3975649165920914,1.112053511943668
37.69356154,928,24576,20.603402614593506,0.8303838135780529,-0.008711984137655743,-1.3713761874474586,0.8390957977157086
58.50618833999999,1131,32768,29.238569498062134,0.8989647369706077,-0.007686578448395526,-1.3601825103163718,0.9066513154190033
86.43138188,1288,40960,37.96384835243225,0.567271162917218,-0.007364754613177084,-1.3457924637012184,0.5746359175303951
96.81659402000001,1422,49152,46.319695711135864,0.4024666241648111,-0.007163126482771021,-1.3312333971261978,0.4096297506475821
124.61544760000001,1537,57344,55.16105246543884,0.3776980361109871,-0.005281858458156514,-1.325619123969227,0.38297989456914366
152.44668409999997,1638,65536,65.98567128181458,0.34026949507353155,-0.005137030194222218,-1.3170593498274683,0.34540652526775373
183.99713555999998,1731,73728,75.58233189582825,0.2626704531998846,-0.004685745011315886,-1.3087062555365265,0.26735619821120055
209.27847938,1817,81920,83.85115838050842,0.21220025631123338,-0.005217109766773637,-1.2959029015153647,0.21741736607800705
214.24577404,1903,90112,93.43471574783325,0.15288608277593546,-0.0034022567331111475,-1.2769217499531806,0.15628833950904664
217.63873346000003,1988,98304,102.7065634727478,0.1327875054563572,-0.002384165977279012,-1.259983142837882,0.13517167143363623
224.79158221999998,2071,106496,112.13822507858276,0.13146669265154165,-0.0013878043959051271,-1.2511361829936505,0.13285449704744678
238.51140816,2151,114688,123.28172731399536,0.114946651146477,-0.0032626093672088684,-1.2422076063230634,0.11820926051368588
277.7536894,2225,122880,133.85887789726257,0.12216886131928631,-0.004378102229467111,-1.2191400561481713,0.12654696354875342
287.07247626000003,2297,131072,143.67966961860657,0.11560846599519732,-0.0035431420249863064,-1.1911769675090909,0.11915160802018362
312.70161448,2366,139264,153.9663906097412,0.10804339885786848,-0.002724430047358857,-1.165093390084803,0.11076782890522736
325.53779178,2433,147456,163.5517294406891,0.08272537014128804,-0.0028170205165045153,-1.1457850242964924,0.08554239065779257
332.6588796,2497,155648,173.07141137123108,0.06843891376752806,-0.002392061574067999,-1.132614837307483,0.07083097534159606
348.49293706000003,2561,163840,183.08619475364685,0.0645834314011466,-0.002366840768777978,-1.1160689077340067,0.06695027216992458
348.72222972,2624,172032,192.69269943237305,0.05816170181823296,-0.0025139285553562735,-1.102183656487614,0.06067563037358923
357.3753289199999,2686,180224,201.49892568588257,0.05662165734382689,-0.002615283303124651,-1.0885029963217676,0.05923694064695155
361.29743577999994,2747,188416,210.98851037025452,0.058310015192400165,-0.003147445908835654,-1.069768298510462,0.06145746110123582
374.03246271999996,2805,196608,221.03674483299255,0.07055278887561464,-0.0017145857633627116,-1.056706146430224,0.07226737463897734
393.15447881999995,2861,204800,232.0194170475006,0.05838448408815494,-0.0024086412091226415,-1.0398104954510927,0.06079312529727758
399.87976872,2918,212992,244.60087394714355,0.04709436211082761,-0.001420435187948483,-1.0378519175574183,0.0485147972987761
410.01419566000004,2972,221184,255.25044226646423,0.05767772335485266,-0.0028365557053731463,-1.0248021399602294,0.060514279060225815
449.84576554000006,3023,229376,264.6092085838318,0.056305857464319375,-0.002012532173905825,-1.00372926434502,0.0583183896382252
480.91372867999996,3073,237568,273.6181945800781,0.04221522231133999,-0.0024418597152660853,-0.9827686220407486,0.04465708202660608
484.6990498,3122,245760,282.41907143592834,0.05132677976576004,-0.0028635143446526104,-0.9610499667003751,0.05419029411041265
492.08426212,3169,253952,290.97203826904297,0.07461341386249257,-0.002738875296678483,-0.9331047919113189,0.07735228915917106
536.91018358,3213,262144,299.90379095077515,0.08246812341524468,-0.0020685457908914654,-0.9111941144801676,0.08453666920613614
551.7291494599999,3257,270336,309.5717499256134,0.03426433995732249,-0.002542355600830082,-0.8962362390942872,0.036806695558152566
570.6071674,3299,278528,317.9374129772186,0.03486478100038355,-0.0025864499341100985,-0.8857978404965252,0.03745123093449365
582.6472336599999,3341,286720,326.80347776412964,0.02462376506655759,-0.001975940037023483,-0.8676998822484165,0.026599705103581072
553.6548965400001,3385,294912,335.6158447265625,0.02872747800821355,-0.0018294071516628562,-0.8588833439629525,0.030556885159876403
581.39741454,3425,303104,344.79377460479736,0.058989480217956095,-0.002185751958218085,-0.8537717303726822,0.061175232176174175
579.11267024,3466,311296,355.4594874382019,0.034524935116983804,-0.0022793603452231333,-0.8292513433843851,0.03680429546220694
577.2101827399999,3508,319488,366.2366855144501,0.04120736323900839,-0.0021974019231683836,-0.8127798781730234,0.04340476516217677
612.9610996399999,3547,327680,375.0034022331238,0.03842490821971619,-0.0016955783026755375,-0.8006267433986067,0.04012048652239173
627.5285581,3585,335872,383.92424154281616,0.022447262729040227,-0.001391883452358747,-0.7838733353186399,0.023839146181398974
638.23054666,3625,344064,392.53368282318115,0.02070572344150238,-0.0022766494115367456,-0.7660463935229928,0.022982372853039123
640.6741440999999,3662,352256,401.4834077358246,0.0225768179046539,-0.0018536932756902838,-0.7491439275443554,0.024430511180344183
683.16206802,3699,360448,409.8375895023346,0.02902895434663544,-0.0024833432050360696,-0.7428131283260881,0.03151229755167151
701.5167262399998,3735,368640,419.3035554885864,0.020064038089598835,-0.0027408733142197167,-0.7361787531059235,0.022804911403818552
709.9019895,3770,376832,428.7973053455353,0.021129756573284288,-0.0015769194178552035,-0.714134591491893,0.022706675991139492
