num_episodes,ep_rew_mean,total timesteps,total_time,total_loss,entropy_loss,policy_gradient_loss,value_loss
395,16.602733739999998,8192,2.695967197418213,,,,
713,22.308229340000004,16384,13.124772071838379,0.8873045396748938,-1.4019584490917623,-0.005928936927578674,0.8932334766024723
899,64.33264781999999,24576,23.346147060394287,0.6177617034844693,-1.375615738146007,-0.007321062011866583,0.6250827654963359
1024,130.30622462000002,32768,33.60375428199768,0.7118618332735236,-1.3570973466150462,-0.006651249835177185,0.7185130831087008
1136,150.01274192,40960,43.49382948875427,0.5005036706663148,-1.3494498060084879,-0.004447011197969199,0.5049506818642839
1235,177.91975502000003,49152,53.81400656700134,0.2839115777063359,-1.3408562152646482,-0.0034398303473192745,0.28735140805365517
1331,194.66133986,57344,63.97364282608032,0.15575632181977508,-1.3166972580365837,-0.0030763801394065047,0.1588327019591816
1420,206.17929371999998,65536,74.21387815475464,0.10501409193268976,-1.2974590215831996,-0.0022778473602281953,0.10729193929291796
1509,209.96454338,73728,83.99648571014404,0.08005843001719362,-1.2780461016111075,-0.0009533360123936858,0.0810117660295873
1597,211.20115688,81920,93.8874671459198,0.07628948327737521,-1.265076795499772,-0.00016892353424123065,0.07645840681161645
1685,211.82306462,90112,104.04221415519714,0.0743669122842173,-1.246338155400008,0.00011499696228817599,0.07425191532192912
1774,210.54365179999996,98304,114.05168867111206,0.07116647300719559,-1.2371708776801824,0.0005398448233048707,0.07062662818389072
1862,212.9552836,106496,124.21480226516724,0.06933289361253639,-1.2360849307850004,0.00013971790598599527,0.0691931757065504
1950,213.14755988000002,114688,134.88136291503906,0.0556739772081231,-1.2282778146676718,-0.0005819376228215645,0.05625591483094468
2038,215.03164092,122880,144.8950445652008,0.05367339093943756,-1.205002405680716,-0.0002686075519899538,0.053941998491427515
2126,213.56561641999997,131072,154.9424819946289,0.05238088507990801,-1.1856978439725936,-3.0722175454454305e-05,0.052411607255362466
2213,213.35445622000003,139264,165.07188510894775,0.055624109283515036,-1.1779881002381445,-6.837215895963986e-05,0.05569248144247467
2301,214.04946940000002,147456,175.0390362739563,0.05105497498291352,-1.1650963393971323,-0.00030276799764014515,0.051357742980553664
2389,212.56097493999997,155648,184.99665808677673,0.04438537422634451,-1.1543346296064556,-0.00028177049307036035,0.04466714471941487
