total_time,ep_rew_mean,num_episodes,total timesteps,total_loss,entropy_loss,value_loss,policy_gradient_loss
2.65972638130188,11.3631375,515,8192,,,,
12.855664730072021,20.06844624,902,16384,1.2111259146663091,-1.4025270842015742,1.2150788677157833,-0.003952953049474255
22.756499767303467,27.113601600000003,1137,24576,0.43853302707682823,-1.3747827969491482,0.4468000297900289,-0.008267002713200753
32.62055420875549,96.95451263999999,1262,32768,0.46143274561848424,-1.355810556653887,0.4707495304523036,-0.009316784833819328
42.38859558105469,180.59836388,1354,40960,0.38095943965313694,-1.3382604827173055,0.38809549091383816,-0.007136051260701233
52.35102939605713,214.38553694,1433,49152,0.3137957458230514,-1.3185456740669905,0.31904952937038616,-0.005253783547334728
61.97271227836609,214.77315564,1517,57344,0.2588800958328687,-1.3022651568986476,0.2628823720733635,-0.004002276240494798
71.57676935195923,221.33087936,1599,65536,0.19436171847789732,-1.295594607014209,0.1977430770522915,-0.0033813585743941756
81.65214323997498,241.25347792,1680,73728,0.1311709533138617,-1.2824494188651443,0.1346783729008166,-0.0035074195869549225
91.42621970176697,265.88909286,1754,81920,0.1311675365661417,-1.2578783146105708,0.13492658306204247,-0.0037590464959007955
101.27615427970886,303.18883384000003,1825,90112,0.1187768578151452,-1.2342739960178732,0.12276086214988027,-0.003984004334735057
111.07107424736023,283.99376018000004,1899,98304,0.0988790438263902,-1.2163871864788234,0.10188675904937554,-0.0030077152229853483
120.92637228965759,324.88496402,1963,106496,0.11410403988575131,-1.1949950118549169,0.11682275542261777,-0.0027187155368664693
130.56382083892822,363.5029059800001,2023,114688,0.0866889810629308,-1.1689741532318294,0.08895897011752822,-0.002269989054597426
140.2522475719452,373.41651033999995,2082,122880,0.07031236674840464,-1.1410825183615088,0.07269283696950879,-0.0023804702211041523
150.18296480178833,407.38689772000004,2137,131072,0.06381878374404551,-1.1285764186643064,0.06591549626937195,-0.0020967125253264418
160.18688583374023,475.75195190000005,2185,139264,0.061221488378285435,-1.1083875351585448,0.06323647861245263,-0.002014990234167195
170.33220267295837,510.7767486200001,2231,147456,0.06461107071900751,-1.0880100366659462,0.06671511667373124,-0.002104045954723732
180.65896463394165,544.16487126,2275,155648,0.04580108918879516,-1.0674887165427207,0.04792026544091641,-0.0021191762521212466
190.66254329681396,593.99144798,2316,163840,0.04750975985974421,-1.0502069424837828,0.05015577882659272,-0.002646018966848514
200.7873170375824,630.0861792399999,2355,172032,0.038028241072730395,-1.0367079935967922,0.04005763320819824,-0.002029392135467843
210.7318456172943,640.2420825800001,2395,180224,0.04529407656858884,-1.0160674708895385,0.04777383094115066,-0.0024797543725618232
221.20607566833496,675.4114772199999,2431,188416,0.034897444030041434,-1.0003016292117537,0.03598781897162553,-0.001090374941584093
231.23094725608826,704.06911612,2466,196608,0.03036357831387092,-0.9740672030486166,0.0325082592011313,-0.0021446808872603723
241.0855827331543,730.5351252600001,2502,204800,0.03263678392049192,-0.9564080020878464,0.034599899116074084,-0.001963115195582167
251.41153192520142,723.0474270599999,2537,212992,0.03844184892660532,-0.9461282598786056,0.03999781648126373,-0.0015559675546584057
261.3637239933014,770.1331768599999,2570,221184,0.03375712694424595,-0.9321466515772044,0.03491519033668737,-0.0011580633924414179
271.1318778991699,742.96968002,2606,229376,0.03436538919588348,-0.9224064646754414,0.03578233189400635,-0.0014169426981228642
280.89106845855713,751.6207585400001,2639,237568,0.019452618046005465,-0.90837072446011,0.02077840192596341,-0.001325783879957944
290.7309787273407,761.4687853800001,2674,245760,0.025968175093089296,-0.8938904369715601,0.02747702138767636,-0.001508846294587059
300.69246315956116,834.2501130799999,2703,253952,0.016945717275112248,-0.8800024865195155,0.018611117940599796,-0.0016654006654875492
310.44505977630615,974.4606454000001,2727,262144,0.013755767797396007,-0.8663539062254131,0.015092756317335443,-0.0013369885199394367
320.17718482017517,1003.29226846,2754,270336,0.01248610087310024,-0.8549872196745127,0.013909810305085557,-0.0014237094319853177
330.0212023258209,999.81523462,2781,278528,0.029363777754394686,-0.8405536772217601,0.03042814516084036,-0.0010643674064456747
339.8297486305237,1015.58551958,2806,286720,0.010726175309887639,-0.820231894729659,0.012404895800682426,-0.0016787204907947849
349.61388897895813,929.4034672600001,2838,294912,0.010417266556798317,-0.8065635098144412,0.011573916098768677,-0.0011566495419703601
359.78906059265137,899.1801638799999,2865,303104,0.033513314490639615,-0.7870884745847434,0.03576522077837581,-0.0022519062877361952
369.6389513015747,1018.60979726,2888,311296,0.009694830160654552,-0.7638777694199235,0.011312799998722766,-0.0016179698380682137
379.4680621623993,1123.37513232,2912,319488,0.014219081851510999,-0.7565313210710883,0.01576857691616169,-0.0015494950646506946
389.2245240211487,1152.44344684,2933,327680,0.01436699455261913,-0.7424382613506169,0.01587098777117717,-0.0015039932185580392
399.2194199562073,1217.0373025400002,2952,335872,0.02204330552130878,-0.7236570897046477,0.02347237406302156,-0.00142906854171278
409.0491602420807,1341.93929614,2970,344064,0.007793479945840532,-0.7066476146224886,0.009431936528926599,-0.0016384565830860668
418.9987950325012,1524.12756882,2987,352256,0.0067762912893614856,-0.6959638718049973,0.008497017715944822,-0.0017207264265833347
428.6087996959686,1578.3346326,3003,360448,0.005129046865314747,-0.6825746127404273,0.00634896643441607,-0.0012199195691013234
438.62465476989746,1487.8701724199998,3024,368640,0.013431911071578933,-0.6636638811323792,0.014339123155696142,-0.000907212084117211
448.5824728012085,1452.8623437999997,3040,376832,0.02162971729331467,-0.6466386572923511,0.02356679216654811,-0.0019370748732334402
