ep_rew_mean,total_time,num_episodes,total timesteps,entropy_loss,policy_gradient_loss,value_loss,total_loss
-133.20459985,0.5413532257080078,20,1024,,,,
-131.0532354,1.7949564456939697,40,2048,-1.4061975795775652,-0.007829140255511187,2.0678991228342056,2.0600699825786943
-124.89755586,2.8701767921447754,60,3072,-1.3803319483995438,-0.004087668776865591,0.59628712432459,0.5921994555477244
-116.16462278,3.860748291015625,80,4096,-1.3505620080977678,-0.0012026770479257657,0.32647408125922084,0.3252714042112951
-109.76965609999999,4.66310453414917,100,5120,-1.3164793737232685,-0.006247774729994195,0.3572775633074343,0.3510297885774401
-104.20411088,5.568635940551758,120,6144,-1.288189446553588,-0.0008255806922730528,0.2800756224896759,0.27925004179740287
-101.12952688,6.401819705963135,140,7168,-1.2771670296788216,-0.0004328589935053235,0.30055478285066783,0.3001219238571625
-102.36106803999999,7.174286603927612,160,8192,-1.2604316249489784,-0.003957477169871415,0.31881786696612835,0.31486038979625697
-101.83837917999999,8.036850452423096,184,9216,-1.2312948293983936,-0.003152685138869348,0.29775409074500203,0.2946014056061327
-96.98484149999996,8.884756803512573,204,10240,-1.2013085763901472,-0.0036973687758089496,0.2887151271570474,0.28501775838123844
-89.39418679999999,9.748165369033813,224,11264,-1.1696040108799934,-0.0025519599553319337,0.25534821627661586,0.25279625632128394
-86.93343202,10.529402017593384,244,12288,-1.1518102511763573,-0.0013650463566212048,0.2647625529207289,0.26339750656410776
-86.02770473999999,11.526753187179565,264,13312,-1.1306379977613688,-0.003050414541007886,0.23507324513047934,0.23202283058947143
-85.75036618,12.561695098876953,284,14336,-1.1061810161918402,-0.001346016740915962,0.21934629301540554,0.2180002762744896
-80.8557914,13.542932987213135,304,15360,-1.0869957022368908,-0.000775633279429949,0.21639273304026574,0.2156170997608358
-79.65978856000001,14.397579669952393,324,16384,-1.0671307872980833,0.00339943382529909,0.25103337969630957,0.2544328135216087
-75.32997448,15.211022138595581,348,17408,-1.0487885158509016,-0.0012138905724514298,0.2212218854110688,0.22000799483861738
-74.19106416000001,16.030253410339355,368,18432,-1.0311883445829153,-0.002411781303853501,0.22159889480099082,0.21918711349713732
-72.59903924,16.79784870147705,388,19456,-1.016088791191578,-0.00010693343491336316,0.18917481030803174,0.18906787687311838
-72.78232098,17.600980520248413,408,20480,-0.9985695714130998,-0.0034085182370161204,0.19316940137650818,0.18976088313949205
-72.46905206000001,18.351531744003296,428,21504,-0.9767041159793735,0.0007503091001204254,0.1445146116311662,0.14526492073128663
-70.02343412,19.113603830337524,448,22528,-0.9492249777540565,-0.0037954385446761626,0.1451461702818051,0.14135073173712892
-68.29206812,19.882769107818604,468,23552,-0.9306719768792391,0.002274405693884633,0.1328020298969932,0.13507643559087784
-69.05098182,20.708412170410156,488,24576,-0.91159837692976,-0.0016786614988981616,0.1568233884172514,0.15514472691835327
-69.07504168,21.644044637680054,512,25600,-0.8864033073186874,-0.00112867698849491,0.14981129474472255,0.14868261775622765
-62.02687802,22.41001796722412,532,26624,-0.8660102933645248,-0.0002129592210200138,0.15114375401753932,0.15093079479651933
-56.80054551999999,23.232255935668945,552,27648,-0.8485144730657339,-0.0010947619934172461,0.13607864029472694,0.1349838783013097
-56.5432434,24.013341426849365,572,28672,-0.8322440898045897,0.00012081243215078676,0.12011738505680114,0.12023819748895193
-56.68454028000001,24.83236074447632,592,29696,-0.8125875080004334,-0.0005509997108402965,0.1259153112769127,0.1253643115660724
-56.391413140000004,25.609495878219604,612,30720,-0.7901160176843405,0.00035582409459941486,0.1134756135288626,0.11383143762346201
-52.9522633,26.38742423057556,632,31744,-0.7746262522414327,0.0019139634820297935,0.1015808455995284,0.1034948090815582
-49.197568260000004,27.156429052352905,652,32768,-0.7579763354733586,-0.0007053997198941354,0.0957347895600833,0.09502938984018916
-48.57782984000001,27.950222969055176,672,33792,-0.7348256008699536,0.0001486391755387496,0.10278053372167051,0.10292917289720926
-51.84714843999999,28.702810287475586,696,34816,-0.715021813288331,-0.0015804943112875712,0.09899411606602371,0.09741362175473614
-48.431856540000005,29.486327409744263,716,35840,-0.6932816142216325,-0.00039922911435912663,0.10136718989815563,0.1009679607837965
-43.32889938000001,30.347962617874146,736,36864,-0.6590584823861718,0.0017045596032781182,0.07481226313393563,0.07651682273721375
-41.21876018,31.153973817825317,756,37888,-0.6317203342914581,0.007910488639963199,0.0695034830714576,0.07741397171142078
-39.00402906,32.03115773200989,776,38912,-0.6061041885986924,0.002809259573112388,0.07320085441460833,0.07601011398772073
-36.6285067,32.869444131851196,796,39936,-0.5806768601760268,0.0059822933392658355,0.05765384511323646,0.0636361384525023
-36.8131762,33.66245627403259,816,40960,-0.5656847776845098,-0.0024022751539459685,0.04535903860232793,0.04295676344838196
-36.642244299999994,34.431453704833984,836,41984,-0.5534175224602222,0.009681336418559786,0.045117738511180505,0.054799074929740295
-35.7811595,35.29048776626587,860,43008,-0.535122231580317,-0.001266258705496846,0.04905657930066809,0.04779032059517125
-36.05379928,36.048917055130005,880,44032,-0.5192476902157068,-0.0020339324410712763,0.049436312954640016,0.04740238051356874
-35.01210681999999,36.834781646728516,900,45056,-0.5006209220737219,0.006199958241545755,0.05292576042120345,0.05912571866274921
-35.28254921999999,37.58224558830261,920,46080,-0.4748343378305435,0.0036727968941380118,0.04873491617036052,0.05240771306449853
-34.4123637,38.325419902801514,940,47104,-0.46197061985731125,-0.001030210028868149,0.049491255602333695,0.04846104557346555
-34.1096166,39.07841229438782,960,48128,-0.4480378101579845,-0.0005487062494649469,0.053840255801333115,0.05329154955186817
