ep_rew_mean,total timesteps,num_episodes,total_time,total_loss,value_loss,entropy_loss,policy_gradient_loss
-125.40525579999999,1024,20,0.27603602409362793,,,,
-126.80422262500001,2048,40,1.8383939266204834,1.7146581822194775,1.716050298884511,-1.409484637901187,-0.0013921166650333937
-126.93169166000001,3072,60,2.481917381286621,0.7249653827131703,0.7285124030895531,-1.3917077034711838,-0.0035470203763827137
-122.8942509,4096,80,3.074802875518799,0.48194696865586645,0.48470070865005255,-1.3697710670530796,-0.0027537399941860966
-116.29423529999998,5120,100,3.7360727787017822,0.39393303144783537,0.3976651160046458,-1.343614248558879,-0.003732084556810456
-112.26668652000001,6144,120,4.377432346343994,0.3388745516725908,0.34033231995999813,-1.321509750559926,-0.0014577682874073415
-110.39605824,7168,140,5.005569696426392,0.3395795251611359,0.34323771786876023,-1.2985420040786266,-0.003658192707624338
-106.62029914,8192,160,5.588064432144165,0.3525037821831958,0.3572370847687125,-1.2730970308184624,-0.0047333025855167705
-101.26785874000001,9216,184,6.280329704284668,0.36529864115843697,0.370665849884972,-1.2498281728476286,-0.00536720872653499
-99.16225665999998,10240,204,6.979458570480347,0.3528717866005029,0.35601296881213784,-1.2230298090726137,-0.003141182211634967
-95.36749033999999,11264,224,7.546175956726074,0.28388393963068986,0.28766503604128957,-1.2064991239458323,-0.003781096410599695
-90.49830188,12288,244,8.07411527633667,0.27232365020321114,0.2762877633795142,-1.180338578298688,-0.003964113176303069
-84.86442352000002,13312,264,8.642836332321167,0.2609384076233715,0.26282244245521724,-1.1441190987825394,-0.0018840348318457587
-78.21057049999999,14336,284,9.21486210823059,0.24574081907092932,0.25007779605221003,-1.1128339618444443,-0.004336976981280743
-75.05246646,15360,304,9.827078819274902,0.1999402989983951,0.20327066991012543,-1.0814168695360422,-0.003330370911730345
-74.89626008,16384,324,10.429295301437378,0.19028199128902662,0.19325741764623672,-1.0564207322895527,-0.00297542635721008
-71.62342875999998,17408,348,10.971157550811768,0.20753501514223094,0.21196407335810363,-1.033198531717062,-0.004429058215872663
-68.02956332,18432,368,11.541336059570312,0.19075225120774317,0.19272861629724503,-1.0149264745414257,-0.0019763650895018667
-67.52525438,19456,388,12.173515796661377,0.14145798934197443,0.14423486322630197,-0.9999406458809972,-0.002776873884327555
-66.53774807999999,20480,408,12.773503065109253,0.15775246377400454,0.15789859439246356,-0.9789200089871883,-0.00014613061845899578
-64.72539578,21504,428,13.341236591339111,0.13771705579817778,0.14095239527523518,-0.9525129143148661,-0.0032353394770574108
-63.06868388000001,22528,448,13.909969329833984,0.11756444180413499,0.11674453190062195,-0.9304741872474551,0.0008199099035130324
-63.9569775,23552,468,14.524286270141602,0.11359754266407734,0.11749664566013962,-0.9105175379663706,-0.003899102996062273
-63.40630189999999,24576,488,15.081831455230713,0.13701790091339222,0.13756262132665142,-0.8896021544933319,-0.0005447204132591852
-59.82056894,25600,512,15.739730834960938,0.14130003946053793,0.14172974170651287,-0.8735188422724605,-0.00042970224597492154
-58.44127967999999,26624,532,16.341840744018555,0.14541467091021518,0.14891484717372805,-0.8515765648335218,-0.0035001762635128698
-55.709831539999996,27648,552,16.912567138671875,0.09961033006126849,0.10424255317775533,-0.8274966599419713,-0.004632223116486832
-53.17228344,28672,572,17.60377860069275,0.08196963131315152,0.08464252261910588,-0.8123735971748829,-0.00267289130595436
-52.789508100000006,29696,592,18.340027809143066,0.09565292705914616,0.10183644230710343,-0.7928274236619473,-0.006183515247957267
-51.493109180000005,30720,612,19.002549409866333,0.09360227411503075,0.09697021369356662,-0.7607996668666601,-0.003367939578535876
-47.506526820000005,31744,632,19.609163761138916,0.08663119235440245,0.0886988383717835,-0.74134960770607,-0.0020676460173810556
-44.91903504000001,32768,652,20.25193762779236,0.13207548853597356,0.12949969910550863,-0.7394617712125182,0.002575789430464922
-45.67676772000001,33792,672,20.80384850502014,0.09371083043754724,0.09526175010250881,-0.7284671431407332,-0.0015509196649615697
-44.897698840000004,34816,696,21.446332693099976,0.07744700090588676,0.07853612961480394,-0.7041087336838245,-0.0010891287089171944
-41.80194842,35840,716,22.048364639282227,0.08388321471664044,0.08578953257529065,-0.684940985403955,-0.001906317858650209
-39.495153439999996,36864,736,22.65848135948181,0.06913766462012766,0.07290245132753626,-0.6735323229804635,-0.003764786707408589
-38.621504019999996,37888,756,23.262932062149048,0.06411339946824635,0.064064041886013,-0.6586260441690683,4.9357582233346587e-05
-37.718693019999996,38912,776,23.87505555152893,0.045824622833026504,0.04662650293903425,-0.6421308182179928,-0.000801880106007747
-37.99009864,39936,796,24.449484825134277,0.05252899578636429,0.05653931829147041,-0.6245306637138128,-0.004010322505106118
-39.42576622000001,40960,816,25.021592140197754,0.05722159547374768,0.05786307144444436,-0.6037876838818192,-0.0006414759706966744
-36.2949644,41984,836,25.545743942260742,0.0652260516698963,0.06439489551121369,-0.5781599478796124,0.0008311561586826007
-33.6387099,43008,860,26.113609552383423,0.05073816790482723,0.05110761531977914,-0.5587382055819035,-0.0003694474149519178
-33.430621099999996,44032,880,26.7603497505188,0.06331975307912716,0.063485914375633,-0.5399243803694844,-0.0001661612965058495
-32.896458159999995,45056,900,27.33026099205017,0.06233762412765523,0.06137910205870867,-0.5202521914616227,0.0009585220689465648
-33.070864040000004,46080,920,27.928014039993286,0.042075882242519194,0.04606375144794583,-0.49575441563501954,-0.003987869205426634
-32.91209654,47104,940,28.526840686798096,0.0432555217700045,0.03976250073174015,-0.46971598034724593,0.003493021038264356
