ep_rew_mean,total timesteps,num_episodes,total_time,entropy_loss,total_loss,policy_gradient_loss,value_loss
-4.114452875,8192,8,2.2723641395568848,,,,
14.47522125,16384,16,11.423854351043701,-1.409652641788125,0.6051458515573428,-0.0038132193151726042,0.6089590708725154
35.05165954166667,24576,24,19.983940839767456,-1.4020608570426702,0.2083641572394918,-0.0058700133924793636,0.2142341706319712
49.821522375,32768,32,28.68157124519348,-1.402735729329288,0.12341377067917711,-0.005134172253168786,0.1285479429323459
58.37379075,40960,40,37.35487771034241,-1.3920192379504441,0.1157810056645823,-0.0032655945536979166,0.11904660021828022
61.43547170833333,49152,48,46.61029362678528,-1.3803779977373778,0.06864284787496111,-0.0035715210013414953,0.07221436887630261
70.10736465999999,57344,56,55.375391721725464,-1.3648437939584255,0.030731446720402233,-0.0034721644461925536,0.03420361116659478
79.67716916,65536,64,64.29610872268677,-1.3470331964083015,0.017124440385282637,-0.0028886428712438057,0.020013083256526443
79.24916022000001,73728,72,73.3925552368164,-1.3237826220691205,0.013779223717378913,-0.0015607219044023114,0.015339945621781226
75.70835762,81920,80,82.50672578811646,-1.2986424046568572,0.03289101300102622,-0.0009222082635825137,0.03381322126460873
76.21879004,90112,88,91.43277525901794,-1.2810935389250517,0.013752787774252026,-0.0021788448237878436,0.01593163259803987
77.69183641999999,98304,96,99.94850659370422,-1.2720136729069054,0.01750866960557901,-0.0023755731277357384,0.01988424273331475
83.76253572000002,106496,104,109.14579153060913,-1.2439178205095232,0.011490848879397197,-0.004871094916312326,0.016361943795709523
91.43219115999999,114688,112,118.28297805786133,-1.2185574878007173,0.029362085029282437,-0.0025253162235061104,0.03188740125278855
101.38263436,122880,120,127.45711088180542,-1.1857580964453518,0.02495019020294393,-0.0017661802856676402,0.026716370488611575
109.70590985999999,131072,128,136.40982842445374,-1.1658833328634501,0.027205707778453398,-0.001097049196609549,0.02830275697506295
118.0272286,139264,136,145.910630941391,-1.1286904767155648,0.056419622212660656,-0.002039475685387989,0.05845909789804864
126.50492838,147456,144,154.86978697776794,-1.0971898917108773,0.0583213811094244,-0.0014536216798954587,0.05977500278931984
135.1292566,155648,152,163.77955889701843,-1.0839577016420663,0.07577275264400382,-0.0014766396166334317,0.07724939226063725
143.14471504,163840,160,172.64799189567566,-1.0644145927391946,0.08758835253576135,-0.0009795579840892097,0.08856791051985055
157.9165079,172032,172,181.1855025291443,-1.0293124887160956,0.11201071247896181,-0.001457624228630441,0.11346833670759224
168.91065533999998,180224,180,189.54570412635803,-1.0179651716724039,0.20284776503522073,-0.0005500379806116027,0.20339780301583232
178.78069302,188416,188,198.4179666042328,-0.9957474582828582,0.14011029588739002,-0.0017362655277600608,0.14184656141515006
187.55519118,196608,196,207.10855793952942,-0.9748680907767266,0.3000311403929499,-0.0008110220295366552,0.30084216242248657
197.19585424000002,204800,204,216.32422876358032,-0.9741235239896924,0.3033870776722017,-0.0008890230296254315,0.3042761007018271
204.45385146,212992,212,225.39733409881592,-0.9676754063460976,0.2867604603732829,-0.0015957741957905156,0.28835623456907344
210.93097712,221184,220,234.3835802078247,-0.9524857202079147,0.3423838259621651,-0.0011986194252723988,0.3435824453874375
215.53144281999997,229376,228,243.6736500263214,-0.9255582283716649,0.4472767348846568,-0.0009854794558455907,0.4482622143405024
222.08159594,237568,236,252.93664860725403,-0.9001884630415589,0.45223608449284125,-0.000871929771011724,0.45310801426385294
226.87420138000002,245760,244,262.40278935432434,-0.9007025315891951,0.4724369544334414,-0.00038155031775287846,0.47281850475119425
230.81217612,253952,252,271.366003036499,-0.9056178978178651,0.5062953919903634,-0.00039034242180374234,0.5066857344121672
233.2917538,262144,260,280.13429832458496,-0.9109804873354733,0.5706701757925892,9.719837846729415e-05,0.5705729774141218
235.74500618,270336,268,289.23572158813477,-0.9039016526658088,0.5573004229032152,-0.0004177325032584444,0.5577181554064736
236.94713332,278528,276,298.08669877052307,-0.8955403050407768,0.5745239578286709,-8.42264492238947e-05,0.574608184277895
235.93664078,286720,284,307.1227071285248,-0.8896589037496596,0.5923481486939153,-0.0003343209146379649,0.5926824696085532
234.90075167999998,294912,292,315.7060604095459,-0.8839157200884074,0.6386373511699738,-0.0007863881609857385,0.6394237393309595
234.02600286,303104,300,324.7908704280853,-0.8736810315400362,0.6323691808649847,0.00013529077572010663,0.6322338900892646
233.52869105999997,311296,308,333.5806152820587,-0.8674142826814204,0.6447483551447404,-0.0002876657607956993,0.6450360209055361
233.79118630000002,319488,316,342.5952744483948,-0.8566735621076077,0.6685835727411099,-0.00023956525904268193,0.6688231380001526
233.13465600000004,327680,324,351.83397912979126,-0.86107068345882,0.7105416100728473,-0.00036774354432389365,0.7109093536171713
234.18389036,335872,332,360.7233929634094,-0.8552935188636184,0.7486263381793743,-0.0006125773365146462,0.749238915515889
235.42365388,344064,344,369.4256179332733,-0.8500784741248936,0.7360473525290085,4.7242714377338974e-05,0.7360001098146313
236.99085928000005,352256,352,378.5093958377838,-0.8538994261994958,1.1307495290739369,-0.0005485792551284008,1.1312981083290652
237.88208928,360448,360,387.5077135562897,-0.8378725312650204,0.7646827066401092,-0.000900307558527941,0.7655830141986371
238.94467808000005,368640,368,396.6076908111572,-0.8257773170247674,0.7342567558402731,-0.0006916688781861493,0.7349484247184591
240.80678554,376832,376,405.14101219177246,-0.8309212402440608,0.8363782378058773,-0.0006170866720254043,0.8369953244779026
242.09149686,385024,384,414.4197313785553,-0.8426694912370294,0.8397098627470163,-0.0013491606495031883,0.8410590233965195
